sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:00:21_369 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,309826175,-0.722617,-0.518333,0.340952,0.304816,-0.548555,-0.270245,-0.210249
2,309859509,-0.725442,-0.515076,0.339416,0.305342,0.205243,0.712923,1.117113
3,309892843,-0.733913,-0.503698,0.334398,0.309587,-0.533711,0.434913,1.300675
4,309926177,-0.738748,-0.496906,0.330093,0.313657,-0.616583,0.387709,0.075081
5,309959511,-0.736861,-0.498768,0.328655,0.316637,-0.168207,0.884584,0.781155
6,309992845,-0.734997,-0.499858,0.326826,0.321110,-0.325868,0.741945,0.185537
7,310026179,-0.731825,-0.501773,0.324952,0.327212,-0.358066,0.846916,0.515100
8,310059513,-0.728072,-0.503510,0.321363,0.336335,-1.198538,0.579000,1.454109
9,310092847,-0.722666,-0.506952,0.317184,0.346634,-1.237982,0.734636,1.306330
10,310126181,-0.716977,-0.510001,0.313042,0.357567,-1.449853,0.786513,0.550695
11,310159515,-0.708155,-0.516679,0.311100,0.367126,-1.731838,0.698740,0.201780
12,310192849,-0.696500,-0.526660,0.311069,0.375179,-1.388191,1.265083,0.657529
13,310226183,-0.688942,-0.531010,0.308615,0.384902,-1.600256,1.343632,1.122435
14,310259517,-0.685465,-0.530798,0.303255,0.395517,-1.281658,0.894788,0.928110
15,310292851,-0.683162,-0.529872,0.298058,0.404591,-0.953868,0.256851,0.145697
16,310326185,-0.676569,-0.536226,0.297413,0.407759,-0.751991,-1.170536,-0.973269
17,310359519,-0.665184,-0.549947,0.301559,0.405164,0.706662,-1.244895,-1.687254
18,310392853,-0.658351,-0.558538,0.305962,0.401250,1.600144,-0.947863,-2.566373
19,310426187,-0.655855,-0.560531,0.310579,0.399006,2.255385,-1.704739,-2.636103
