sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_15:00:21_359 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,309926614,0.157567,-0.754834,-0.153991,-0.617807,-0.213006,-0.163191,0.249372
2,309943281,0.157154,-0.756369,-0.155027,-0.615772,-0.280736,-0.194686,0.204750
3,309976615,0.156934,-0.758912,-0.157757,-0.611995,-0.128281,-0.013124,0.042753
4,310009949,0.156754,-0.760417,-0.159298,-0.609770,0.001876,-0.103974,0.128961
5,310043283,0.155052,-0.761657,-0.159889,-0.608501,0.248382,-0.321822,0.115786
6,310076617,0.152316,-0.762660,-0.159436,-0.608055,0.280718,-0.374235,0.174116
7,310109951,0.147121,-0.763650,-0.156843,-0.608765,0.540555,-0.013319,0.345994
8,310143285,0.141881,-0.764061,-0.153524,-0.610337,-0.217436,0.475372,0.248518
9,310176619,0.138382,-0.764951,-0.150480,-0.610783,-0.851445,0.412051,0.026950
10,310209953,0.135776,-0.766386,-0.148195,-0.610127,-0.858746,0.402729,0.034772
11,310243287,0.134633,-0.767417,-0.147172,-0.609333,-0.541360,0.327790,0.291037
12,310276621,0.133447,-0.767901,-0.146690,-0.609100,-0.219075,0.421926,0.227149
13,310309955,0.131841,-0.768323,-0.145655,-0.609165,-0.174659,0.187306,0.197563
14,310343289,0.128913,-0.769201,-0.143627,-0.609165,-0.056798,-0.254305,0.178646
15,310376623,0.127209,-0.769485,-0.142550,-0.609418,-0.008229,-0.209461,0.135301
16,310409957,0.125873,-0.769693,-0.141593,-0.609655,-0.211395,-0.451718,0.029574
17,310443291,0.124828,-0.770415,-0.140275,-0.609263,-0.224161,-0.813231,0.116778
18,310476625,0.123125,-0.771194,-0.138056,-0.609132,0.431085,-0.761959,0.420654
19,310509959,0.121898,-0.771223,-0.136527,-0.609685,0.907813,-0.089062,0.050447
20,310543293,0.122905,-0.771326,-0.136588,-0.609339,0.556224,-0.382038,0.160651
21,310576627,0.123813,-0.771786,-0.136327,-0.608631,0.302390,-0.500427,0.165060
22,310609961,0.126319,-0.771785,-0.137503,-0.607852,0.152236,-0.528553,0.350917
23,310643295,0.129758,-0.770916,-0.139645,-0.607742,-0.141148,0.036627,0.192901
24,310676629,0.133436,-0.769862,-0.141157,-0.607933,-0.130473,-0.225947,0.085282
25,310709963,0.135718,-0.769872,-0.141494,-0.607336,-0.031999,-0.533647,0.221396
26,310743297,0.140082,-0.769463,-0.143268,-0.606448,-0.036741,-0.634324,0.385830
27,310776631,0.144430,-0.768479,-0.145090,-0.606241,-0.028484,0.091044,-0.059682
28,310809965,0.149484,-0.767829,-0.146848,-0.605416,-0.131777,0.207318,-0.064055
29,310843299,0.154813,-0.767461,-0.148347,-0.604177,-0.156669,-0.008229,0.282376
30,310876633,0.158566,-0.766905,-0.148477,-0.603878,0.226817,-0.158659,0.335488
31,310909967,0.162223,-0.766156,-0.147922,-0.603994,0.269831,0.115058,0.130301
32,310943301,0.166500,-0.765197,-0.147848,-0.604064,0.364992,-0.181902,0.334975
33,310976635,0.170157,-0.763644,-0.147169,-0.605173,0.342692,-0.178625,0.222025
34,311009969,0.173098,-0.762043,-0.145528,-0.606753,0.314984,0.040538,0.220414
35,311043303,0.175094,-0.760645,-0.142652,-0.608614,0.256338,0.074469,0.214786
36,311076637,0.175307,-0.758909,-0.138139,-0.611754,0.280166,-0.113979,0.348743
37,311109971,0.175212,-0.756388,-0.133603,-0.615897,0.306804,0.111370,0.215767
38,311143305,0.176105,-0.753663,-0.129568,-0.619831,0.179687,0.220355,0.266191
39,311176639,0.176573,-0.750734,-0.125046,-0.624167,0.224551,0.144071,0.177794
40,311209973,0.177079,-0.747181,-0.120896,-0.629084,0.353470,0.225290,0.139935
