sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:40:09_661 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1807240824,0.207932,0.726350,-0.229439,0.613626,-0.398976,-1.255944,-0.029767
2,1807274158,0.214731,0.725897,-0.240816,0.607431,-0.357749,-0.914943,-0.131581
3,1807307492,0.220718,0.724986,-0.252923,0.601423,-0.705428,-0.231382,0.333617
4,1807340826,0.226074,0.723032,-0.262755,0.597558,-0.310506,-0.304250,0.866782
5,1807374160,0.231348,0.719438,-0.268895,0.597145,1.790168,-1.381855,0.594148
6,1807407494,0.233048,0.717108,-0.270707,0.598467,1.968192,-1.206801,0.091939
7,1807440828,0.231940,0.716576,-0.271607,0.599126,0.701282,-0.615826,0.037763
8,1807474162,0.231449,0.716433,-0.273926,0.598431,-0.504595,-0.048003,0.245888
9,1807507496,0.231614,0.715316,-0.276504,0.598518,-1.034369,0.125765,0.009643
10,1807540830,0.231289,0.713547,-0.279800,0.599223,-1.758934,-0.650347,0.356639
11,1807574164,0.232540,0.710052,-0.282383,0.601674,-1.861388,-0.392914,0.349117
12,1807607498,0.232800,0.706826,-0.283810,0.604693,-0.546151,0.087755,0.052934
13,1807640832,0.233887,0.702979,-0.285751,0.607835,0.521414,0.110491,-0.113840
14,1807674166,0.233941,0.700271,-0.287935,0.609906,0.536200,0.169742,-0.072876
15,1807707500,0.231463,0.698595,-0.288617,0.612447,-0.047430,0.091404,0.209978
16,1807740834,0.227945,0.696869,-0.287920,0.616049,-0.234849,-0.147805,0.226122
17,1807774168,0.225067,0.694238,-0.287458,0.620279,0.218796,-0.409421,0.108653
18,1807807502,0.223169,0.690930,-0.287957,0.624414,0.793821,-0.372646,-0.059362
19,1807840836,0.220579,0.688140,-0.288198,0.628292,0.564864,-0.346461,0.324432
20,1807874170,0.219498,0.684545,-0.289184,0.632132,0.539474,-0.233205,0.159292
21,1807907504,0.218512,0.680969,-0.290214,0.635854,0.414614,-0.352561,0.130613
22,1807940838,0.217091,0.676955,-0.289863,0.640768,0.794307,-0.265267,0.314196
23,1807974172,0.214883,0.673556,-0.288934,0.645496,0.540107,-0.346309,0.090876
24,1808007506,0.213520,0.670246,-0.289080,0.649317,-0.036141,-0.457393,0.013907
25,1808040840,0.214803,0.665996,-0.291547,0.652158,-0.165375,-0.395781,0.177414
26,1808074174,0.219448,0.660342,-0.296994,0.653900,0.026048,-0.317308,0.303773
27,1808107508,0.226216,0.653530,-0.303751,0.655332,0.149745,-0.208112,0.204143
28,1808140842,0.233848,0.646100,-0.310962,0.656638,0.167559,0.063381,0.215772
29,1808174176,0.243214,0.637648,-0.319243,0.657523,0.132895,-0.437241,0.523075
30,1808207510,0.256248,0.627473,-0.328734,0.657685,-0.075414,-1.337035,0.134197
31,1808240844,0.270914,0.617126,-0.337505,0.657155,-0.107964,-0.719524,0.044485
32,1808274178,0.285482,0.606376,-0.344553,0.657337,-0.166129,0.029386,0.518456
33,1808307512,0.301214,0.594025,-0.350952,0.658207,-0.515752,0.509986,0.755644
34,1808340846,0.316956,0.582357,-0.357926,0.657486,-0.846664,0.848388,-0.193717
35,1808374180,0.330838,0.573700,-0.367724,0.652835,-1.023369,1.032996,-0.705074
36,1808407514,0.342817,0.566990,-0.378641,0.646242,-0.384829,1.056280,-0.370638
37,1808440848,0.353040,0.561568,-0.389360,0.639064,0.091684,1.105075,-0.089394
38,1808474182,0.362069,0.556544,-0.399895,0.631862,0.421296,0.951880,-0.021564
39,1808507516,0.369839,0.551861,-0.410090,0.624896,0.691948,0.741654,0.194182
40,1808540850,0.375260,0.548430,-0.418940,0.618785,0.768295,0.655688,0.316289
41,1808574184,0.377950,0.546314,-0.425717,0.614378,0.705681,0.604683,0.100657
42,1808607518,0.379328,0.544669,-0.431322,0.611071,0.481077,0.503569,0.346819
43,1808640852,0.380372,0.542916,-0.436312,0.608433,0.343258,0.381049,0.173962
44,1808674186,0.380805,0.541524,-0.440466,0.606407,0.103326,0.476188,-0.021062
45,1808707520,0.380924,0.540715,-0.444308,0.604247,-0.071552,0.566590,0.310031
