sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:25:59_109 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2542585561,0.325269,-0.739454,-0.386763,-0.444774,0.021209,-0.163869,0.218012
2,2542618895,0.324406,-0.739791,-0.386267,-0.445274,0.003331,-0.302941,0.234173
3,2542652229,0.323903,-0.739858,-0.385873,-0.445871,0.098255,-0.329465,0.199645
4,2542685563,0.323330,-0.739953,-0.385329,-0.446598,0.106746,-0.341195,0.110886
5,2542718897,0.322524,-0.740375,-0.384225,-0.447433,0.060842,-0.339170,0.096169
6,2542752231,0.321681,-0.740996,-0.382930,-0.448121,0.098985,-0.241593,0.235612
7,2542785565,0.320942,-0.741423,-0.381253,-0.449372,0.080450,-0.243411,0.160275
8,2542818899,0.320230,-0.741772,-0.379287,-0.450966,0.093987,-0.153660,0.021541
9,2542852233,0.319449,-0.742285,-0.377264,-0.452372,-0.081113,-0.085953,0.188420
10,2542885567,0.318337,-0.743228,-0.375630,-0.452964,-0.071989,-0.131603,0.182494
11,2542918901,0.316858,-0.744190,-0.373798,-0.453938,-0.003250,-0.147222,0.131946
12,2542952235,0.316417,-0.744483,-0.372758,-0.454620,-0.143965,-0.147882,0.311977
13,2542985569,0.316513,-0.744287,-0.372709,-0.454913,-0.216779,-0.001449,0.216079
14,2543018903,0.316951,-0.743892,-0.373394,-0.454693,-0.187848,-0.060052,0.210312
15,2543052237,0.317494,-0.743185,-0.374149,-0.454850,0.038873,-0.235684,0.150245
16,2543085571,0.317741,-0.742760,-0.374439,-0.455132,0.127994,-0.189725,0.283174
17,2543118905,0.317418,-0.742768,-0.374065,-0.455651,0.125879,-0.110734,0.151814
18,2543152239,0.316873,-0.742887,-0.373727,-0.456114,0.062330,0.096607,0.080942
19,2543185573,0.316772,-0.742705,-0.374254,-0.456049,-0.084034,0.177136,0.182449
20,2543218907,0.317005,-0.742329,-0.375621,-0.455375,-0.126499,0.220568,0.001719
21,2543252241,0.317457,-0.741867,-0.377472,-0.454281,0.166828,0.047422,0.158271
22,2543285575,0.317599,-0.741504,-0.379107,-0.453412,0.440489,-0.074138,0.287150
23,2543318909,0.317446,-0.741348,-0.380336,-0.452744,0.347746,-0.192613,0.135516
24,2543352243,0.317538,-0.741059,-0.381624,-0.452069,0.088756,-0.149118,0.202748
25,2543385577,0.317760,-0.740612,-0.383135,-0.451367,-0.093529,-0.114202,0.114841
