sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:09:59_973 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1583537791,-0.363650,0.674161,-0.006727,0.642824,-0.001477,0.016765,0.141282
2,1583571125,-0.362851,0.674528,-0.006958,0.642888,0.032668,0.038722,0.115515
3,1583604459,-0.362105,0.674817,-0.007341,0.643001,0.044201,0.011835,0.095666
4,1583637793,-0.361266,0.675067,-0.007812,0.643205,0.081786,0.009333,0.151375
5,1583671127,-0.360495,0.675208,-0.008295,0.643484,0.045968,-0.022615,0.153654
6,1583704461,-0.359847,0.675255,-0.008789,0.643790,0.019051,-0.012683,0.024397
7,1583737795,-0.359322,0.675169,-0.009327,0.644166,0.018123,-0.023740,-0.108160
8,1583771129,-0.358545,0.675125,-0.009970,0.644635,0.003322,-0.031817,-0.095981
9,1583804463,-0.357966,0.675201,-0.010016,0.644876,-0.038131,-0.029386,-0.033706
10,1583837797,-0.357852,0.675288,-0.009548,0.644856,-0.052877,0.014664,-0.192015
11,1583871131,-0.357833,0.675339,-0.009145,0.644819,0.005294,-0.093512,-0.185471
12,1583904465,-0.356912,0.675757,-0.009042,0.644893,0.151448,-0.125030,0.162533
13,1583937799,-0.356208,0.676146,-0.008415,0.644883,0.074079,-0.020590,0.316500
14,1583971133,-0.356730,0.676065,-0.007172,0.644694,0.052531,-0.067783,-0.029350
15,1584004467,-0.356936,0.676156,-0.006163,0.644495,0.107079,-0.212567,-0.003434
16,1584037801,-0.356363,0.676732,-0.005136,0.644217,0.024412,-0.058522,0.357515
17,1584071135,-0.356854,0.677003,-0.002828,0.643674,0.055886,-0.069002,0.191731
18,1584104469,-0.357340,0.677194,-0.000803,0.643209,0.084130,-0.170491,-0.076246
19,1584137803,-0.356930,0.677611,0.000611,0.642998,-0.015530,-0.053985,0.086232
20,1584171137,-0.357188,0.677952,0.002987,0.642488,-0.061987,0.063102,-0.006207
21,1584204471,-0.357652,0.678196,0.005170,0.641958,-0.057203,-0.048855,-0.207597
22,1584237805,-0.357070,0.678766,0.006193,0.641672,-0.018743,0.014114,-0.131448
23,1584271139,-0.356615,0.679273,0.007364,0.641375,-0.038452,0.043868,-0.160769
24,1584304473,-0.356316,0.679693,0.008572,0.641081,0.051564,0.002155,-0.036052
25,1584337807,-0.355977,0.680245,0.009897,0.640665,0.046296,0.069163,0.066461
26,1584371141,-0.356253,0.680617,0.011584,0.640088,0.000779,0.155616,-0.084074
27,1584404475,-0.356978,0.680779,0.013184,0.639480,0.101828,0.046421,-0.047107
28,1584437809,-0.357257,0.681044,0.014461,0.639015,0.083065,0.058397,0.422779
29,1584471143,-0.358344,0.681059,0.016273,0.638346,0.020833,0.157879,0.412586
30,1584504477,-0.360389,0.680561,0.017961,0.637681,-0.040991,-0.052288,0.077465
31,1584537811,-0.361999,0.680215,0.018919,0.637110,-0.147715,-0.032699,0.249860
32,1584571145,-0.364498,0.679834,0.020706,0.636035,-0.306782,0.111505,0.088663
33,1584604479,-0.367888,0.678915,0.022935,0.634987,-0.226184,-0.153971,-0.322279
34,1584637813,-0.368991,0.678643,0.023456,0.634619,-0.252813,-0.134590,-0.138664
35,1584671147,-0.368942,0.678837,0.023909,0.634423,-0.259601,-0.026312,-0.159697
36,1584704481,-0.368327,0.679273,0.024426,0.634294,-0.097309,-0.115054,-0.056602
37,1584737815,-0.366822,0.680123,0.024680,0.634246,-0.120236,0.017906,0.248775
38,1584771149,-0.366048,0.680772,0.025727,0.633955,-0.129462,0.079628,0.157298
39,1584804483,-0.365744,0.681193,0.026784,0.633634,-0.079502,-0.012776,0.043260
40,1584837817,-0.365074,0.681829,0.027588,0.633301,-0.084213,0.034582,0.135132
41,1584871151,-0.364857,0.682397,0.028701,0.632765,-0.046482,0.060331,0.143360
42,1584904485,-0.365002,0.682715,0.029954,0.632281,0.094650,-0.069325,0.034592
43,1584937819,-0.364720,0.682995,0.031078,0.632087,0.087232,-0.018544,0.085135
44,1584971153,-0.364618,0.683042,0.032413,0.632027,0.096470,-0.020460,-0.067679
45,1585004487,-0.364480,0.682889,0.033470,0.632218,0.144372,-0.093603,-0.168160
46,1585037821,-0.362923,0.683018,0.034082,0.632941,0.124623,-0.135253,0.130308
47,1585071155,-0.360661,0.683418,0.035042,0.633750,0.085792,-0.002799,0.182122
48,1585104489,-0.358892,0.683662,0.036177,0.634426,0.008348,0.070521,0.040145
49,1585137823,-0.357218,0.683877,0.037155,0.635083,0.011841,0.113510,-0.011650
50,1585171157,-0.355492,0.684167,0.038048,0.635686,-0.094856,0.183923,0.032365
51,1585204491,-0.354235,0.684448,0.038623,0.636050,-0.136074,0.323830,0.037368
52,1585237825,-0.354198,0.684523,0.039260,0.635950,-0.185107,0.247684,-0.095796
53,1585271159,-0.354993,0.684603,0.039717,0.635392,-0.419087,0.267381,-0.041665
54,1585304493,-0.357111,0.684687,0.040857,0.634041,-0.203221,0.208185,0.010955
55,1585337827,-0.359262,0.685026,0.042133,0.632374,-0.052878,0.182256,0.306644
56,1585371161,-0.361332,0.685338,0.042898,0.630804,0.014171,0.203033,0.426514
57,1585404495,-0.364166,0.685236,0.042946,0.629279,0.027946,0.134646,0.142377
58,1585437829,-0.367067,0.684801,0.041958,0.628133,0.127482,-0.023395,0.024593
59,1585471163,-0.368991,0.684526,0.040653,0.627391,0.269888,-0.174778,0.132411
60,1585504497,-0.370183,0.684359,0.039874,0.626921,0.261777,-0.098486,0.162729
61,1585537831,-0.371570,0.683903,0.039690,0.626609,0.592635,-0.299591,0.005503
62,1585571165,-0.371803,0.683193,0.039104,0.627282,0.681875,-0.573838,0.484060
63,1585604499,-0.370257,0.682444,0.038511,0.629047,0.429081,-0.538530,0.520055
64,1585637833,-0.369166,0.681790,0.039291,0.630346,0.057924,-0.270435,0.250730
65,1585671167,-0.369149,0.681330,0.041567,0.630708,-0.135948,-0.343614,0.023662
66,1585704501,-0.368556,0.681522,0.044705,0.630633,-0.259765,-0.304181,-0.078354
67,1585737835,-0.366949,0.682466,0.048301,0.630284,-0.306598,-0.155792,-0.204597
68,1585771169,-0.364564,0.683929,0.051653,0.629816,-0.228209,0.026969,-0.150658
69,1585804503,-0.361135,0.685685,0.053910,0.629694,-0.164682,0.086096,-0.095931
70,1585837837,-0.356848,0.687560,0.054999,0.629999,-0.066271,0.275230,-0.129334
71,1585871171,-0.352223,0.689300,0.055526,0.630654,0.035258,0.296214,-0.063054
72,1585904505,-0.346837,0.690929,0.055227,0.631881,0.025354,0.330479,-0.014647
73,1585937839,-0.341673,0.692298,0.054275,0.633277,-0.114630,0.401202,0.033064
74,1585971173,-0.337620,0.693447,0.053299,0.634276,-0.075600,0.266327,0.056086
75,1586004507,-0.334825,0.694344,0.052587,0.634835,-0.334824,0.173671,0.135224
76,1586037841,-0.333975,0.694674,0.052617,0.634919,-0.249926,-0.026596,-0.032772
77,1586071175,-0.333723,0.694845,0.052990,0.634834,-0.324709,0.019631,0.146479
78,1586104509,-0.334682,0.695135,0.054952,0.633844,-0.211932,0.010993,0.028323
79,1586137843,-0.336297,0.695287,0.057780,0.632569,0.006819,-0.124755,-0.153954
80,1586171177,-0.336402,0.695580,0.059250,0.632056,0.010779,-0.196926,-0.217526
81,1586204511,-0.334812,0.696027,0.060346,0.632304,0.163811,-0.077628,-0.083137
82,1586237845,-0.332417,0.696452,0.062114,0.632928,0.068892,0.035478,0.041885
83,1586271179,-0.329666,0.696589,0.063449,0.634082,0.090141,0.073092,-0.103751
84,1586304513,-0.327349,0.696525,0.064390,0.635258,-0.407074,0.308525,0.341110
85,1586337847,-0.329866,0.695841,0.068341,0.634292,-0.043669,0.257125,0.191468
86,1586371181,-0.334595,0.694950,0.073462,0.632216,0.064400,-0.125857,0.117444
