sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:09:42_630 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1566204111,-0.326051,0.740472,0.337728,0.481026,-0.138945,0.064260,0.161984
2,1566237445,-0.325728,0.740548,0.337266,0.481452,-0.049924,0.123948,0.176356
3,1566270779,-0.325713,0.740396,0.337105,0.481808,-0.011390,0.152751,0.175613
4,1566304113,-0.325602,0.740378,0.336936,0.482028,-0.056238,0.090543,0.144508
5,1566337447,-0.325499,0.740447,0.336780,0.482102,-0.012261,0.081199,0.138884
6,1566370781,-0.325435,0.740352,0.336589,0.482424,0.087213,0.234190,0.169594
7,1566404115,-0.325727,0.739818,0.336485,0.483118,0.135453,0.259510,0.281275
8,1566437449,-0.326106,0.739157,0.336205,0.484068,0.190564,0.149855,0.225498
9,1566470783,-0.326281,0.738553,0.335791,0.485159,0.325850,0.278227,0.102341
10,1566504117,-0.326811,0.737158,0.335204,0.487324,0.482059,0.523464,0.170611
11,1566537451,-0.328415,0.734042,0.334393,0.491489,0.534015,0.683388,0.487584
12,1566570785,-0.330248,0.730620,0.333719,0.495799,0.448243,0.263595,0.029922
13,1566604119,-0.330961,0.728077,0.332796,0.499669,0.191148,-0.080903,-0.088510
14,1566637453,-0.332523,0.724306,0.332085,0.504562,0.428401,0.725348,0.087385
15,1566670787,-0.336687,0.717298,0.332719,0.511348,0.526891,0.975487,0.324263
16,1566704121,-0.340142,0.710083,0.333488,0.518579,0.167798,0.106900,-0.033547
17,1566737455,-0.343575,0.702964,0.334937,0.525041,0.070292,-0.103071,-0.208955
18,1566770789,-0.347933,0.694268,0.335984,0.533013,0.402151,-0.073958,-0.270547
19,1566804123,-0.351191,0.684420,0.334561,0.544386,0.734205,-0.488003,0.497537
20,1566837457,-0.352526,0.676693,0.331387,0.555021,-0.465721,-0.750489,0.189850
21,1566870791,-0.353018,0.670548,0.327428,0.564436,-0.664754,-0.147966,-0.106647
22,1566904125,-0.356250,0.661550,0.324518,0.574612,-0.160563,0.182041,0.004860
23,1566937459,-0.359682,0.650887,0.321355,0.586310,-0.080511,-0.628367,0.065030
24,1566970793,-0.362786,0.641062,0.318608,0.596630,-0.600147,-0.171109,0.192990
25,1567004127,-0.366236,0.631057,0.314637,0.607204,-0.561957,0.135241,0.146011
26,1567037461,-0.369703,0.621962,0.310607,0.616491,-0.832401,0.076576,0.509920
27,1567070795,-0.372381,0.615512,0.307717,0.622769,-0.256787,0.250359,0.442462
28,1567104129,-0.375429,0.608660,0.305989,0.628499,-0.326319,0.195940,0.201839
29,1567137463,-0.377665,0.601803,0.301892,0.635703,0.040509,0.503604,0.187230
30,1567170797,-0.379249,0.596329,0.296061,0.642622,-0.098718,-0.192013,-0.422007
31,1567204131,-0.381442,0.591118,0.292084,0.647937,0.110973,0.894447,0.368526
32,1567237465,-0.383813,0.585046,0.291490,0.652301,-0.090580,0.414929,0.257432
33,1567270799,-0.384450,0.578813,0.289200,0.658477,0.062727,-0.031541,-0.473213
34,1567304133,-0.385296,0.572880,0.286307,0.664408,0.152106,0.115204,0.163377
35,1567337467,-0.386498,0.567162,0.283765,0.669685,0.123297,0.358591,0.399242
36,1567370801,-0.388241,0.561335,0.281244,0.674631,-0.659285,0.207549,0.150925
37,1567404135,-0.389469,0.555346,0.278595,0.679959,-0.534001,-0.002269,0.248734
38,1567437469,-0.391362,0.548745,0.276795,0.684947,-0.363334,-0.049877,0.038220
39,1567470803,-0.392879,0.542672,0.274366,0.689878,0.439842,0.020599,-0.285340
40,1567504137,-0.394000,0.536849,0.271925,0.694743,-0.216697,0.257172,0.211974
41,1567537471,-0.394282,0.530319,0.269651,0.700461,-0.063145,-0.142485,0.006881
42,1567570805,-0.394446,0.524177,0.266879,0.706031,0.251576,0.120989,-0.106439
