sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_13:48:10_501 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,273911599,0.561719,0.082553,-0.794232,0.216456,-1.654320,-0.490223,0.086637
2,273944933,0.561929,0.082363,-0.792949,0.220645,-1.133791,-0.517721,0.376204
3,273978267,0.561583,0.084504,-0.791257,0.226709,0.348641,-1.272094,-0.091617
4,274011601,0.559587,0.088636,-0.790679,0.232018,1.067409,-1.831806,-0.095544
5,274044935,0.555229,0.097045,-0.790573,0.239370,0.541824,-1.218853,0.213012
6,274078269,0.550793,0.108956,-0.789421,0.248134,0.047862,-0.555873,0.533482
7,274111603,0.549003,0.118332,-0.787215,0.254728,-0.083029,-0.032768,0.543643
8,274144937,0.548876,0.122582,-0.785877,0.257112,0.088362,0.820601,0.407021
9,274178271,0.549220,0.121167,-0.785737,0.257476,-0.311301,1.297136,-0.590293
10,274211605,0.552567,0.114934,-0.785739,0.253129,0.167117,0.058378,0.618454
11,274244939,0.556659,0.110938,-0.784706,0.249121,1.028037,-0.934317,0.239275
12,274278273,0.557503,0.111779,-0.783787,0.249746,1.077341,-0.523903,0.016621
13,274311607,0.556478,0.114612,-0.783183,0.252629,-0.082996,1.286864,0.323706
14,274344941,0.556746,0.114707,-0.783248,0.251793,-0.481034,1.568604,0.265333
15,274378275,0.558539,0.110772,-0.783981,0.247262,0.095825,0.841498,0.105700
16,274411609,0.560511,0.105956,-0.784739,0.242458,0.542609,-0.106145,-0.006266
17,274444943,0.561943,0.101164,-0.785815,0.237657,-0.073959,-0.448131,0.122248
18,274478277,0.562280,0.097710,-0.787019,0.234296,-0.366976,-0.133753,0.242705
19,274511611,0.562644,0.096335,-0.787497,0.232380,-0.540938,0.139615,0.198636
20,274544945,0.563771,0.094930,-0.787500,0.230204,-0.641291,0.221828,0.108577
21,274578279,0.564872,0.092894,-0.787776,0.227378,-0.422327,-0.054237,0.177777
22,274611613,0.565525,0.091770,-0.788044,0.225270,-0.404861,-0.177559,0.140861
23,274644947,0.567009,0.092206,-0.787139,0.224527,-0.829030,-0.256597,0.366573
24,274678281,0.569596,0.094806,-0.784548,0.225957,-0.336147,0.359432,0.114659
25,274711615,0.572767,0.095440,-0.782257,0.225617,0.010628,0.552455,0.172359
26,274744949,0.576495,0.094872,-0.779859,0.224661,0.339896,0.316419,0.292818
27,274778283,0.579659,0.092653,-0.778484,0.222202,1.314770,0.808829,0.001297
28,274811617,0.580279,0.090397,-0.778914,0.219996,1.460585,0.273191,-0.025435
29,274844951,0.578089,0.090732,-0.780452,0.220171,1.050903,0.296736,0.264749
