sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:35:43_844 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,846506878,0.461579,-0.196807,-0.331952,0.798766,0.514608,1.323312,-2.107802
2,846540212,0.456784,-0.200931,-0.323267,0.804040,0.113082,1.424706,-0.498507
3,846573546,0.451372,-0.207002,-0.318243,0.807553,0.303741,0.143921,0.358053
4,846606880,0.446940,-0.212905,-0.309270,0.811957,0.517629,-0.209480,1.516363
5,846640214,0.441781,-0.224204,-0.300245,0.815120,-0.258230,-2.326736,1.161965
6,846673548,0.435585,-0.237830,-0.292104,0.817548,0.386049,-2.844275,1.106241
7,846706882,0.434110,-0.249708,-0.278977,0.819373,1.075462,-4.920739,-1.761945
8,846740216,0.439203,-0.255581,-0.266308,0.819063,1.416140,-6.098528,-4.528965
9,846773550,0.447111,-0.250510,-0.265498,0.816611,0.683621,-2.978825,-6.362561
10,846806884,0.457607,-0.243560,-0.280825,0.807724,1.262812,1.980086,-3.694226
11,846840218,0.476653,-0.222912,-0.285704,0.800932,-1.243853,7.834386,0.093075
12,846873552,0.487271,-0.198582,-0.295479,0.797390,-0.206239,9.516010,2.110294
13,846906886,0.481479,-0.184364,-0.303119,0.801444,0.665823,8.932006,0.494467
14,846940220,0.466240,-0.187617,-0.314190,0.805426,-0.945429,4.167610,1.331772
15,846973554,0.447500,-0.194344,-0.325036,0.810143,-2.510250,1.193004,2.422338
16,847006888,0.429319,-0.207470,-0.332743,0.813591,-1.785096,-4.346819,1.916423
17,847040222,0.421620,-0.224514,-0.335267,0.812055,-0.834392,-7.205160,2.271557
18,847073556,0.422026,-0.243783,-0.332740,0.807313,-1.313434,-7.800129,0.658546
19,847106890,0.424185,-0.264308,-0.333995,0.799163,-0.005674,-5.475560,-0.611620
20,847140224,0.432372,-0.272748,-0.330326,0.793444,1.513193,-3.518301,-3.648926
21,847173558,0.441852,-0.270381,-0.328487,0.789787,1.737091,-1.285862,-5.390674
