sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:32:30_927 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,653569686,-0.593785,-0.230616,0.744755,-0.199058,-0.251644,-0.300737,0.052597
2,653603020,-0.594149,-0.230186,0.745138,-0.197027,0.196949,-0.468168,0.078251
3,653636354,-0.594369,-0.230087,0.745784,-0.194009,0.020139,-0.595803,0.197531
4,653669688,-0.594913,-0.229178,0.746765,-0.189593,-0.117561,-0.431503,0.139296
5,653703022,-0.596116,-0.227998,0.747311,-0.185032,-0.177036,-0.449462,0.235712
6,653736356,-0.597804,-0.226193,0.747866,-0.179475,-0.137572,-0.177798,0.184475
7,653769690,-0.599962,-0.223929,0.748300,-0.173196,-0.142271,-0.223774,0.213406
8,653803024,-0.602607,-0.221503,0.748362,-0.166743,-0.220199,-0.401710,0.075034
9,653836358,-0.605413,-0.219597,0.748039,-0.160432,0.017927,-0.179761,0.072808
10,653869692,-0.608148,-0.217786,0.747827,-0.153389,-0.145605,-0.298082,0.158780
11,653903026,-0.611050,-0.216405,0.747210,-0.146671,-0.096466,-0.246661,0.282176
12,653936360,-0.614210,-0.215994,0.745749,-0.141415,-0.213102,-0.106573,0.176660
13,653969694,-0.617442,-0.216010,0.744050,-0.136170,0.093187,0.301726,0.201494
14,654003028,-0.620991,-0.215486,0.742344,-0.130032,0.185915,0.302366,0.158424
15,654036362,-0.624752,-0.213906,0.740842,-0.123002,0.411753,0.157316,0.136920
16,654069696,-0.628815,-0.211166,0.739476,-0.114997,0.445371,-0.135995,0.084359
17,654103030,-0.632464,-0.208680,0.738199,-0.107481,0.320784,-0.313409,0.176032
18,654136364,-0.635125,-0.207435,0.737114,-0.101483,0.309561,-0.171553,0.149009
19,654169698,-0.637426,-0.206646,0.736112,-0.095772,0.219200,-0.085328,0.056766
20,654203032,-0.639423,-0.206010,0.735248,-0.090310,0.203654,0.067524,0.146379
21,654236366,-0.641273,-0.205116,0.734506,-0.085120,0.208864,0.271247,0.114361
22,654269700,-0.643236,-0.203801,0.733728,-0.080018,0.060976,0.227343,0.064738
23,654303034,-0.645199,-0.202194,0.732973,-0.075060,0.158008,0.387436,0.131846
24,654336368,-0.647423,-0.200151,0.732105,-0.069657,0.111493,0.214967,0.050257
25,654369702,-0.649761,-0.198106,0.731076,-0.064343,-0.063749,-0.116371,0.112569
26,654403036,-0.651580,-0.197176,0.730015,-0.060758,-0.071110,0.009042,0.099950
27,654436370,-0.653287,-0.196595,0.728891,-0.057721,-0.055941,0.243824,0.159295
28,654469704,-0.655076,-0.196008,0.727670,-0.054767,0.006304,0.336489,0.148172
29,654503038,-0.656892,-0.195394,0.726399,-0.052018,0.021421,0.328202,0.141685
30,654536372,-0.658340,-0.195164,0.725299,-0.049892,0.191087,0.291855,0.187248
31,654569706,-0.659828,-0.194801,0.724167,-0.048059,0.170050,0.262179,0.034588
32,654603040,-0.661349,-0.193801,0.723186,-0.045907,0.123102,0.060833,0.122640
33,654636374,-0.662814,-0.192497,0.722315,-0.043951,0.121958,0.092842,0.154326
34,654669708,-0.664192,-0.191206,0.721488,-0.042345,0.014716,0.128603,0.086165
35,654703042,-0.665243,-0.190280,0.720826,-0.041267,0.043522,0.229829,0.072000
36,654736376,-0.666184,-0.189429,0.720236,-0.040292,0.011065,0.251137,0.025667
37,654769710,-0.666875,-0.188461,0.719903,-0.039337,0.105426,0.165841,0.197523
38,654803044,-0.667510,-0.187517,0.719600,-0.038612,0.034782,0.126109,0.070458
39,654836378,-0.667923,-0.186795,0.719424,-0.038251,-0.048106,0.107205,0.006819
40,654869712,-0.668006,-0.186341,0.719460,-0.038345,-0.006288,0.182306,0.055174
41,654903046,-0.668017,-0.185624,0.719636,-0.038318,0.036193,0.200459,0.110086
42,654936380,-0.667975,-0.184670,0.719925,-0.038241,0.052890,0.101152,0.122992
43,654969714,-0.667863,-0.183724,0.720264,-0.038388,0.006259,0.227881,0.008806
44,655003048,-0.667603,-0.182607,0.720777,-0.038579,-0.004464,0.248625,0.041833
45,655036382,-0.667125,-0.181352,0.721531,-0.038687,0.090932,0.144277,0.059228
46,655069716,-0.666510,-0.179954,0.722454,-0.038586,0.223256,0.165342,0.059590
47,655103050,-0.665721,-0.178452,0.723558,-0.038505,0.164230,0.035874,0.045620
48,655136384,-0.664562,-0.177308,0.724861,-0.039289,0.324258,-0.018384,0.096348
49,655169718,-0.663245,-0.176008,0.726339,-0.040088,0.335754,0.197885,0.171355
50,655203052,-0.661937,-0.174484,0.727868,-0.040623,0.107647,0.177927,0.006721
51,655236386,-0.660116,-0.173818,0.729552,-0.042851,0.053295,0.032189,0.242524
52,655269720,-0.658075,-0.173136,0.731408,-0.045290,0.158505,0.242402,0.244746
53,655303054,-0.656086,-0.172520,0.733185,-0.047715,-0.049767,0.275885,0.134849
54,655336388,-0.654038,-0.172265,0.734867,-0.050778,-0.126362,0.293809,0.094461
55,655369722,-0.651644,-0.172302,0.736736,-0.054223,0.027474,0.278115,0.186977
56,655403056,-0.649161,-0.172493,0.738603,-0.057874,-0.091300,0.152312,0.175552
57,655436390,-0.646872,-0.172756,0.740232,-0.061773,-0.161065,0.164883,0.093204
58,655469724,-0.644116,-0.173176,0.742147,-0.066259,-0.015552,-0.115296,0.309627
59,655503058,-0.640970,-0.173921,0.744186,-0.071723,0.009154,-0.228579,0.175676
60,655536392,-0.638330,-0.174903,0.745653,-0.077417,-0.272628,0.000873,0.106069
61,655569726,-0.635733,-0.176215,0.746937,-0.083208,-0.181299,0.262028,0.189428
62,655603060,-0.632921,-0.177521,0.748373,-0.088783,-0.049613,0.223583,0.160515
63,655636394,-0.630395,-0.178398,0.749659,-0.093994,-0.086922,0.141695,0.087187
64,655669728,-0.628457,-0.178656,0.750605,-0.098812,-0.172256,0.069899,0.236579
65,655703062,-0.626886,-0.178433,0.751430,-0.102841,-0.000076,0.124689,0.164015
66,655736396,-0.625476,-0.177577,0.752458,-0.105361,-0.204578,-0.410459,0.030888
67,655769730,-0.624067,-0.177336,0.753160,-0.109045,-0.367511,-0.734917,0.242023
68,655803064,-0.622902,-0.177948,0.753365,-0.113212,-0.261914,-0.250226,0.322897
69,655836398,-0.621615,-0.179333,0.753525,-0.116970,-0.248864,-0.156643,0.022740
70,655869732,-0.620221,-0.180598,0.753787,-0.120675,0.005593,-0.087901,0.160508
71,655903066,-0.619463,-0.180471,0.754033,-0.123200,0.016289,-0.234276,0.109845
72,655936400,-0.618856,-0.180004,0.754363,-0.124906,0.104441,-0.479575,0.079666
73,655969734,-0.618020,-0.180022,0.754729,-0.126787,0.149045,-0.368249,0.092901
74,656003068,-0.617545,-0.180442,0.754705,-0.128633,-0.077360,-0.419829,0.162690
75,656036402,-0.617189,-0.181512,0.754368,-0.130801,-0.140536,-0.197012,0.342973
76,656069736,-0.617343,-0.181916,0.753967,-0.131818,-0.158915,0.076944,0.041414
77,656103070,-0.617746,-0.181811,0.753643,-0.131927,-0.135996,-0.245806,0.198598
78,656136404,-0.618666,-0.181434,0.752994,-0.131839,-0.155346,-0.343604,0.249199
79,656169738,-0.620423,-0.180969,0.751866,-0.130655,-0.295262,-0.223343,0.210479
80,656203072,-0.622578,-0.180716,0.750417,-0.129075,-0.198488,-0.296594,0.189060
81,656236406,-0.624834,-0.181126,0.748639,-0.127922,0.034780,-0.558770,0.248038
82,656269740,-0.627545,-0.181344,0.746633,-0.126053,0.092955,-0.647508,0.263046
83,656303074,-0.631410,-0.180161,0.744266,-0.122392,0.111442,-0.646709,0.364006
84,656336408,-0.638264,-0.178224,0.739784,-0.116716,0.106710,-0.353465,0.584711
85,656369742,-0.646136,-0.175208,0.735035,-0.107623,0.056910,-0.037642,-0.431416
86,656403076,-0.651970,-0.172624,0.731708,-0.098928,0.721024,-0.507031,-0.349787
87,656436410,-0.656157,-0.169641,0.729812,-0.090011,0.611949,-1.276105,0.062701
88,656469744,-0.663397,-0.166067,0.725287,-0.079571,-0.144892,-0.339143,1.067856
89,656503078,-0.673924,-0.166221,0.716180,-0.073016,-1.483445,0.867489,0.028214
90,656536412,-0.678697,-0.169492,0.711431,-0.067511,0.321270,-0.199797,-0.419902
91,656569746,-0.681271,-0.167709,0.710037,-0.060326,1.055502,-0.957763,-0.119585
92,656603080,-0.683409,-0.165307,0.709202,-0.052026,0.990265,-1.066413,-0.072496
