sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:32:30_936 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,653603020,-0.433134,0.356961,-0.724999,0.399194,0.442027,-0.036325,0.318242
2,653636354,-0.433573,0.353782,-0.723630,0.404004,0.565677,0.151105,0.354403
3,653669688,-0.434374,0.349421,-0.721599,0.410519,0.281622,0.622871,0.203878
4,653703022,-0.433970,0.344987,-0.720894,0.415899,0.083766,0.818058,0.163570
5,653736356,-0.432361,0.340554,-0.721609,0.419968,0.006736,0.685008,0.192985
6,653769690,-0.430207,0.336027,-0.722886,0.423615,-0.108202,0.528519,0.183864
7,653803024,-0.428200,0.331479,-0.724301,0.426804,-0.132788,0.276182,-0.118346
8,653836358,-0.426782,0.327175,-0.725182,0.430035,-0.122442,0.250633,-0.367043
9,653869692,-0.425564,0.323479,-0.725286,0.433846,-0.218745,0.433729,-0.574554
10,653903026,-0.423568,0.320701,-0.725553,0.437401,-0.447262,0.502787,-0.331841
11,653936360,-0.420229,0.318880,-0.726922,0.439674,-0.363598,0.441924,-0.162617
12,653969694,-0.415948,0.317700,-0.729244,0.440752,-0.125645,0.109333,0.214256
13,654003028,-0.411969,0.316641,-0.731168,0.442064,0.079070,-0.158197,0.260994
14,654036362,-0.408819,0.315275,-0.732381,0.443952,0.213161,-0.351975,0.385008
15,654069696,-0.406998,0.313340,-0.732371,0.447000,0.089470,-0.233322,0.314226
16,654103030,-0.405845,0.311426,-0.731862,0.450209,-0.013382,-0.118231,-0.047427
17,654136364,-0.404420,0.310127,-0.731619,0.452776,-0.048901,-0.173355,-0.068697
18,654169698,-0.402816,0.309424,-0.731576,0.454752,-0.157158,-0.188880,-0.078201
19,654203032,-0.401072,0.309171,-0.731831,0.456053,-0.088004,-0.253471,-0.043003
20,654236366,-0.399492,0.309202,-0.731997,0.457152,-0.030262,-0.328099,-0.104589
21,654269700,-0.397996,0.309642,-0.732085,0.458016,0.000302,-0.331043,-0.016654
22,654303034,-0.396698,0.310439,-0.732091,0.458593,0.070323,-0.485920,0.146900
23,654336368,-0.395909,0.311193,-0.731685,0.459411,0.100993,-0.602617,0.162222
24,654369702,-0.395575,0.311782,-0.730923,0.460511,0.057764,-0.525208,0.055417
25,654403036,-0.395321,0.312169,-0.730150,0.461691,0.029478,-0.440196,0.158176
26,654436370,-0.395145,0.312287,-0.729255,0.463175,-0.021912,-0.379971,0.091321
27,654469704,-0.394861,0.312148,-0.728887,0.464089,0.005870,-0.422316,0.026635
28,654503038,-0.394410,0.311692,-0.728988,0.464620,0.051081,-0.468571,0.009981
29,654536372,-0.393810,0.310958,-0.729158,0.465353,-0.032991,-0.422606,0.059763
30,654569706,-0.393083,0.310087,-0.729565,0.465910,-0.045040,-0.373698,-0.099487
31,654603040,-0.391932,0.309455,-0.730389,0.466010,-0.007580,-0.510626,-0.074764
32,654636374,-0.390410,0.309228,-0.731144,0.466253,-0.053163,-0.559167,-0.121144
33,654669708,-0.388481,0.309415,-0.732212,0.466065,-0.129546,-0.524491,-0.045015
34,654703042,-0.386379,0.309782,-0.733782,0.465098,-0.003856,-0.583259,-0.088654
35,654736376,-0.384204,0.310063,-0.735989,0.463222,0.142076,-0.542330,0.022243
