sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:26:52_860 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,315496258,-0.513831,0.395954,0.624008,0.435711,1.738509,0.366445,0.894918
2,315529592,-0.515983,0.394166,0.627067,0.430364,0.584643,0.181231,0.701812
3,315562926,-0.519013,0.392745,0.628059,0.426557,0.437842,-0.400786,0.133632
4,315596260,-0.519269,0.395511,0.625541,0.427389,0.766517,-1.135148,0.542534
5,315629594,-0.517511,0.401282,0.620208,0.431891,0.164714,-1.010167,-0.183615
6,315662928,-0.515742,0.406538,0.615933,0.435196,-0.401089,-0.864139,-0.148355
7,315696262,-0.516780,0.408895,0.614728,0.433456,-1.413751,-0.422265,-0.372739
8,315729596,-0.520060,0.407871,0.617160,0.426995,-1.134959,-0.344456,0.455550
9,315762930,-0.523207,0.405772,0.619573,0.421622,-0.425294,0.515551,0.043525
10,315796264,-0.526103,0.402697,0.623289,0.415444,-0.170936,0.611549,0.268306
11,315829598,-0.528915,0.399822,0.626556,0.409696,0.198216,0.672528,0.149935
12,315862932,-0.530530,0.398644,0.628467,0.405811,0.582646,0.570127,0.036979
13,315896266,-0.531209,0.399272,0.628350,0.404485,0.631206,0.466830,0.366367
14,315929600,-0.531016,0.401924,0.625746,0.406145,0.199299,0.037478,0.197854
15,315962934,-0.528777,0.406929,0.621596,0.410431,-0.187614,-0.632946,0.041245
16,315996268,-0.525519,0.413031,0.616374,0.416354,-0.195484,-0.879030,0.158039
17,316029602,-0.522589,0.419198,0.610039,0.423153,-0.376123,-0.770758,-0.016796
18,316062936,-0.519632,0.425409,0.603608,0.429765,-0.499239,-0.802842,0.000376
19,316096270,-0.516391,0.432288,0.596933,0.436085,-0.204092,-0.435633,0.097745
20,316129604,-0.512294,0.439970,0.589872,0.442792,-0.297207,-0.225357,0.255710
21,316162938,-0.507422,0.448058,0.582124,0.450478,0.212955,-0.319153,0.250379
22,316196272,-0.502656,0.455919,0.574260,0.457966,-0.007092,-0.329491,0.177589
23,316229606,-0.499248,0.462397,0.566233,0.465138,-0.249161,0.114975,0.267872
24,316262940,-0.497246,0.467383,0.557546,0.472731,0.138655,0.637923,0.408488
25,316296274,-0.495177,0.472259,0.547660,0.481531,0.349166,0.763848,0.388613
26,316329608,-0.492068,0.477565,0.538106,0.490179,0.779120,-0.044054,0.160758
27,316362942,-0.487223,0.484137,0.528275,0.499182,0.716392,-0.470453,-0.041684
28,316396276,-0.482986,0.490431,0.519300,0.506520,-0.233304,-0.328313,-0.267903
29,316429610,-0.480935,0.494892,0.512665,0.510873,-0.496279,-0.113174,-0.279602
30,316462944,-0.478962,0.498517,0.507161,0.514680,-0.422450,0.618361,0.029275
31,316496278,-0.476165,0.501949,0.503679,0.517353,-0.298698,1.032983,0.176819
32,316529612,-0.474435,0.504015,0.504263,0.516363,-0.625459,1.544887,0.049807
33,316562946,-0.475378,0.503502,0.508709,0.511613,-0.128199,1.431604,0.183307
34,316596280,-0.477921,0.500824,0.514443,0.506110,0.485614,1.042622,0.436450
35,316629614,-0.481309,0.496878,0.520101,0.500980,0.287725,0.753744,0.215634
36,316662948,-0.485532,0.492328,0.525304,0.495944,-0.316678,0.370618,0.093088
37,316696282,-0.490843,0.487115,0.530328,0.490486,-0.504592,0.052149,0.095288
38,316729616,-0.496379,0.481500,0.536072,0.484175,-0.337908,-0.240773,0.010723
39,316762950,-0.500314,0.476462,0.542460,0.477953,0.552577,-0.805242,0.220572
40,316796284,-0.501382,0.473802,0.547342,0.473895,0.228474,-0.527027,0.181616
41,316829618,-0.502939,0.471578,0.551467,0.469663,-0.669129,0.022139,0.023088
42,316862952,-0.506400,0.467339,0.556210,0.464561,-0.442038,0.097101,0.423592
43,316896286,-0.510247,0.462386,0.561515,0.458890,-0.470223,0.557466,-0.077470
44,316929620,-0.514838,0.455920,0.569803,0.449928,-0.819334,0.749543,-0.045074
45,316962954,-0.519071,0.448439,0.580399,0.438904,-0.224468,0.270543,0.198751
46,316996288,-0.523396,0.440414,0.590537,0.428242,-0.078709,0.211731,0.244547
47,317029622,-0.527284,0.433045,0.599231,0.418806,0.793826,-0.134002,0.356482
48,317062956,-0.529090,0.428544,0.605393,0.412243,0.780095,-0.232699,0.039813
49,317096290,-0.530211,0.425543,0.610116,0.406915,0.302619,-0.304247,0.054510
50,317129624,-0.532003,0.422576,0.614430,0.401136,-0.153268,-0.183913,0.206337
51,317162958,-0.533959,0.419448,0.618575,0.395408,-0.447384,-0.187615,0.137533
52,317196292,-0.535408,0.415901,0.623082,0.390085,-0.461786,-0.187184,0.103492
53,317229626,-0.537076,0.411558,0.628216,0.384118,-0.204214,-0.230448,0.188307
54,317262960,-0.538329,0.407949,0.632844,0.378577,0.106333,-0.108053,0.128475
55,317296294,-0.538647,0.405726,0.636348,0.374619,0.371850,0.106524,0.158107
56,317329628,-0.538328,0.404837,0.638434,0.372484,0.224726,0.325382,0.118819
57,317362962,-0.537275,0.405277,0.639301,0.372038,0.064736,0.284304,0.198669
58,317396296,-0.535366,0.407053,0.638867,0.373594,0.076578,0.081532,0.263016
59,317429630,-0.533142,0.409410,0.637484,0.376550,0.008835,-0.324833,0.186132
60,317462964,-0.530571,0.412559,0.635022,0.380880,-0.073415,-0.529842,0.010315
61,317496298,-0.527440,0.416783,0.631488,0.386463,-0.075851,-0.584216,0.090384
62,317529632,-0.523229,0.422302,0.626868,0.393651,-0.116309,-0.609728,0.130299
63,317562966,-0.518918,0.427706,0.622380,0.400584,-0.170458,-0.388255,0.021031
64,317596300,-0.514838,0.432801,0.618333,0.406598,-0.188832,-0.226078,0.106205
65,317629634,-0.510839,0.437700,0.614134,0.412715,-0.104727,0.026842,0.231884
66,317662968,-0.507103,0.442152,0.609758,0.419017,-0.050218,0.177304,0.200759
67,317696302,-0.503615,0.446229,0.605479,0.425064,0.240628,0.170659,0.159086
68,317729636,-0.499770,0.450673,0.600826,0.431467,0.367939,0.030527,0.208142
69,317762970,-0.496252,0.455213,0.595659,0.437879,0.341613,-0.218095,0.263442
70,317796304,-0.493199,0.459955,0.589961,0.444045,0.140091,-0.277277,0.227739
71,317829638,-0.490239,0.464803,0.583766,0.450414,0.119407,-0.212603,0.198329
72,317862972,-0.487303,0.469571,0.577305,0.456935,0.148801,-0.134760,0.104315
73,317896306,-0.484495,0.474212,0.570788,0.463272,-0.006608,0.064106,0.157450
74,317929640,-0.482099,0.478261,0.564837,0.468868,-0.307682,0.428234,0.008349
75,317962974,-0.480231,0.481197,0.560720,0.472708,-0.229276,0.469181,0.093843
76,317996308,-0.478120,0.483454,0.558199,0.475521,-0.007413,0.482949,0.002543
77,318029642,-0.477046,0.484468,0.557381,0.476526,-0.209201,0.499136,0.101446
78,318062976,-0.477315,0.483973,0.557941,0.476104,0.127918,0.490953,0.137490
79,318096310,-0.477766,0.483065,0.559094,0.475220,0.179646,0.511724,0.133861
80,318129644,-0.478931,0.481443,0.560604,0.473913,0.039315,0.681312,0.080541
81,318162978,-0.481473,0.478610,0.562690,0.471728,-0.056753,0.683875,0.192025
82,318196312,-0.484265,0.475142,0.565259,0.469299,0.147061,0.329316,0.155717
83,318229646,-0.486604,0.471649,0.567869,0.467248,0.012339,0.073612,0.111659
84,318262980,-0.488597,0.468428,0.570307,0.465435,-0.165113,-0.291411,0.107149
85,318296314,-0.490456,0.465545,0.572599,0.463557,-0.258038,-0.675030,0.085505
86,318329648,-0.491910,0.463261,0.574825,0.461544,-0.235470,-0.882755,-0.034681
87,318362982,-0.493049,0.461403,0.577334,0.459050,-0.393557,-0.751011,-0.023669
88,318396316,-0.494400,0.459387,0.580831,0.455193,-0.467064,-0.644157,0.024942
89,318429650,-0.496260,0.456889,0.585561,0.449589,-0.511076,-0.384349,0.026898
90,318462984,-0.498260,0.453916,0.591519,0.442533,-0.235183,-0.290023,0.080989
91,318496318,-0.500349,0.450265,0.598093,0.435005,-0.004364,0.108535,0.146081
92,318529652,-0.502738,0.445983,0.604989,0.427054,0.131308,0.531225,0.110502
93,318562986,-0.505280,0.441251,0.611862,0.419103,0.197001,0.742692,0.223452
94,318596320,-0.507719,0.436237,0.618695,0.411300,0.154259,0.697719,0.233141
95,318629654,-0.510866,0.430187,0.626028,0.402588,-0.363140,0.529288,0.034361
96,318662988,-0.515839,0.421462,0.635060,0.391166,-0.394710,0.014526,0.145492
97,318696322,-0.521616,0.411335,0.644296,0.378992,0.055050,0.116727,0.307728
98,318729656,-0.525840,0.402920,0.652256,0.368432,0.062064,0.082003,0.183122
99,318762990,-0.528182,0.396746,0.658367,0.360835,0.479706,0.062140,0.179118
100,318796324,-0.529419,0.392231,0.663052,0.355337,0.326839,0.143634,0.135159
101,318829658,-0.530693,0.388002,0.667381,0.349936,0.153487,0.135298,0.273737
102,318862992,-0.532249,0.384039,0.670603,0.345758,-0.410898,0.236241,0.152243
103,318896326,-0.534658,0.378594,0.674192,0.341035,0.045486,-0.129089,0.234563
104,318929660,-0.536685,0.374009,0.676865,0.337597,0.312700,-0.344783,0.165671
