sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:26:52_863 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,315496258,0.485072,-0.152421,-0.182164,0.841603,-0.103099,-2.500066,4.824190
2,315529592,0.470210,-0.178302,-0.182694,0.844831,0.469113,-3.619521,3.358963
3,315562926,0.451902,-0.201011,-0.182857,0.849675,-0.295569,-5.430951,-1.089990
4,315596260,0.427138,-0.227544,-0.200075,0.851911,0.739485,-6.914180,-6.267550
5,315629594,0.399705,-0.263045,-0.244368,0.843406,0.088209,-5.406721,-5.631931
6,315662928,0.400149,-0.257374,-0.262212,0.839577,0.540615,0.405995,1.242102
7,315696262,0.420438,-0.211667,-0.258643,0.843527,-0.126226,1.722248,-1.524378
8,315729596,0.430613,-0.160943,-0.269078,0.846329,-0.203995,5.901786,-1.433994
9,315762930,0.434833,-0.122982,-0.275145,0.848585,1.656805,10.424248,1.595702
10,315796264,0.438443,-0.107438,-0.263294,0.852588,-1.934806,7.027967,-1.224712
11,315829598,0.434596,-0.115663,-0.254662,0.856097,-3.909496,5.830154,-0.909086
12,315862932,0.431276,-0.139062,-0.252733,0.854865,-4.880555,4.101164,-0.768484
13,315896266,0.435915,-0.160776,-0.248758,0.849856,-3.026754,4.425326,-0.005459
14,315929600,0.451550,-0.176954,-0.240396,0.840836,-3.318090,3.811484,-1.446703
15,315962934,0.475277,-0.197847,-0.238115,0.823574,-2.936885,3.222141,-2.536077
16,315996268,0.509487,-0.223209,-0.240270,0.795536,-2.082867,3.817051,-0.334936
17,316029602,0.556743,-0.246013,-0.238498,0.756730,-2.017406,3.639217,-1.045683
18,316062936,0.610878,-0.273173,-0.237935,0.703987,-0.172250,5.559129,0.000437
19,316096270,0.673774,-0.300263,-0.226017,0.636233,6.154413,4.061284,0.712008
20,316129604,0.732886,-0.328668,-0.196946,0.562204,6.367411,1.117787,-0.550455
21,316162938,0.774265,-0.371109,-0.178855,0.480425,7.678523,-2.344507,2.975570
22,316196272,0.813726,-0.385646,-0.158019,0.405170,5.934037,-5.305166,-0.377766
23,316229606,0.845662,-0.386661,-0.143792,0.338643,3.760991,-6.509850,-2.904492
24,316262940,0.873290,-0.373104,-0.143944,0.278287,1.379927,-6.398182,-4.321095
25,316296274,0.892621,-0.355309,-0.172464,0.217358,0.119554,-4.962978,-5.118552
26,316329608,0.898121,-0.341371,-0.231894,0.151907,0.512917,-3.307224,-4.720567
27,316362942,0.892623,-0.320080,-0.305385,0.086706,4.445451,-5.454468,-3.960965
28,316396276,0.881723,-0.296107,-0.366032,0.030212,5.152034,-5.291986,4.237357
29,316429610,0.861861,-0.294052,-0.412704,-0.020259,-0.725956,-7.458354,10.913641
30,316462944,0.854367,-0.268851,-0.442192,-0.047424,-1.844345,-7.953753,5.587482
31,316496278,0.849254,-0.259853,-0.456170,-0.056199,-3.842110,-4.675279,2.881032
32,316529612,0.844340,-0.262537,-0.464428,-0.049769,-6.122640,-5.482126,5.039122
33,316562946,0.843752,-0.257023,-0.470335,-0.028480,-4.833171,-4.879727,4.113452
34,316596280,0.845301,-0.252426,-0.470888,0.004196,-3.210768,-5.105449,3.000704
35,316629614,0.847887,-0.249313,-0.465520,0.047198,-2.282663,-4.562693,2.575048
36,316662948,0.848231,-0.250670,-0.456266,0.097450,-1.028846,-4.338110,1.800808
37,316696282,0.845232,-0.253410,-0.445109,0.152482,0.105120,-5.001917,1.605091
38,316729616,0.838555,-0.254869,-0.433001,0.210672,1.262174,-4.264203,1.168848
39,316762950,0.826725,-0.257293,-0.420636,0.270921,2.593406,-3.836496,0.750073
40,316796284,0.810087,-0.258565,-0.407012,0.333542,3.125661,-3.284746,1.919058
41,316829618,0.787581,-0.257349,-0.394513,0.397307,3.916797,-3.274469,3.204791
42,316862952,0.758484,-0.253634,-0.383550,0.461809,5.425091,-2.512621,2.568080
43,316896286,0.722375,-0.250266,-0.371524,0.526799,6.049122,-1.268829,2.658084
44,316929620,0.680600,-0.244033,-0.356327,0.591834,6.449813,1.065179,2.970040
45,316962954,0.631644,-0.242834,-0.342789,0.651582,5.822603,3.492066,0.933571
46,316996288,0.568616,-0.262294,-0.346775,0.698305,2.986655,4.230831,-2.923912
47,317029622,0.494589,-0.289148,-0.366730,0.733001,2.913161,4.394426,-0.708737
48,317062956,0.432031,-0.300439,-0.376507,0.762452,0.626928,4.399307,-1.177588
49,317096290,0.391584,-0.296171,-0.369087,0.789129,-0.292774,3.686437,-3.986621
50,317129624,0.367857,-0.282398,-0.352459,0.812841,-2.259192,3.313458,-3.754705
51,317162958,0.356564,-0.254690,-0.328075,0.836880,-2.684464,3.748751,-2.904518
52,317196292,0.352133,-0.215314,-0.305899,0.857947,-4.823975,4.530062,-2.298811
53,317229626,0.346567,-0.172388,-0.305049,0.870129,-4.895465,6.197735,-1.530796
54,317262960,0.339978,-0.142162,-0.316173,0.874211,-4.773539,6.452026,-4.825698
55,317296294,0.328668,-0.131724,-0.318501,0.879312,-5.123102,6.774083,-4.511209
56,317329628,0.318297,-0.143703,-0.313464,0.883053,-5.605043,5.355499,1.439768
57,317362962,0.310654,-0.158497,-0.303728,0.886639,-5.432388,3.100015,-0.223416
58,317396296,0.307171,-0.178869,-0.302080,0.884537,-4.704867,2.217326,-2.285717
59,317429630,0.305608,-0.208347,-0.309576,0.875993,-3.941169,2.573055,-0.592098
60,317462964,0.316365,-0.236048,-0.307501,0.865820,-3.593856,2.151957,-0.361220
61,317496298,0.342284,-0.259824,-0.296828,0.852779,-3.644644,1.629744,-1.456563
62,317529632,0.381252,-0.283433,-0.286454,0.832023,-2.594184,1.593019,-1.406919
63,317562966,0.431332,-0.306086,-0.277185,0.802146,-1.720323,2.040538,-1.259211
64,317596300,0.484827,-0.332943,-0.276753,0.759938,0.919401,2.976184,-0.997422
65,317629634,0.541309,-0.361184,-0.272888,0.708568,3.568065,2.981843,0.772162
66,317662968,0.602334,-0.379368,-0.257035,0.653615,4.760587,1.445358,0.095189
67,317696302,0.659365,-0.392291,-0.239972,0.594781,5.200703,-0.504610,-1.954077
68,317729636,0.709004,-0.402370,-0.225320,0.533525,4.745252,-1.817142,-1.796956
69,317762970,0.750804,-0.405443,-0.215373,0.474900,4.368579,-2.332314,-4.475105
70,317796304,0.773636,-0.423062,-0.212686,0.421041,4.603020,-2.623482,-3.228152
71,317829638,0.785318,-0.448823,-0.221271,0.364524,3.831295,-2.915624,1.062789
72,317862972,0.813852,-0.433164,-0.227437,0.313516,2.643039,-2.854175,-0.295584
73,317896306,0.832804,-0.421874,-0.251093,0.255767,3.313428,-2.944467,-1.300045
74,317929640,0.836902,-0.423306,-0.290662,0.189545,1.753340,-3.831234,4.069889
75,317962974,0.855443,-0.375805,-0.325138,0.145875,0.906988,-3.345969,1.094290
76,317996308,0.864679,-0.330990,-0.361627,0.109579,1.718186,-2.744058,0.513596
77,318029642,0.857553,-0.311049,-0.404404,0.065686,-0.548922,-4.168837,4.606141
78,318062976,0.851682,-0.275013,-0.444768,0.034549,-0.318094,-5.586996,3.076733
79,318096310,0.841113,-0.254580,-0.476923,0.016383,-1.144802,-5.691175,2.535992
80,318129644,0.825108,-0.259454,-0.501674,0.014487,-2.143088,-6.214373,4.484149
81,318162978,0.812423,-0.272171,-0.514558,0.033576,-2.393000,-8.349009,3.518974
82,318196312,0.805100,-0.280392,-0.518156,0.068656,-1.544692,-7.262799,2.191620
83,318229646,0.797729,-0.289297,-0.517110,0.111978,-2.671455,-5.262386,2.845808
84,318262980,0.787164,-0.298693,-0.514718,0.161948,-1.828019,-4.952036,2.910087
85,318296314,0.771922,-0.308869,-0.512499,0.214680,-0.308184,-4.741560,3.435630
86,318329648,0.754926,-0.311127,-0.507905,0.274452,0.963790,-3.477940,3.677197
87,318362982,0.736084,-0.305435,-0.498413,0.341293,2.819058,-2.579838,4.455793
88,318396316,0.713826,-0.296824,-0.483049,0.411117,4.868927,-1.318422,5.474335
89,318429650,0.685719,-0.291690,-0.458721,0.484032,5.513279,0.777594,2.996642
90,318462984,0.643724,-0.304515,-0.432595,0.552953,4.597798,1.070572,3.038890
91,318496318,0.592013,-0.316636,-0.404696,0.620878,4.422537,2.231625,4.893486
92,318529652,0.540895,-0.316635,-0.363805,0.689076,2.126934,3.466358,0.462214
93,318562986,0.489132,-0.314083,-0.317077,0.749380,1.842815,4.517322,-1.511950
94,318596320,0.445383,-0.313176,-0.267244,0.795073,0.478061,4.395818,-3.234113
95,318629654,0.409100,-0.318424,-0.225446,0.824878,-0.952728,3.526495,-5.501607
96,318662988,0.375699,-0.328195,-0.202204,0.842768,-2.099992,1.229936,-6.728282
97,318696322,0.346250,-0.330476,-0.196618,0.855713,-0.995464,1.382061,-5.824030
98,318729656,0.325509,-0.316152,-0.199169,0.868579,-0.846224,2.527477,-4.964575
99,318762990,0.310721,-0.285896,-0.204894,0.883029,-1.642312,2.906298,-3.248827
100,318796324,0.297470,-0.254790,-0.211790,0.895402,-1.164935,3.195427,-3.828631
101,318829658,0.280679,-0.241651,-0.218558,0.902808,-1.319389,3.786819,-0.123322
102,318862992,0.265579,-0.243566,-0.218633,0.906834,-2.588815,1.265124,2.176797
103,318896326,0.251327,-0.258334,-0.222667,0.905827,-1.870454,-0.821182,1.471228
104,318929660,0.234867,-0.281225,-0.232804,0.900865,-0.696432,-0.849920,0.982113
105,318962994,0.225254,-0.298221,-0.232920,0.897819,-1.078031,-1.268819,-0.174228
106,318996328,0.220498,-0.308625,-0.229587,0.896340,-0.011697,-1.316592,-0.836840
107,319029662,0.225589,-0.309115,-0.223858,0.896354,-1.071873,-1.193714,-2.996843
108,319062996,0.236362,-0.301832,-0.222774,0.896330,-2.334180,-0.926442,-3.745345
109,319096330,0.248029,-0.288957,-0.235633,0.894130,-3.859034,0.792676,-2.096419
110,319129664,0.263620,-0.270409,-0.256437,0.889735,-3.911081,3.609460,-1.338757
111,319162998,0.281172,-0.254000,-0.271442,0.884732,-2.208874,5.556432,-1.350291
112,319196332,0.299687,-0.245757,-0.270238,0.881345,-1.572521,4.914227,-2.751924
113,319229666,0.314071,-0.251017,-0.265505,0.876278,-3.158907,3.247154,-3.466180
114,319263000,0.323187,-0.271324,-0.282458,0.861485,-0.987257,5.659318,0.211116
115,319296334,0.347640,-0.283384,-0.285182,0.847064,-0.859054,3.778784,-0.079471
116,319329668,0.378531,-0.292537,-0.288333,0.829461,-1.273005,1.697068,-1.897464
117,319363002,0.413161,-0.303633,-0.300073,0.804405,-0.865017,2.856292,1.317701
118,319396336,0.457018,-0.313045,-0.311914,0.771915,-0.601795,1.916718,0.998708
119,319429670,0.507115,-0.321873,-0.323012,0.731369,0.624652,1.835149,1.783095
120,319463004,0.563396,-0.323089,-0.325985,0.686977,1.822379,0.779930,1.167159
121,319496338,0.618781,-0.318291,-0.327359,0.639252,2.537029,-0.067855,0.741110
122,319529672,0.668055,-0.314326,-0.326199,0.590340,3.152895,-0.893142,1.322813
123,319563006,0.713417,-0.306625,-0.320957,0.542226,2.236700,-1.591714,1.204466
124,319596340,0.755970,-0.292793,-0.314317,0.493955,2.247648,-1.623894,-0.601512
125,319629674,0.792484,-0.282885,-0.310761,0.442017,2.922461,-1.162351,-1.110744
126,319663008,0.820543,-0.283745,-0.311538,0.386197,3.274339,-1.853886,-0.464998
127,319696342,0.843685,-0.283583,-0.314419,0.330033,3.586921,-2.506590,-0.848657
128,319729676,0.858208,-0.290754,-0.322413,0.273854,3.832013,-3.577235,-1.069225
129,319763010,0.867331,-0.289088,-0.336458,0.225757,2.718603,-4.274657,0.545335
130,319796344,0.875117,-0.263248,-0.357626,0.192303,2.598201,-3.187272,-0.538166
131,319829678,0.878104,-0.232854,-0.385130,0.162457,2.064805,-2.268883,-0.389341
132,319863012,0.877699,-0.197690,-0.415866,0.132753,0.823846,-2.414495,1.185914
133,319896346,0.872141,-0.163949,-0.449213,0.103462,0.409471,-2.979710,2.597276
134,319929680,0.860866,-0.138703,-0.483721,0.075444,-1.222785,-4.238142,3.655851
135,319963014,0.849217,-0.111958,-0.512720,0.058474,-1.064192,-4.915366,2.880895
136,319996348,0.838522,-0.093961,-0.534180,0.052065,-2.305500,-4.025658,2.259064
137,320029682,0.827587,-0.095405,-0.550767,0.051567,-2.303429,-4.230603,2.558804
138,320063016,0.817578,-0.113277,-0.561519,0.058622,-2.188163,-4.604236,1.757126
139,320096350,0.809222,-0.128283,-0.567480,0.081707,-1.079504,-6.921363,2.588411
140,320129684,0.806658,-0.132681,-0.563179,0.120550,0.350324,-5.389314,2.305258
141,320163018,0.806148,-0.138865,-0.550553,0.166553,0.124060,-3.873806,2.052197
142,320196352,0.802628,-0.150648,-0.534993,0.216524,0.629102,-3.417141,2.441226
143,320229686,0.793924,-0.167650,-0.519320,0.268124,1.582469,-3.304311,1.963808
