sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:56:13_833 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,62287891,0.992334,-0.051032,0.112425,-0.005916,-2.827151,-1.580132,-3.477499
2,62321225,0.992189,-0.003441,0.124456,-0.008121,-3.142412,-0.752429,-3.818064
3,62354559,0.990826,0.037862,0.128675,-0.016684,-2.370595,-0.394986,-4.051189
4,62387893,0.989423,0.064759,0.126154,-0.030663,-1.840775,-0.435655,-4.571837
5,62421227,0.987928,0.086923,0.117442,-0.051540,-0.205704,-1.008604,-3.412308
6,62454561,0.985712,0.107355,0.104407,-0.077155,2.045666,-3.056516,-2.236950
7,62487895,0.982192,0.126254,0.089073,-0.106919,2.156672,-1.383508,-2.905007
8,62521229,0.977550,0.143196,0.073392,-0.136052,3.439471,-1.147572,-3.665037
9,62554563,0.974104,0.145913,0.061701,-0.161339,3.933702,0.209166,-2.987182
10,62587897,0.973982,0.126426,0.054665,-0.179982,3.684706,-0.176037,-2.258565
11,62621231,0.974821,0.104153,0.049285,-0.190930,3.678372,-1.457402,-1.156976
12,62654565,0.975193,0.096415,0.044635,-0.194210,3.188981,-1.080243,0.068130
13,62687899,0.975248,0.103409,0.042370,-0.190811,3.479872,0.194702,0.801437
14,62721233,0.975456,0.116164,0.043112,-0.182040,3.134163,1.016400,0.760680
15,62754567,0.975619,0.128523,0.046753,-0.171669,3.099166,1.316002,1.274936
16,62787901,0.975006,0.140039,0.053550,-0.163987,2.358405,1.988828,0.844815
17,62821235,0.974500,0.146333,0.061268,-0.158709,0.966023,1.957372,0.470590
18,62854569,0.974362,0.150509,0.066012,-0.153668,0.242552,0.177532,0.133608
19,62887903,0.974143,0.154978,0.068357,-0.149538,-0.071365,-0.412173,0.928699
20,62921237,0.972418,0.165216,0.068827,-0.149589,-1.046670,-0.768005,1.002041
21,62954571,0.969651,0.177503,0.068215,-0.153699,-1.353853,-0.675248,0.920682
22,62987905,0.966481,0.188939,0.067535,-0.160193,-1.390772,-0.503047,0.881369
23,63021239,0.963430,0.197652,0.067154,-0.168024,-1.588665,-0.772171,0.307020
24,63054573,0.960393,0.204845,0.067086,-0.176603,-1.795164,-0.865915,0.030679
25,63087907,0.957171,0.212218,0.066975,-0.185226,-1.882378,-0.733716,-0.313004
26,63121241,0.953937,0.220073,0.066150,-0.192878,-1.994876,-0.592032,-0.563713
27,63154575,0.950821,0.228302,0.064243,-0.199239,-1.975698,-0.522333,-0.759987
28,63187909,0.947917,0.236592,0.061505,-0.204209,-1.904884,-0.570347,-0.652158
29,63221243,0.944863,0.245819,0.057863,-0.208482,-1.816353,-0.198332,-0.685981
30,63254577,0.941658,0.255399,0.053402,-0.212615,-1.644134,-0.186685,-0.641307
31,63287911,0.938977,0.263302,0.049045,-0.215859,-1.144147,-0.444914,-0.432788
32,63321245,0.937025,0.269231,0.045607,-0.217775,-0.856611,-0.809590,-0.378278
33,63354579,0.935800,0.273568,0.043326,-0.218102,-0.575081,-0.863464,-0.330447
34,63387913,0.935342,0.276382,0.042234,-0.216729,-0.339840,-0.603390,-0.367399
35,63421247,0.936114,0.276621,0.041607,-0.213181,-0.308229,-1.247263,-1.080577
36,63454581,0.937250,0.276750,0.040899,-0.208099,0.333781,-0.471925,-0.924388
37,63487915,0.939367,0.274281,0.039517,-0.202000,0.595892,-0.062322,-1.188639
38,63521249,0.942106,0.270666,0.036132,-0.194621,1.073575,-0.772045,-0.869204
39,63554583,0.943734,0.270743,0.030904,-0.187393,1.843999,-1.170977,-0.002961
40,63587917,0.944138,0.274807,0.024894,-0.180197,2.954491,-1.280305,0.729488
41,63621251,0.944647,0.278837,0.020639,-0.171676,2.970440,-0.033705,1.258008
42,63654585,0.945958,0.280578,0.018882,-0.161524,3.459614,0.142996,1.972557
43,63687919,0.946877,0.284093,0.019484,-0.149471,3.696656,0.788039,1.637683
44,63721253,0.948163,0.285843,0.023556,-0.136861,2.975364,2.324474,1.483576
45,63754587,0.948776,0.286634,0.031570,-0.129133,3.100133,2.349761,2.085588
46,63787921,0.947355,0.291232,0.041791,-0.126342,3.290113,1.667799,2.086455
47,63821255,0.944729,0.297230,0.052962,-0.127840,3.134974,2.378287,1.592790
48,63854589,0.942903,0.298539,0.063777,-0.133215,2.860329,2.251585,0.761831
49,63887923,0.941024,0.297745,0.073304,-0.143017,2.819584,1.256936,-0.580736
50,63921257,0.937527,0.299826,0.080990,-0.156822,2.518769,0.945483,-1.240248
51,63954591,0.932919,0.302777,0.087044,-0.174406,2.477081,1.066375,-1.577994
52,63987925,0.928267,0.302323,0.092224,-0.196018,2.080259,1.295652,-2.032610
53,64021259,0.923712,0.297670,0.095522,-0.221429,1.618456,1.008695,-2.472005
54,64054593,0.918111,0.291618,0.095924,-0.250671,1.238110,0.200346,-2.681131
55,64087927,0.910615,0.286197,0.092152,-0.283524,1.011474,-0.241715,-2.787867
56,64121261,0.900797,0.281110,0.083997,-0.320145,1.472361,0.164786,-2.928386
57,64154595,0.888764,0.273378,0.072653,-0.360681,1.346845,-0.337953,-2.924244
58,64187929,0.872633,0.265386,0.056753,-0.406038,1.576261,-1.421811,-2.554073
59,64221263,0.851906,0.256692,0.037739,-0.454914,1.802921,-1.885887,-2.818273
60,64254597,0.830209,0.238767,0.021321,-0.503285,1.521431,-2.130483,-3.044100
61,64287931,0.811684,0.203363,0.015161,-0.547347,0.932448,-3.582101,-3.042000
62,64321265,0.799951,0.141893,0.030139,-0.582274,0.218533,-3.274387,-3.616323
63,64354599,0.790924,0.056788,0.069731,-0.605275,-3.067428,-3.977594,-4.054598
64,64387933,0.775243,-0.016006,0.106014,-0.622503,-6.889173,-4.255984,-1.682125
65,64421267,0.753973,-0.056955,0.117982,-0.643713,-5.207458,-2.611714,-1.631495
66,64454601,0.731595,-0.081099,0.108361,-0.668174,-3.518936,-1.636305,-1.211681
67,64487935,0.707726,-0.099616,0.081441,-0.694676,-3.942136,-0.701609,-1.014462
68,64521269,0.682275,-0.099521,0.016756,-0.724101,-4.802584,-0.561762,0.457964
69,64554603,0.655545,-0.076575,-0.091488,-0.745676,-5.402853,0.319190,1.534290
70,64587937,0.626443,-0.040856,-0.222348,-0.745968,-2.911958,-0.369705,0.059412
71,64621271,0.595835,-0.015200,-0.331692,-0.731257,-0.216209,-2.661229,4.152742
72,64654605,0.574052,-0.011771,-0.391892,-0.718855,0.813004,0.638611,6.563196
73,64687939,0.562678,-0.035654,-0.402715,-0.721076,-2.627920,2.675789,5.067823
74,64721273,0.557557,-0.064282,-0.395844,-0.726851,-4.574284,3.480259,4.766442
75,64754607,0.555469,-0.080848,-0.393676,-0.727972,-4.645033,4.096994,5.023828
76,64787941,0.557744,-0.083909,-0.397907,-0.723573,-3.858899,3.993052,5.383689
77,64821275,0.564653,-0.078312,-0.400690,-0.717278,-3.357656,3.477830,5.154661
