sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:56:13_823 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,62392895,0.084117,-0.792803,-0.144091,-0.586196,-0.114754,0.403360,0.206367
2,62409562,0.087943,-0.793113,-0.140690,-0.586041,-0.069686,0.267138,0.229178
3,62442896,0.093500,-0.794374,-0.137450,-0.584239,-0.017616,0.033597,0.157347
4,62476230,0.096700,-0.795279,-0.137799,-0.582402,0.352077,-0.139005,0.152679
5,62509564,0.098040,-0.794909,-0.139172,-0.582356,0.805438,-0.103346,0.143312
6,62542898,0.097119,-0.793791,-0.138958,-0.584084,0.583217,-0.309871,0.218883
7,62576232,0.093166,-0.792918,-0.136446,-0.586501,0.542631,-0.370554,0.117922
8,62609566,0.087803,-0.792609,-0.133216,-0.588486,0.421794,-0.010774,0.158365
9,62642900,0.084180,-0.792332,-0.131099,-0.589861,0.476922,0.520765,0.146074
10,62676234,0.082133,-0.792023,-0.129631,-0.590888,0.514526,0.373128,0.186996
11,62709568,0.079411,-0.791752,-0.127250,-0.592140,0.674676,-0.049536,0.036495
12,62742902,0.074615,-0.791569,-0.123771,-0.593744,0.262612,-0.271026,0.296265
13,62776236,0.069051,-0.790790,-0.119992,-0.596226,0.326167,0.059061,0.291518
14,62809570,0.063320,-0.789794,-0.116160,-0.598935,-0.355510,0.002692,0.297297
15,62842904,0.056861,-0.788246,-0.111748,-0.602451,-0.361833,-0.338855,0.223212
16,62876238,0.050563,-0.787164,-0.107525,-0.605190,-0.466497,-0.030281,0.233825
17,62909572,0.044211,-0.786332,-0.102735,-0.607597,-0.643700,-0.090227,0.344555
18,62942906,0.037679,-0.785334,-0.097437,-0.610194,-0.347600,-0.397402,0.497817
19,62976240,0.030540,-0.784659,-0.091367,-0.612396,-0.262477,-0.115415,0.147230
20,63009574,0.023819,-0.784208,-0.084800,-0.614214,-0.316538,0.148508,0.539516
21,63042908,0.017545,-0.783486,-0.078938,-0.616126,-0.325794,0.108633,0.379462
22,63076242,0.011806,-0.782620,-0.073896,-0.617985,-0.163900,0.187309,-0.033099
23,63109576,0.008191,-0.782615,-0.070553,-0.618442,-0.331044,0.214520,0.003716
24,63142910,0.006159,-0.782966,-0.069102,-0.618184,-0.342656,0.214955,0.005700
25,63176244,0.006095,-0.783069,-0.069864,-0.617969,-0.282490,0.369899,0.009909
26,63209578,0.005830,-0.783435,-0.070681,-0.617414,-0.226442,-0.079396,0.022822
27,63242912,0.007227,-0.784232,-0.072753,-0.616145,-0.133300,0.054777,-0.275388
28,63276246,0.010003,-0.785499,-0.076103,-0.614085,-0.460527,0.195670,-0.011194
29,63309580,0.013414,-0.786627,-0.080212,-0.612048,-0.387245,0.154943,0.047707
30,63342914,0.017703,-0.787797,-0.084830,-0.609809,-0.379024,0.096097,-0.009161
31,63376248,0.022378,-0.789440,-0.089511,-0.606854,-0.325156,0.020349,0.159211
32,63409582,0.027891,-0.791179,-0.094988,-0.603519,-0.288272,0.053900,0.045388
33,63442916,0.033638,-0.793006,-0.100981,-0.599844,-0.451596,-0.184019,0.059960
34,63476250,0.038447,-0.795129,-0.105706,-0.595918,-0.341948,-0.106675,0.122915
35,63509584,0.043924,-0.797521,-0.110693,-0.591421,-0.495393,-0.106430,0.118766
36,63542918,0.050226,-0.799400,-0.116385,-0.587275,-0.392835,-0.122493,0.282324
37,63576252,0.056531,-0.801230,-0.122256,-0.582999,-0.171468,-0.304593,0.424498
38,63609586,0.062330,-0.802814,-0.127919,-0.579001,0.342466,-0.344422,0.368751
39,63642920,0.068474,-0.803349,-0.134191,-0.576138,0.790319,-0.261237,0.145910
40,63676254,0.073254,-0.803624,-0.139230,-0.573966,0.356790,-0.460266,0.791138
41,63709588,0.074045,-0.803644,-0.141121,-0.573374,0.064434,-0.215937,0.807356
42,63742922,0.074777,-0.802086,-0.142849,-0.575031,0.224995,0.039279,0.366120
43,63776256,0.075855,-0.799184,-0.145026,-0.578376,-0.182158,-0.450095,0.262394
44,63809590,0.076089,-0.796361,-0.146471,-0.581864,-0.184784,-0.498603,0.008752
45,63842924,0.074972,-0.794436,-0.146046,-0.584740,-1.125570,-0.348066,0.000428
46,63876258,0.073128,-0.793019,-0.143940,-0.587414,-1.162544,-0.138935,-0.138971
47,63909592,0.071300,-0.792232,-0.140640,-0.589496,-1.285916,-0.311384,-0.147387
48,63942926,0.067645,-0.791800,-0.134971,-0.591828,-0.881778,-0.556951,-0.170223
49,63976260,0.062370,-0.791977,-0.126958,-0.593940,-0.436800,-0.677499,-0.060703
50,64009594,0.056278,-0.792691,-0.116978,-0.595643,-0.550004,0.015722,0.409724
51,64042928,0.050538,-0.793000,-0.106425,-0.597721,-0.740844,-0.054567,0.150515
52,64076262,0.043879,-0.793398,-0.094544,-0.599713,-0.374011,-0.362358,-0.041771
53,64109596,0.036738,-0.794379,-0.082284,-0.600702,-0.314473,-0.408781,0.383541
54,64142930,0.030643,-0.795634,-0.070471,-0.600883,-0.195410,-0.238093,0.426442
55,64176264,0.026127,-0.796245,-0.059458,-0.601478,-0.024090,-0.383528,0.033689
56,64209598,0.021328,-0.795675,-0.048734,-0.603383,0.286774,0.195616,-0.127196
57,64242932,0.016109,-0.795060,-0.038463,-0.605096,-0.246228,0.637084,0.531203
58,64276266,0.011594,-0.794093,-0.029556,-0.606966,-0.132928,0.804548,0.253320
59,64309600,0.010620,-0.793213,-0.024929,-0.608341,0.070841,0.986470,-0.183024
60,64342934,0.011550,-0.792015,-0.022665,-0.609971,0.117181,0.430729,0.085303
61,64376268,0.012045,-0.790310,-0.019730,-0.612271,0.266276,-0.390555,0.262374
62,64409602,0.009908,-0.788673,-0.013952,-0.614574,0.349958,-0.549739,0.327005
63,64442936,0.006382,-0.786755,-0.006527,-0.617198,0.327015,-0.546232,0.234679
64,64476270,0.002173,-0.785050,0.001119,-0.619428,0.160214,-0.501848,0.347242
65,64509604,-0.001939,-0.783789,0.008925,-0.620960,0.039904,-0.053555,0.207388
66,64542938,-0.005206,-0.782785,0.016232,-0.622059,0.017170,-0.163317,0.284534
67,64576272,-0.008894,-0.781705,0.024750,-0.623094,-0.043985,-0.465628,0.150856
68,64609606,-0.014162,-0.780664,0.035915,-0.623758,0.079781,-0.156137,0.251339
69,64642940,-0.018312,-0.779703,0.045369,-0.624236,0.113955,0.305149,0.419867
70,64676274,-0.020472,-0.778711,0.051350,-0.624943,0.115998,0.297126,0.066723
71,64709608,-0.021501,-0.778369,0.055937,-0.624941,0.050099,0.828107,-0.169234
72,64742942,-0.021208,-0.778770,0.059344,-0.624136,0.148645,1.106954,-0.006104
73,64776276,-0.018334,-0.779985,0.059521,-0.622691,0.191002,0.772612,-0.021748
74,64809610,-0.013512,-0.781982,0.056403,-0.620597,0.389621,0.664010,0.219313
75,64842944,-0.006932,-0.784190,0.050681,-0.618408,0.718864,0.498201,0.296617
76,64876278,0.000742,-0.786598,0.043355,-0.615942,0.543597,0.296600,0.245804
77,64909612,0.008764,-0.789149,0.035349,-0.613121,0.279405,0.381364,0.160435
78,64942946,0.017199,-0.791828,0.026443,-0.609929,0.053999,0.437205,0.218590
79,64976280,0.025918,-0.794372,0.016742,-0.606648,0.140160,0.285235,0.274677
80,65009614,0.034299,-0.796626,0.007098,-0.603458,0.272104,0.225189,0.251402
81,65042948,0.041836,-0.798602,-0.001832,-0.600401,0.234245,0.293220,0.264385
82,65076282,0.048746,-0.800226,-0.010438,-0.597623,0.202286,0.454942,0.261811
83,65109616,0.055756,-0.801662,-0.019407,-0.594855,0.094019,0.573431,0.141519
84,65142950,0.062725,-0.803093,-0.028557,-0.591854,-0.154721,0.542363,0.028627
85,65176284,0.069652,-0.804470,-0.038138,-0.588661,-0.145027,0.661671,0.086003
86,65209618,0.076815,-0.805644,-0.048428,-0.585399,-0.156221,0.490952,0.117453
87,65242952,0.084080,-0.806561,-0.059171,-0.582141,-0.056482,0.344876,0.125979
88,65276286,0.090942,-0.807173,-0.070025,-0.579049,0.007680,0.364337,0.194266
89,65309620,0.097713,-0.807401,-0.081055,-0.576182,0.071022,0.511187,0.194939
90,65342954,0.104239,-0.807304,-0.092000,-0.573525,-0.049924,0.209658,0.103227
91,65376288,0.109483,-0.807378,-0.101883,-0.570766,-0.313416,0.131956,0.081854
92,65409622,0.113503,-0.807414,-0.110685,-0.568286,-0.240404,0.188422,0.063014
93,65442956,0.116700,-0.807187,-0.119062,-0.566264,-0.050531,0.100828,0.117477
94,65476290,0.119159,-0.807036,-0.126832,-0.564277,-0.197274,-0.261187,0.189837
95,65509624,0.120303,-0.807382,-0.133134,-0.562082,-0.568970,-0.342819,0.176639
96,65542958,0.120163,-0.807521,-0.138124,-0.560707,-0.426564,-0.256931,0.116197
97,65576292,0.119281,-0.807211,-0.142358,-0.560283,-0.238146,-0.441049,0.078796
98,65609626,0.118134,-0.806898,-0.146148,-0.560001,-0.198335,-0.508842,0.245762
99,65642960,0.116349,-0.806603,-0.149115,-0.560018,-0.121167,-0.322525,0.153192
100,65676294,0.114041,-0.806101,-0.151549,-0.560561,-0.081630,-0.277937,0.182781
101,65709628,0.111904,-0.805325,-0.153973,-0.561445,-0.062579,-0.230092,0.216349
102,65742962,0.109363,-0.804776,-0.155637,-0.562274,-0.199901,-0.243888,0.185030
103,65776296,0.106830,-0.804221,-0.157085,-0.563152,-0.177644,-0.147066,0.237570
104,65809630,0.104941,-0.803327,-0.159087,-0.564220,-0.053943,-0.231376,0.188780
105,65842964,0.103331,-0.802604,-0.161175,-0.564953,0.007959,-0.429347,0.273869
106,65876298,0.101419,-0.801987,-0.162789,-0.565713,-0.062743,-0.459891,0.377208
