sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:47:37_124 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3840578187,-0.935401,-0.024635,-0.300404,0.184884,-0.644362,-1.324530,-0.562344
2,3840611521,-0.938551,-0.014749,-0.294226,0.179837,-0.152442,-2.423881,-0.046543
3,3840644855,-0.941546,-0.008887,-0.286448,0.177105,-0.086651,-0.332803,-0.908266
4,3840678189,-0.944988,-0.000230,-0.277372,0.173404,-0.507929,-0.008548,-0.615917
5,3840711523,-0.948802,0.007750,-0.267114,0.168435,-0.617673,0.119479,0.657982
6,3840744857,-0.952536,0.011082,-0.256131,0.164178,-1.221744,0.218713,0.674356
7,3840778191,-0.955996,0.013043,-0.244342,0.161879,-0.733414,-0.013547,-0.239402
8,3840811525,-0.958708,0.012718,-0.232884,0.162755,-0.806467,-0.779613,-0.681392
9,3840844859,-0.961500,0.009314,-0.220155,0.164224,-0.417903,-0.395098,-0.268195
10,3840878193,-0.964806,0.008953,-0.206566,0.162501,0.755140,-0.892133,-0.439067
11,3840911527,-0.967782,0.013588,-0.193862,0.160116,1.787062,-1.620863,-0.982623
12,3840944861,-0.970378,0.016347,-0.181476,0.158656,1.958316,-1.192806,-0.817864
13,3840978195,-0.972743,0.010329,-0.170611,0.156722,3.284545,-1.987269,-0.168448
14,3841011529,-0.973574,-0.005800,-0.166162,0.156577,4.106678,-0.807979,0.780277
15,3841044863,-0.972162,-0.024578,-0.169943,0.159442,4.075710,1.816070,0.926248
16,3841078197,-0.969348,-0.037935,-0.180525,0.162302,2.957992,0.440589,1.823197
17,3841111531,-0.965973,-0.043823,-0.193366,0.166106,0.857544,1.243361,1.264936
18,3841144865,-0.962510,-0.042473,-0.206489,0.170705,0.140338,1.512929,1.056469
19,3841178199,-0.959031,-0.037015,-0.218335,0.176705,-1.031894,1.074378,0.877792
20,3841211533,-0.955745,-0.029319,-0.227844,0.183806,-2.374540,1.583279,0.397656
21,3841244867,-0.953150,-0.019037,-0.234070,0.190681,-2.746934,0.821186,-0.122990
22,3841278201,-0.951230,-0.009704,-0.237052,0.197177,-2.688346,0.765139,-0.144814
