sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:47:37_114 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3840637726,0.116237,-0.793175,-0.176554,-0.571131,-1.973495,0.976360,1.025176
2,3840654393,0.136263,-0.801791,-0.170531,-0.556311,-0.040868,-0.677794,0.458517
3,3840687727,0.144330,-0.805840,-0.168870,-0.548884,0.622294,0.182668,-0.538960
4,3840721061,0.135360,-0.805985,-0.157236,-0.554384,2.524895,0.238544,-1.690370
5,3840754395,0.119477,-0.803696,-0.141035,-0.565604,1.682698,0.359217,1.423418
6,3840787729,0.111127,-0.797513,-0.131827,-0.578140,-0.354197,-1.165459,1.014253
7,3840821063,0.102473,-0.793309,-0.127873,-0.586353,0.117642,0.188867,-1.164512
8,3840854397,0.095606,-0.792607,-0.124562,-0.589168,0.161071,1.768747,-0.166504
9,3840887731,0.097724,-0.789119,-0.128243,-0.592702,-0.451488,1.157853,0.996063
10,3840921065,0.101219,-0.785226,-0.131915,-0.596467,0.499358,-0.835202,0.122637
11,3840954399,0.100496,-0.784757,-0.131712,-0.597252,0.546836,-1.254105,0.079608
12,3840987733,0.099276,-0.783483,-0.134594,-0.598484,0.986025,-1.529248,0.192627
13,3841021067,0.094275,-0.779064,-0.140640,-0.603649,1.267691,-2.436768,0.639375
14,3841054401,0.086372,-0.770494,-0.147778,-0.614036,1.983898,-3.243886,1.002804
15,3841087735,0.074393,-0.761616,-0.151540,-0.625653,0.803093,-3.189318,1.420907
16,3841121069,0.060940,-0.754133,-0.152627,-0.635826,-1.011123,-1.795964,0.354099
17,3841154403,0.048496,-0.746515,-0.160172,-0.643979,-1.456476,2.470565,-0.707195
18,3841187737,0.043090,-0.743050,-0.168696,-0.646191,-4.495464,5.055741,-2.080380
19,3841221071,0.039721,-0.744381,-0.172872,-0.643766,-0.765945,1.706602,-1.346513
20,3841254405,0.042880,-0.748311,-0.179672,-0.637111,-1.345924,-1.125405,-1.691775
21,3841287739,0.044115,-0.758156,-0.176923,-0.626060,-1.996953,-1.814738,-0.710886
22,3841321073,0.043550,-0.768483,-0.167006,-0.616155,0.635111,-0.173570,0.941107
23,3841354407,0.040296,-0.775003,-0.152692,-0.611909,2.474583,-0.584318,0.539595
24,3841387741,0.036801,-0.779024,-0.139206,-0.610236,1.531968,-1.783740,0.806720
25,3841421075,0.035513,-0.781431,-0.129339,-0.609407,-0.628623,-1.926873,-0.195988
26,3841454409,0.031991,-0.786009,-0.122978,-0.605015,-0.287191,-0.636824,-0.085099
27,3841487743,0.034420,-0.788548,-0.123851,-0.601389,1.748758,1.105987,2.948974
28,3841521077,0.040040,-0.789349,-0.122585,-0.600249,1.907879,-0.345755,0.687031
29,3841554411,0.042415,-0.790887,-0.118420,-0.598896,0.489494,-1.155001,-0.654775
30,3841587745,0.045419,-0.792363,-0.117289,-0.596944,-0.477782,-0.518475,0.232482
31,3841621079,0.050699,-0.792769,-0.119790,-0.595482,0.309775,0.212432,0.202408
32,3841654413,0.057029,-0.793244,-0.122946,-0.593629,0.710376,0.727579,0.242639
33,3841687747,0.063991,-0.793546,-0.125707,-0.591936,0.558054,0.481227,0.059943
34,3841721081,0.070492,-0.794101,-0.128083,-0.589940,0.131814,-0.031222,0.041370
35,3841754415,0.077048,-0.794712,-0.131852,-0.587462,-0.136757,0.024600,0.212236
36,3841787749,0.084849,-0.795098,-0.137353,-0.584598,0.036940,0.720015,0.086631
37,3841821083,0.093249,-0.794932,-0.143696,-0.582013,0.230263,0.591378,0.181274
38,3841854417,0.101877,-0.794182,-0.150422,-0.579888,0.131913,-0.008911,0.260183
39,3841887751,0.109973,-0.793581,-0.156975,-0.577489,0.168480,-0.545193,0.085709
40,3841921085,0.116189,-0.793554,-0.162466,-0.574784,0.202397,-0.040342,0.196651
41,3841954419,0.121800,-0.792925,-0.167546,-0.573031,0.273695,0.120141,0.235053
42,3841987753,0.126700,-0.791965,-0.172319,-0.571878,0.281535,-0.391156,0.087505
43,3842021087,0.129672,-0.791664,-0.175717,-0.570594,0.183013,-0.427641,0.261297
44,3842054421,0.131199,-0.791518,-0.178062,-0.569719,0.052629,-0.286916,0.144991
45,3842087755,0.131605,-0.791062,-0.179615,-0.569772,0.127449,-0.225889,0.216666
46,3842121089,0.130811,-0.790802,-0.180266,-0.570110,0.288736,-0.403707,0.160024
47,3842154423,0.128717,-0.790444,-0.180476,-0.571016,0.601763,-0.407150,0.232435
48,3842187757,0.124894,-0.789501,-0.180262,-0.573232,0.599271,-0.268394,0.238967
49,3842221091,0.119514,-0.787528,-0.179315,-0.577376,-0.095352,-0.320191,0.306180
50,3842254425,0.113129,-0.785775,-0.176680,-0.581845,-0.511461,-0.323244,0.113852
51,3842287759,0.105845,-0.785276,-0.172214,-0.585219,-1.004661,-0.221942,0.106358
52,3842321093,0.099155,-0.785595,-0.167107,-0.587439,-0.755807,0.018179,0.124689
53,3842354427,0.093012,-0.786283,-0.161557,-0.589074,-0.500013,-0.296737,0.199264
54,3842387761,0.086598,-0.787016,-0.155430,-0.590718,-0.032723,-0.581377,0.157721
55,3842421095,0.078764,-0.787879,-0.147797,-0.592621,0.014096,-0.658749,0.149022
56,3842454429,0.070033,-0.788645,-0.139045,-0.594812,0.072113,-0.492790,0.088868
57,3842487763,0.060974,-0.789168,-0.130092,-0.597137,0.039959,-0.243912,0.281885
58,3842521097,0.052529,-0.789373,-0.121459,-0.599482,0.035977,0.149147,0.237818
59,3842554431,0.044986,-0.789270,-0.113567,-0.601774,-0.260102,-0.223727,0.048734
60,3842587765,0.037931,-0.789138,-0.106099,-0.603793,-0.251809,-0.343444,0.104586
61,3842621099,0.031026,-0.789223,-0.098428,-0.605374,-0.195727,-0.072276,0.247981
62,3842654433,0.024562,-0.789314,-0.090321,-0.606813,-0.032368,-0.189875,0.103441
63,3842687767,0.018761,-0.789246,-0.082104,-0.608275,-0.046207,-0.387585,0.135138
64,3842721101,0.013491,-0.789285,-0.074228,-0.609375,0.096272,-0.317989,0.128211
65,3842754435,0.008886,-0.789281,-0.067082,-0.610292,0.256589,-0.431981,0.190376
66,3842787769,0.004330,-0.789221,-0.060548,-0.611103,0.290239,-0.156513,0.223258
67,3842821103,-0.001498,-0.788534,-0.053119,-0.612691,0.017940,0.259367,0.530434
68,3842854437,-0.007535,-0.787874,-0.045578,-0.614101,-0.137467,-0.074675,0.016226
69,3842887771,-0.011782,-0.787540,-0.039519,-0.614882,-0.370159,0.199796,-0.164688
70,3842921105,-0.015195,-0.787740,-0.033890,-0.614888,-0.346641,0.249221,-0.014894
71,3842954439,-0.016864,-0.788390,-0.029603,-0.614232,0.090589,0.312191,0.048844
72,3842987773,-0.017542,-0.789322,-0.025956,-0.613180,-0.243766,0.238152,0.252946
73,3843021107,-0.018177,-0.789935,-0.022339,-0.612514,-0.041355,0.134558,0.122498
74,3843054441,-0.019024,-0.790750,-0.018255,-0.611572,-0.033527,-0.147819,0.076033
75,3843087775,-0.019862,-0.791501,-0.014172,-0.610681,-0.245243,0.144088,0.240339
76,3843121109,-0.020812,-0.791882,-0.009986,-0.610238,-0.025729,0.259514,0.178049
77,3843154443,-0.020878,-0.792424,-0.006664,-0.609577,-0.075031,-0.075317,0.145934
78,3843187777,-0.021113,-0.792935,-0.003299,-0.608932,-0.025224,-0.278852,0.280437
79,3843221111,-0.021691,-0.793373,0.000258,-0.608349,0.138474,-0.505941,0.184628
80,3843254445,-0.022914,-0.793754,0.004271,-0.607793,0.323467,-0.215725,0.317662
81,3843287779,-0.023867,-0.794021,0.007717,-0.607373,0.201572,-0.012207,0.344157
82,3843321113,-0.024092,-0.794421,0.010323,-0.606802,0.129211,-0.055057,0.119189
83,3843354447,-0.023777,-0.795109,0.012359,-0.605875,0.007064,0.138211,0.182728
84,3843387781,-0.022980,-0.795904,0.013943,-0.604826,0.133818,0.161879,0.240697
85,3843421115,-0.021187,-0.796882,0.013994,-0.603601,0.167139,-0.095309,0.221731
86,3843454449,-0.018992,-0.797883,0.013341,-0.602366,0.079589,-0.095916,0.328832
87,3843487783,-0.017020,-0.798557,0.012720,-0.601544,0.378959,-0.042993,0.137971
88,3843521117,-0.014391,-0.799318,0.011332,-0.600630,0.234130,0.097743,0.222939
89,3843554451,-0.010802,-0.800094,0.008717,-0.599715,0.153417,0.131070,0.178680
90,3843587785,-0.006159,-0.801037,0.004648,-0.598566,-0.073125,-0.158554,0.203947
91,3843621119,-0.001380,-0.802402,0.000329,-0.596783,-0.264336,-0.143410,0.107113
92,3843654453,0.003286,-0.804200,-0.003580,-0.594340,-0.070126,-0.006321,0.214122
93,3843687787,0.007965,-0.806248,-0.007907,-0.591471,0.085963,0.144770,0.330132
94,3843721121,0.013085,-0.808405,-0.013468,-0.588329,0.353924,0.243831,0.193863
95,3843754455,0.018520,-0.810687,-0.019870,-0.584850,0.433010,0.516364,0.215056
96,3843787789,0.024276,-0.812770,-0.027526,-0.581428,0.636190,0.782033,0.199250
97,3843821123,0.031023,-0.814649,-0.037110,-0.577934,0.651885,1.106981,0.130720
98,3843854457,0.038754,-0.816206,-0.048750,-0.574395,0.550647,1.106731,0.108268
99,3843887791,0.047173,-0.816838,-0.062327,-0.571548,0.364855,1.193678,0.192210
100,3843921125,0.056426,-0.815695,-0.077085,-0.570541,0.386211,0.993662,0.343750
101,3843954459,0.064854,-0.813931,-0.090769,-0.570152,0.091410,-0.087240,-0.122772
102,3843987793,0.070804,-0.812569,-0.102040,-0.569480,-0.400270,-0.020129,-0.004622
103,3844021127,0.075689,-0.811314,-0.112599,-0.568651,-0.478660,0.398707,0.062863
104,3844054461,0.081267,-0.809891,-0.124305,-0.567470,-0.539611,0.248798,0.008941
105,3844087795,0.087012,-0.808941,-0.135972,-0.565292,-0.781627,0.219337,0.096912
106,3844121129,0.092248,-0.807874,-0.146624,-0.563322,-0.453377,0.148330,0.164186
107,3844154463,0.096269,-0.806736,-0.156053,-0.561745,0.217475,-0.382449,0.155074
108,3844187797,0.100107,-0.805507,-0.165605,-0.560101,0.038386,0.193652,0.355088
109,3844221131,0.103010,-0.803044,-0.174756,-0.560331,0.413417,0.233184,0.621120
110,3844254465,0.106139,-0.799181,-0.184616,-0.562105,-0.053181,-0.756153,-0.137803
111,3844287799,0.107479,-0.795810,-0.193796,-0.563541,-0.185119,-0.665748,0.143576
112,3844321133,0.110113,-0.792831,-0.202948,-0.564010,-0.421413,0.564869,0.032950
113,3844354467,0.113677,-0.790564,-0.211606,-0.563304,-1.017565,0.238752,-0.006166
114,3844387801,0.118142,-0.788320,-0.220369,-0.562167,-0.817398,-0.490901,-0.056853
115,3844421135,0.122983,-0.786542,-0.228871,-0.560220,-0.699808,-0.377018,0.237902
116,3844454469,0.127478,-0.785126,-0.236014,-0.558234,-0.511376,-0.213638,0.179498
117,3844487803,0.129644,-0.784203,-0.240529,-0.557104,-0.376225,-0.434937,0.221514
118,3844521137,0.129624,-0.784055,-0.242124,-0.556626,-0.284334,-0.513196,0.187946
119,3844554471,0.127818,-0.784781,-0.241380,-0.556344,-0.312230,-0.167201,0.140532
120,3844587805,0.125211,-0.785611,-0.239702,-0.556491,-0.296741,-0.091108,0.370422
121,3844621139,0.121786,-0.786416,-0.237028,-0.557259,-0.008825,-0.102948,0.180630
122,3844654473,0.117374,-0.787466,-0.233552,-0.558189,-0.078513,-0.123493,0.162661
123,3844687807,0.111858,-0.788597,-0.229169,-0.559540,-0.185539,-0.032498,0.104291
124,3844721141,0.105885,-0.789609,-0.224317,-0.561239,-0.295258,-0.039603,0.047606
125,3844754475,0.099522,-0.790636,-0.219142,-0.562999,-0.358203,0.000466,0.127802
126,3844787809,0.093306,-0.791881,-0.214325,-0.564167,-0.465732,0.145981,0.375855
127,3844821143,0.087796,-0.793017,-0.209858,-0.565134,-0.537074,0.158328,0.510370
128,3844854477,0.082752,-0.793742,-0.205560,-0.566455,-0.454152,-0.063198,0.188196
129,3844887811,0.078116,-0.794429,-0.201561,-0.567587,-0.587248,0.045055,0.092816
130,3844921145,0.073899,-0.794997,-0.197568,-0.568760,-0.406118,0.247560,0.049342
131,3844954479,0.069998,-0.795774,-0.193535,-0.569552,-0.502312,0.196164,0.133769
132,3844987813,0.067362,-0.796963,-0.189945,-0.569416,-0.453569,0.371964,0.348582
133,3845021147,0.065593,-0.797650,-0.187196,-0.569571,-0.095184,0.401979,0.249867
134,3845054481,0.064630,-0.797779,-0.185975,-0.569901,0.343918,0.042848,0.455023
135,3845087815,0.063588,-0.797316,-0.185689,-0.570758,0.351927,-0.433582,0.177433
136,3845121149,0.062623,-0.796931,-0.185898,-0.571334,-0.031026,0.071023,0.386445
137,3845154483,0.060659,-0.796238,-0.185636,-0.572596,-0.095192,0.344563,0.124361
138,3845187817,0.058637,-0.795724,-0.185631,-0.573521,-0.181459,0.389893,0.120241
139,3845221151,0.057857,-0.795239,-0.186348,-0.574041,-0.203756,0.345398,0.017707
140,3845254485,0.056841,-0.794789,-0.186635,-0.574672,-0.023786,0.322621,0.041334
141,3845287819,0.055996,-0.794242,-0.187049,-0.575377,0.118530,0.023100,0.116364
142,3845321153,0.055238,-0.793844,-0.187956,-0.575703,-0.099266,0.000741,0.256367
143,3845354487,0.054505,-0.793543,-0.189375,-0.575723,-0.277644,0.227567,0.320647
144,3845387821,0.054248,-0.793245,-0.191483,-0.575460,-0.362118,0.314400,0.278728
145,3845421155,0.054210,-0.792914,-0.193659,-0.575193,-0.139321,0.233130,0.208381
146,3845454489,0.054074,-0.792774,-0.196046,-0.574589,-0.041324,0.245433,0.242646
147,3845487823,0.054751,-0.792172,-0.199493,-0.574168,-0.073050,0.415518,0.293181
148,3845521157,0.055763,-0.790543,-0.203548,-0.574893,-0.018157,0.465796,0.196964
149,3845554491,0.057256,-0.788444,-0.208189,-0.575965,-0.132317,0.284451,0.199513
150,3845587825,0.059470,-0.786303,-0.213674,-0.576659,-0.440334,0.127381,0.141073
151,3845621159,0.060894,-0.783833,-0.219015,-0.577868,-0.802454,0.342183,0.292637
152,3845654493,0.063908,-0.780532,-0.225021,-0.579700,-0.430975,0.382511,-0.097289
153,3845687827,0.066656,-0.778633,-0.230024,-0.579981,-0.535057,-0.008034,-0.044660
154,3845721161,0.069794,-0.777982,-0.234650,-0.578630,-0.871110,-0.155485,0.022227
155,3845754495,0.074060,-0.777817,-0.239134,-0.576483,-0.440725,0.285554,-0.308584
156,3845787829,0.078761,-0.778038,-0.243996,-0.573515,-0.593881,0.342835,-0.003052
157,3845821163,0.084102,-0.778163,-0.248954,-0.570449,-0.466257,0.256243,0.143689
158,3845854497,0.089681,-0.778731,-0.253775,-0.566687,-0.151060,0.224551,0.203125
159,3845887831,0.095822,-0.779357,-0.258823,-0.562523,-0.174566,-0.162278,0.178741
160,3845921165,0.101103,-0.779712,-0.263124,-0.559101,0.056597,-0.208156,0.252885
161,3845954499,0.106148,-0.779900,-0.266956,-0.556079,0.131497,-0.260656,0.079319
162,3845987833,0.110582,-0.780349,-0.270439,-0.552893,0.070887,-0.329635,0.232918
163,3846021167,0.114607,-0.780434,-0.273678,-0.550354,0.060545,-0.217188,0.174218
164,3846054501,0.117770,-0.780318,-0.275974,-0.548702,0.143494,-0.247104,0.180223
165,3846087835,0.119699,-0.780554,-0.277393,-0.547231,-0.016602,-0.203737,0.402052
166,3846121169,0.121789,-0.780583,-0.278272,-0.546281,-0.297714,0.366620,0.158208
167,3846154503,0.124416,-0.780035,-0.278989,-0.546106,-0.423501,0.451552,-0.077716
168,3846187837,0.126210,-0.779804,-0.278619,-0.546214,-0.660942,0.009074,0.038321
169,3846221171,0.126756,-0.780353,-0.277304,-0.545972,-0.662978,-0.304516,0.183443
170,3846254505,0.126872,-0.781427,-0.275836,-0.545153,-0.598621,-0.346236,0.009845
171,3846287839,0.127069,-0.782523,-0.274604,-0.544156,-0.326019,0.019306,0.235094
172,3846321173,0.126388,-0.783493,-0.272602,-0.543925,-0.105022,0.019433,0.480160
173,3846354507,0.124434,-0.784536,-0.269246,-0.544544,0.031335,-0.088149,0.243941
174,3846387841,0.122956,-0.785210,-0.266564,-0.545227,-0.142503,0.194427,0.306940
175,3846421175,0.121219,-0.785176,-0.263743,-0.547033,-0.021154,0.191419,0.271513
176,3846454509,0.118344,-0.785487,-0.260358,-0.548835,0.043958,-0.058928,0.139323
177,3846487843,0.115921,-0.785806,-0.257790,-0.550107,-0.213368,0.011050,0.181584
178,3846521177,0.113002,-0.785721,-0.255344,-0.551973,-0.324768,0.130333,0.201702
179,3846554511,0.109370,-0.785479,-0.251749,-0.554694,-0.114452,0.005249,0.058565
180,3846587845,0.105607,-0.785618,-0.247355,-0.557196,-0.473690,-0.020595,0.216510
181,3846621179,0.101854,-0.786097,-0.242625,-0.559296,-0.692092,0.158936,0.067694
182,3846654513,0.097660,-0.786675,-0.237363,-0.561485,-0.558174,0.037671,-0.067755
183,3846687847,0.093179,-0.787450,-0.231758,-0.563497,-0.569715,-0.364931,0.015194
184,3846721181,0.087905,-0.789165,-0.225263,-0.564579,-0.619078,-0.139193,0.132602
185,3846754515,0.082391,-0.791392,-0.217741,-0.565244,-0.449211,0.287125,0.433791
186,3846787849,0.076876,-0.792984,-0.209202,-0.567011,-0.209048,0.465057,0.268250
187,3846821183,0.070163,-0.794560,-0.199352,-0.569221,-0.012663,0.012382,0.233110
188,3846854517,0.063458,-0.796753,-0.188689,-0.570575,-0.106149,-0.209832,0.218473
189,3846887851,0.056214,-0.798694,-0.178115,-0.572017,-0.172903,-0.014494,0.015250
190,3846921185,0.049713,-0.799781,-0.169435,-0.573735,-0.541069,-0.057338,0.172877
