sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:03:22_981 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3200568690,0.709175,0.269001,-0.496891,0.421679,-0.309712,-1.278118,0.858323
2,3200602024,0.716552,0.250220,-0.497912,0.419559,-0.482702,-1.530300,0.498883
3,3200635358,0.724712,0.228546,-0.497348,0.418579,-0.847399,-1.771839,-0.115679
4,3200668692,0.733159,0.204736,-0.494860,0.419139,-0.767149,-1.740323,-1.767962
5,3200702026,0.740232,0.180052,-0.493082,0.420133,-0.386814,-1.341202,-2.265348
6,3200735360,0.744864,0.157282,-0.492902,0.421296,-0.170419,-1.039757,-1.518337
7,3200768694,0.746804,0.141002,-0.491312,0.425462,-0.145252,-0.875352,-1.115614
8,3200802028,0.746363,0.133302,-0.486983,0.433617,0.189965,-0.440989,-0.796021
9,3200835362,0.744250,0.131964,-0.480152,0.445123,-0.171976,-0.098877,-0.612751
10,3200868696,0.740790,0.131794,-0.471989,0.459445,-0.704054,-0.282868,-1.121571
11,3200902030,0.736194,0.130118,-0.464472,0.474717,-0.882394,-0.322857,-0.523187
12,3200935364,0.731961,0.129079,-0.454329,0.491081,-1.214100,-0.295752,-0.204229
13,3200968698,0.729005,0.125784,-0.441723,0.507557,-1.328548,-0.709797,-0.768228
14,3201002032,0.728686,0.116818,-0.428963,0.520926,-1.430593,-0.225044,0.403961
15,3201035366,0.732657,0.097889,-0.416970,0.528934,-1.256841,0.455849,0.333992
16,3201068700,0.739491,0.067822,-0.408277,0.530912,-0.153224,0.899192,-0.922273
17,3201102034,0.746019,0.030513,-0.403947,0.528540,1.398111,1.115122,-1.192598
18,3201135368,0.750026,-0.000337,-0.398131,0.528164,2.230394,1.854243,-1.322302
19,3201168702,0.751407,-0.016592,-0.389150,0.532614,2.411196,2.266309,-1.787045
20,3201202036,0.750969,-0.021039,-0.380720,0.539128,1.923722,2.938427,-2.442420
21,3201235370,0.748170,-0.023191,-0.381385,0.542451,1.677598,2.433411,-3.044145
22,3201268704,0.742078,-0.025989,-0.392076,0.543069,0.311995,0.050107,-0.299471
23,3201302038,0.735907,-0.024704,-0.400885,0.545092,-0.804065,-1.400118,2.022582
24,3201335372,0.732332,-0.021184,-0.401855,0.549325,-0.770333,-1.114769,2.297248
25,3201368706,0.730954,-0.025321,-0.399803,0.552473,-1.046307,-1.181470,1.340622
26,3201402040,0.730497,-0.041023,-0.401277,0.551064,-0.145522,-0.743288,0.467795
27,3201435374,0.729855,-0.057798,-0.402864,0.549250,1.287981,0.079270,-0.559858
28,3201468708,0.729028,-0.066426,-0.401632,0.550274,2.013742,1.188206,-1.888820
29,3201502042,0.728584,-0.063328,-0.399133,0.553038,2.408903,2.751626,-2.913103
30,3201535376,0.728745,-0.052543,-0.400738,0.552796,1.854716,3.757246,-3.216984
31,3201568710,0.729033,-0.041771,-0.412663,0.544498,1.048052,3.186912,-2.334879
32,3201602044,0.729574,-0.028513,-0.430589,0.530571,0.820262,1.858787,-0.273372
33,3201635378,0.726848,-0.010735,-0.447510,0.520879,-1.518826,-2.818529,3.986861
34,3201668712,0.722326,0.011920,-0.452615,0.522729,-3.684904,-4.628001,5.770926
35,3201702046,0.719041,0.035185,-0.443466,0.533932,-3.000552,-3.777034,5.093891
36,3201735380,0.719682,0.043296,-0.434202,0.540052,-3.900440,-3.001936,3.250730
37,3201768714,0.724666,0.026387,-0.434963,0.533830,-1.823624,-2.464801,3.579034
38,3201802048,0.731604,0.000489,-0.435933,0.524139,0.589157,-1.292781,2.435225
39,3201835382,0.737661,-0.025414,-0.434009,0.516575,1.729636,-0.055173,1.454113
40,3201868716,0.742329,-0.041506,-0.425870,0.515620,2.799897,1.674263,0.243899
41,3201902050,0.746207,-0.046245,-0.413620,0.519576,2.896055,3.576044,-2.215230
42,3201935384,0.748285,-0.048672,-0.406759,0.521777,2.561181,4.801226,-4.034386
43,3201968718,0.748176,-0.050365,-0.410303,0.518991,2.313003,5.275591,-4.272735
44,3202002052,0.747450,-0.046096,-0.422484,0.510591,2.120691,4.893416,-3.852883
45,3202035386,0.746556,-0.036345,-0.444792,0.493454,2.335148,4.706501,-2.691576
46,3202068720,0.744207,-0.024326,-0.477013,0.466933,2.330004,3.439600,-0.164740
47,3202102054,0.738588,-0.009963,-0.511812,0.438680,0.997229,0.579015,1.835875
48,3202135388,0.729909,0.014115,-0.538714,0.420503,-0.813726,-2.160378,3.202723
49,3202168722,0.720225,0.049503,-0.553018,0.415932,-2.463454,-2.834184,3.529406
50,3202202056,0.712348,0.080574,-0.560146,0.415101,-3.545411,-3.263383,3.156229
51,3202235390,0.708745,0.090264,-0.569972,0.405792,-4.233632,-4.402261,3.172842
52,3202268724,0.709395,0.080123,-0.580960,0.390932,-3.788738,-5.431657,3.576181
53,3202302058,0.712058,0.064829,-0.585149,0.382590,-3.084960,-5.033200,3.172990
54,3202335392,0.715586,0.049835,-0.581953,0.383129,-2.096921,-2.709594,2.232955
55,3202368726,0.720126,0.033157,-0.575512,0.386146,-0.456088,-0.116835,0.766085
56,3202402060,0.725295,0.013553,-0.569525,0.386532,1.177377,1.218015,-0.790161
57,3202435394,0.729446,-0.003556,-0.564969,0.385628,1.671552,1.492261,-1.567577
58,3202468728,0.731989,-0.013096,-0.561595,0.385533,1.943056,2.231223,-1.362027
59,3202502062,0.733194,-0.013401,-0.559327,0.386528,2.095114,2.611469,-1.556222
60,3202535396,0.732861,-0.005612,-0.559283,0.387413,1.993610,2.085529,-1.048366
61,3202568730,0.730961,0.011274,-0.560203,0.389545,1.086792,1.054053,-0.699780
62,3202602064,0.727100,0.033029,-0.562280,0.392529,0.169184,-0.195832,0.508738
63,3202635398,0.722122,0.057405,-0.563889,0.396582,-0.153826,-3.043847,2.341341
64,3202668732,0.717950,0.087312,-0.557528,0.407541,-0.853704,-5.158081,2.980054
65,3202702066,0.715525,0.101926,-0.548737,0.420150,-2.616039,-1.634164,2.729261
66,3202735400,0.716490,0.090780,-0.543084,0.428328,-2.307821,-2.142028,3.368976
67,3202768734,0.719649,0.071458,-0.537780,0.433353,-1.895358,-2.070554,3.453258
68,3202802068,0.724011,0.054069,-0.530074,0.438074,-1.429766,-0.758829,2.256750
69,3202835402,0.729432,0.034664,-0.521783,0.440991,-0.485730,0.067365,1.252310
70,3202868736,0.735748,0.009186,-0.515649,0.438977,1.292161,1.553468,-0.309196
71,3202902070,0.740973,-0.021997,-0.514470,0.431044,2.292690,2.870217,-2.338600
72,3202935404,0.744112,-0.046118,-0.514890,0.423159,2.844926,2.229249,-3.558035
73,3202968738,0.746348,-0.046162,-0.511948,0.422784,2.487849,1.853780,-3.336809
74,3203002072,0.746808,-0.026680,-0.509657,0.426403,1.642231,2.384570,-2.717996
75,3203035406,0.744689,-0.000857,-0.511267,0.429007,0.894939,2.012745,-1.568538
76,3203068740,0.740911,0.028564,-0.512810,0.432740,0.540051,0.334540,0.711067
77,3203102074,0.735181,0.063063,-0.510375,0.441648,0.892290,-0.451964,2.521196
78,3203135408,0.725510,0.106808,-0.501984,0.458522,-0.149193,-1.942834,4.270601
79,3203168742,0.712991,0.151307,-0.487258,0.480972,-2.174682,-2.114508,4.383508
80,3203202076,0.704820,0.170688,-0.479482,0.494162,-3.835833,-2.220706,4.314662
81,3203235410,0.707128,0.158348,-0.483314,0.491231,-3.303179,-2.959170,4.068108
82,3203268744,0.715195,0.131630,-0.488686,0.482037,-1.503971,-2.362230,3.283579
83,3203302078,0.725454,0.096962,-0.494000,0.469342,-0.249665,0.032438,1.183100
84,3203335412,0.735124,0.056709,-0.500561,0.453673,1.747798,1.678583,-0.909646
85,3203368746,0.740832,0.022326,-0.506356,0.440768,2.682544,2.233800,-2.684122
86,3203402080,0.742240,0.003082,-0.510936,0.433610,2.677570,2.847177,-2.788534
87,3203435414,0.739958,-0.000006,-0.516527,0.430888,1.556028,2.672153,-1.734643
88,3203468748,0.735600,0.007506,-0.524664,0.428447,0.335790,1.281004,-0.374139
89,3203502082,0.730031,0.024645,-0.530737,0.429849,-0.169530,-0.971719,0.677626
90,3203535416,0.725201,0.054253,-0.522748,0.444835,-0.926833,-2.821558,2.589221
91,3203568750,0.722374,0.073629,-0.510285,0.460834,-2.599505,-1.704441,1.866136
92,3203602084,0.724661,0.064219,-0.508386,0.460748,-2.279255,-1.598370,1.764915
93,3203635418,0.729737,0.035262,-0.512937,0.450710,-0.666419,-1.668626,2.004656
94,3203668752,0.734220,0.001411,-0.516249,0.440918,0.785017,-1.006485,1.547731
95,3203702086,0.737122,-0.025459,-0.514156,0.437778,1.549491,0.447628,0.366946
96,3203735420,0.738552,-0.038714,-0.507961,0.441611,1.775511,1.805533,-1.479009
97,3203768754,0.738445,-0.037700,-0.502772,0.447775,1.504609,2.737090,-2.174048
98,3203802088,0.737318,-0.024363,-0.501665,0.451779,2.240151,2.750125,-1.823484
99,3203835422,0.735241,-0.003042,-0.504593,0.452548,1.788641,2.195049,-1.532163
100,3203868756,0.731132,0.021277,-0.508888,0.453904,1.577588,0.764663,-0.354984
101,3203902090,0.724851,0.047144,-0.511533,0.459026,0.912349,-0.141008,0.957616
102,3203935424,0.717043,0.070471,-0.512722,0.466907,0.139956,-1.747670,1.354888
103,3203968758,0.707565,0.090602,-0.512817,0.477666,0.056423,-2.581177,1.752778
104,3204002092,0.696126,0.111798,-0.508107,0.494713,-0.688550,-2.619466,2.573057
105,3204035426,0.684150,0.129190,-0.498602,0.516381,-2.072203,-2.291570,1.600701
106,3204068760,0.674476,0.136301,-0.488333,0.536693,-2.206459,-1.793348,0.639359
107,3204102094,0.669858,0.131206,-0.480333,0.550780,-1.964640,-1.354554,-0.097560
108,3204135428,0.670363,0.116466,-0.474260,0.558686,-1.746154,-0.540712,-1.624754
109,3204168762,0.674872,0.093012,-0.471060,0.560359,-1.363946,0.244178,-2.704522
110,3204202096,0.681223,0.065840,-0.470213,0.557229,-0.438962,0.696536,-3.213021
111,3204235430,0.687748,0.043173,-0.469070,0.552372,0.157645,0.898473,-3.480733
112,3204268764,0.693587,0.033381,-0.464965,0.549212,0.552725,1.566669,-3.797904
113,3204302098,0.698178,0.039553,-0.457720,0.549070,0.817611,2.276190,-3.190226
114,3204335432,0.700609,0.059252,-0.449082,0.551330,0.951814,2.772728,-2.397649
115,3204368766,0.701174,0.086151,-0.442639,0.552275,0.726171,2.776149,-1.951395
116,3204402100,0.700518,0.113620,-0.439631,0.550539,0.764597,1.535997,-0.385868
117,3204435434,0.699534,0.137796,-0.437492,0.547967,-0.012212,0.562177,0.097831
118,3204468768,0.699539,0.150811,-0.438261,0.543905,-0.180828,-0.123476,0.390415
119,3204502102,0.700868,0.150171,-0.442780,0.538686,-0.698537,-1.067716,1.040888
