sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:57:39_799 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2857395160,-0.111535,0.482446,0.004687,0.868785,0.394464,-0.264452,0.020532
2,2857428494,-0.117726,0.477010,0.005715,0.870961,0.272363,-0.113169,-0.007044
3,2857461828,-0.123513,0.472110,0.007269,0.872816,0.360509,0.107164,0.145614
4,2857495162,-0.128089,0.467955,0.007633,0.874389,0.476913,0.491484,0.084960
5,2857528496,-0.131751,0.464763,0.007052,0.875552,0.449545,-0.035293,0.058702
6,2857561830,-0.134945,0.462116,0.005761,0.876475,0.436162,0.089240,0.117732
7,2857595164,-0.138600,0.459502,0.005651,0.877279,0.117064,-0.871937,-0.159405
8,2857628498,-0.142177,0.456805,0.005849,0.878114,0.474756,-0.469938,0.128457
9,2857661832,-0.143486,0.453580,0.005438,0.879574,1.084932,-0.160934,0.253743
10,2857695166,-0.141674,0.450633,0.004403,0.881387,0.845823,0.034217,0.172412
11,2857728500,-0.137280,0.449264,0.003605,0.882783,0.692090,-0.012982,0.285783
12,2857761834,-0.132014,0.448772,0.004161,0.883834,0.854111,-0.247523,0.116276
13,2857795168,-0.128579,0.448901,0.006471,0.884261,0.790111,-0.314096,-0.061643
14,2857828502,-0.126985,0.448749,0.010754,0.884526,0.941326,-0.810695,0.402028
15,2857861836,-0.125449,0.449161,0.014199,0.884488,0.349032,0.357385,-0.060504
16,2857895170,-0.123285,0.449090,0.019594,0.884725,0.555133,-0.821531,0.049284
17,2857928504,-0.116771,0.448692,0.022209,0.885748,0.414317,-0.153868,0.243620
18,2857961838,-0.108189,0.449136,0.025660,0.886519,-0.094987,0.732544,-0.355392
19,2857995172,-0.098757,0.449872,0.032482,0.887023,0.041170,0.261302,-0.139618
20,2858028506,-0.086418,0.451937,0.037247,0.887075,-0.831977,1.094105,-0.255776
21,2858061840,-0.074310,0.456459,0.044191,0.885536,0.087536,0.384419,0.621422
22,2858095174,-0.061719,0.462812,0.050302,0.882875,0.613602,0.171663,0.840481
23,2858128508,-0.050076,0.471720,0.055524,0.878575,-0.069302,-0.013307,0.068415
24,2858161842,-0.041907,0.481163,0.063866,0.873299,0.552357,-0.239619,0.397192
25,2858195176,-0.039141,0.489346,0.077388,0.867769,-0.358376,-0.247707,-0.439529
26,2858228510,-0.037014,0.497037,0.088108,0.862453,-0.983865,0.050543,-0.292809
27,2858261844,-0.033063,0.503555,0.094413,0.858154,-1.150059,-0.217553,-0.417980
28,2858295178,-0.027434,0.508605,0.095369,0.855264,-0.465022,-0.090316,-0.450626
