SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1518597700,0.040788,0.002482,-0.128794,-0.245741,0.069353,0.02423,0.741934,-0.062667,0.453844,0
1518631034,0.040086,-0.004716,0.005699,-0.214602,0.159529,-0.003547,0.018449,-0.18998,1.706304,0
1518664368,0.021092,0.043497,0.112074,0.066023,0.170682,0.35551,-1.357693,-0.553908,4.928352,0
1518697702,-0.026431,0.037995,-0.038864,0.427746,-0.03191,1.19428,-3.679586,-1.871813,7.830965,0
1518731036,-0.10609,0.077422,0.174789,0.636057,-0.175926,2.059184,-6.668516,-1.13468,9.579054,0
1518764370,0.168508,0.297379,0.13697,1.657533,0.221263,3.117448,-4.795624,-2.186029,12.72154,0
1518797704,0.403011,0.250437,0.085453,2.649085,-0.72876,4.255796,-1.111403,-0.660679,11.584894,0
1518831038,0.392924,0.164815,0.296177,3.021894,-0.305828,4.355755,2.437941,-0.303254,5.19091,0
1518864372,0.356625,0.247727,-0.038013,3.462518,0.28479,4.700762,1.565675,0.838898,-1.976094,0
1518897706,0.155289,-0.152826,-0.03086,3.046821,-0.100606,5.147775,0.831898,0.331997,-3.708116,0
1518931040,-0.506375,-0.287828,0.117108,1.692786,0.206249,4.546236,1.438256,-1.409734,-4.935658,0
1518964374,-0.949169,-0.024147,-0.019702,-0.031657,0.393163,4.288039,0.527028,-2.285429,-5.659733,0
1518997708,-1.211238,-0.179788,0.174469,-1.976854,-0.435598,4.550178,-0.393209,-2.325253,-5.066397,0
1519031042,-1.492936,-0.15138,0.104589,-3.468205,-1.084975,3.248794,-1.480072,-1.630467,-4.47088,0
1519064376,-2.431685,0.382176,-0.437742,-3.17552,-0.335792,0.043349,-1.042582,-0.84406,-4.903871,0
1519097710,-2.812978,0.615611,-0.32021,-3.723265,-1.096592,-1.617797,-0.686559,0.84252,-5.098718,0
