Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.528124,-0.035269,0.264579,-0.17585,-0.07016,-0.316666,0.13807,0.211051,0.228644,1
0.101221,-0.175308,0.569093,0.028847,-0.222635,-0.336497,0.505776,-0.015708,0.453297,1
0.167239,0.090605,0.02743,0.048489,-0.350133,-0.669703,0.979427,0.030479,-0.03939,1
0.435999,-0.004373,-0.443081,-0.175718,-0.377605,-0.965586,0.613988,0.543244,-0.009383,1
0.374696,0.182686,-1.22932,-0.038797,-0.415769,-1.361557,0.089435,0.879889,0.144254,1
0.554916,-0.030112,-1.688161,0.224412,-0.182959,-1.249399,0.697541,1.761737,-0.013121,1
0.199977,-0.129738,-1.837984,0.06526,0.036803,-1.506742,0.2921,1.045408,-0.105247,1
0.125202,-0.571603,-1.706718,0.358229,0.323707,-1.300046,-0.08184,0.728663,-0.723297,1
-0.008756,-0.994539,-1.629649,0.20284,0.240019,-1.554824,-0.526342,0.484174,-0.635818,1
-0.20544,-0.682108,-2.250941,-0.048265,0.02485,-1.844542,-0.780045,0.111525,-0.735544,1
-0.179125,-0.895981,-1.923944,-0.227826,0.430862,-1.420754,-0.420186,0.105347,-0.292582,1
-0.325396,0.083699,-2.174988,0.002179,-0.227225,-1.300413,0.491921,0.489963,-1.102421,1
-0.233197,0.059115,-2.032621,0.045102,0.418964,-1.005713,1.168591,0.921084,-1.460373,1
-0.094285,-0.30068,-1.525879,0.15069,0.470041,-1.023228,1.121045,0.167842,-1.264636,1
-0.014678,-0.166011,-1.437461,-0.008136,0.023499,-1.525424,0.514484,-0.451447,-0.671962,1
0.199658,-0.236009,-1.486208,0.441591,0.522911,-2.512635,-1.39664,-1.850715,-0.092393,1
0.059185,-0.39344,-1.431491,-0.177716,0.319297,-2.481432,-1.487497,-1.101769,-0.048738,1
0.787809,0.532123,-0.934299,0.29722,0.158371,-1.467672,-0.197866,-0.90642,0.083063,1
0.540966,0.17727,-0.201499,-0.97267,0.678453,-2.566844,0.679433,-1.444857,-0.3286,1
-0.155181,-1.539785,-0.563772,-0.920429,0.154016,-1.152522,0.382058,-1.860745,-0.113234,1
-0.502441,-1.307437,0.199332,-0.562934,0.920302,-0.757799,1.644427,-1.556817,1.324601,1
-1.339959,-1.200281,0.099368,-1.168576,0.918774,1.531093,0.225509,-2.496594,2.032099,1
-2.011751,-0.66158,0.918986,0.142659,1.304934,1.924664,-1.504086,-1.558004,1.038,1
-1.44824,-0.263093,0.681233,-1.06836,0.806094,3.470011,-0.827482,-0.818105,0.005295,1
-1.103464,0.200237,-0.004202,-0.533256,0.911338,2.508486,-0.080818,0.820237,-0.227183,1
-0.821734,0.855035,0.746995,-0.316228,0.963272,1.582325,0.149135,-0.159569,-0.132873,1
-0.309278,1.607653,1.362043,-0.075947,0.910234,1.743043,1.641438,-0.43156,-0.409373,1
-0.807169,0.573145,1.307838,1.04418,1.161282,1.834473,1.024598,0.258729,-0.453024,1
-0.572048,0.669507,3.48014,0.768035,0.651004,2.145177,-0.928862,-0.859245,1.539221,1
-0.360397,0.480408,3.3498,0.782526,-0.243381,2.574884,-0.52444,-0.261062,0.771024,1
0.236334,-0.496558,3.104295,0.898508,0.1423,2.250636,0.761295,-0.317578,1.009829,1
-0.007754,-0.166392,3.494466,0.672968,-0.504821,2.334791,-0.186522,-1.146584,2.341679,1
-0.953546,-0.848617,1.928991,0.47714,-0.395721,1.765759,-1.258796,-0.0226,0.626811,1
-0.998856,-0.126355,1.929354,0.460593,-0.227369,1.379686,-0.22344,-0.135566,-0.096357,1
