Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.646064,0.082001,0.168527,-0.069163,-0.36955,0.091441,-0.005418,0.023718,0.162017,1
0.480245,0.01862,0.181215,-0.066012,-0.328591,0.212738,-0.006501,-0.029663,0.175853,1
0.384407,-0.048993,0.182759,-0.037007,-0.428134,0.390559,-0.011868,-0.066215,0.109827,1
0.246095,-0.135915,0.192277,0.091704,-0.4764,0.51774,-0.002248,0.007951,0.129923,1
0.134922,-0.179422,0.13729,0.091098,-0.330963,0.46226,0.00375,0.0456,0.142349,1
0.022355,-0.319477,0.186904,0.061315,-0.122722,0.187067,-0.08283,0.006293,0.135172,1
-0.054262,-0.329135,-0.012761,-0.007778,-0.060791,-0.043804,-0.003313,0.060902,0.146135,1
-0.122452,-0.285944,-0.165419,-0.01162,0.00283,-0.166399,0.016065,0.027587,0.137686,1
-0.356651,-0.163587,-0.285547,-0.002477,0.268663,-0.236048,-0.017358,-0.004129,0.126037,1
-0.355435,-0.041973,-0.285127,-0.004484,0.408118,-0.323189,-0.047357,-0.000483,0.108891,1
-0.356775,0.155833,-0.213768,0.037714,0.422756,-0.366943,-0.092243,0.027957,0.137094,1
-0.249277,0.194322,-0.150277,-0.022989,0.453573,-0.441925,-0.079755,0.039317,0.143308,1
-0.169429,0.279811,0.165255,-0.128432,0.520445,-0.388273,-0.080216,-0.003793,0.074374,1
0.002017,0.248221,0.281841,-0.117075,0.484112,-0.348688,-0.045799,0.10066,0.14065,1
0.1514,0.207905,0.346881,0.014945,0.396251,-0.263804,-0.033296,0.179795,0.168973,1
0.172349,0.157591,0.243111,-0.174606,0.223519,-0.100093,-0.045301,0.020803,0.127889,1
