Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.057094,0.240019,0.256642,0.565104,-0.009498,0.092991,-0.300506,-0.068623,0.177349,1
0.057881,0.09702,0.212905,0.3829,-0.019894,-0.016094,-0.072256,-0.061727,0.094095,1
0.015535,-0.03184,0.20322,0.211193,-0.03498,0.002578,0.009847,-0.008609,0.181834,1
0.011244,-0.113663,0.139951,0.05204,-0.069444,-0.030247,-0.010605,0.071538,0.155929,1
-0.044478,-0.220665,0.067918,-0.13888,-0.139474,-0.065517,-0.045766,0.007922,0.052657,1
0.020218,-0.296863,-0.003794,-0.218004,-0.246648,-0.088236,0.024772,0.00865,0.046718,1
0.00079,-0.362593,-0.043204,-0.254615,-0.332015,-0.098717,-0.028813,-0.031195,0.052249,1
-0.032923,-0.40136,-0.056691,-0.180532,-0.579764,-0.051747,-0.188112,-0.008329,0.246801,1
-0.239223,-0.113312,0.089889,0.046121,-0.903303,-0.027287,-0.674307,0.225099,0.305675,1
-0.248521,-0.198582,0.02371,0.031554,-1.111338,-0.024613,-0.57239,0.233362,0.280491,1
-0.544799,0.20852,0.13463,0.442377,-1.199971,-0.099418,-0.397866,0.189307,0.087868,1
-0.679008,0.859751,0.373661,0.948103,-1.443819,0.012173,-0.54664,-0.112328,0.279741,1
-0.273754,1.206115,0.185575,0.598221,-0.914306,-0.458165,-0.279972,-0.141908,0.242571,1
-0.512722,1.454634,-0.117058,0.6987,-0.550215,-1.021219,-0.769675,-0.315974,0.098426,1
-1.30552,0.670191,-0.455392,1.460421,-0.878327,-1.084467,-0.772508,-0.157931,0.033402,1
-0.780609,-0.06217,-1.691672,1.574388,-0.41602,-1.460779,-0.204764,-0.413878,-0.309082,1
-0.978749,0.849354,-2.138273,1.598668,-0.501569,-2.208292,0.336856,0.968091,-0.099647,1
-1.051207,0.647923,-2.252688,1.438655,-0.778277,-2.369092,-1.702353,2.36559,-0.365049,1
-0.432828,0.901658,-2.70528,0.814771,-0.463094,-2.688193,2.770948,0.356592,-0.260049,1
-0.427711,1.504496,-2.593141,0.733493,-0.492025,-3.1397,1.143596,0.040855,-0.222267,1
-0.200631,0.679482,-3.213971,0.041937,-0.454149,-2.707983,0.834894,-1.981142,-1.204416,1
0.10313,0.138736,-3.198775,-0.46623,-0.088652,-3.178538,0.838459,-1.494242,-0.991218,1
-0.033706,0.641274,-3.118083,-0.044187,-0.554206,-3.006745,0.619944,-0.847199,-0.079704,1
0.238667,0.140256,-2.954028,-0.01451,-0.353608,-2.944357,0.543718,0.293202,0.063557,1
0.468424,-0.558799,-3.190741,0.155933,-0.216477,-2.858627,0.791143,0.03333,0.940987,1
0.208889,-0.659749,-2.765847,-0.437167,0.09235,-1.848947,1.763687,-1.152855,0.355476,1
0.15571,-1.17954,-1.704742,-0.884139,0.373731,-0.366265,0.411768,0.48279,-0.178482,1
0.679196,-0.958493,-1.136775,-0.919361,1.106319,-0.317455,-0.579198,0.29587,-1.729231,1
0.443779,0.485606,0.996819,-0.390727,1.238566,-0.584609,-0.5583,-0.949896,-0.37013,1
0.187983,-0.59232,0.84327,-0.033333,1.096212,0.1925,-0.581318,0.119224,0.044279,1
0.584777,-0.651099,1.511243,-0.81762,1.190741,0.856632,-0.539754,0.746572,-2.469267,1
0.639856,0.358833,3.273416,-0.548883,1.122454,0.20935,-0.672641,-0.058283,-0.161081,1
0.479382,0.140138,2.771636,1.371241,1.14989,2.929459,0.215335,0.595895,-0.065351,1
0.261859,0.217802,1.911472,1.200248,0.784701,2.736486,-1.145512,1.225935,-0.74807,1
0.756205,-1.041834,1.328855,-0.091017,0.533943,1.184834,-0.081335,1.518745,0.436777,1
1.246248,-1.165556,1.673631,-0.655266,0.80084,2.30375,0.846592,0.692966,-0.462804,1
2.119623,-0.297086,3.369451,-0.490601,0.524814,3.234056,0.220432,-0.235507,1.348216,1
1.825236,0.054579,4.694907,-1.55551,0.673605,3.474587,0.970257,-0.802111,2.297194,1
1.517991,-0.239723,5.191459,-1.039537,0.290895,4.996665,0.250408,-1.28545,1.624156,1
1.20305,-2.365812,4.57791,-0.10826,0.260723,6.871119,1.319996,1.344662,2.539277,1
1.6288,-2.188933,4.112814,-0.383244,0.194239,6.203886,0.681047,0.876571,2.710423,1
1.337993,-0.459413,4.840743,-1.384784,-0.173262,4.971126,0.316902,-0.371594,2.136559,1
0.921528,0.281915,5.505445,-1.186719,-0.012252,4.357343,0.379732,-1.321419,2.081045,1
0.327736,-0.747928,5.077257,-0.498921,0.44865,3.55516,0.767514,0.016484,1.697598,1
