Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.457472,-0.960199,0.20663,-0.226888,-0.48288,0.106219,0.355899,-0.033296,0.05811,1
0.242832,-0.544511,0.251859,-0.387371,-0.4175,0.151906,0.296847,0.015933,0.167925,1
0.126492,-0.251598,0.240026,-0.659322,-0.050258,-0.067066,0.321789,0.13284,0.140939,1
0.088465,-0.258191,0.07531,-0.712932,0.331602,-0.223035,0.459147,0.158169,0.231234,1
0.141041,-0.453663,-0.064838,-0.719145,0.476624,-0.356358,0.436726,-0.024,0.251483,1
0.133406,-0.656103,-0.118265,-0.729093,0.410298,-0.233104,0.248008,-0.12068,0.080439,1
0.161472,-0.773272,-0.076243,-0.77469,0.310681,-0.084843,0.135803,-0.220023,0.043893,1
0.148031,-0.824656,0.002475,-0.872764,0.233316,-0.023195,0.167616,-0.082722,0.127324,1
0.106152,-0.722811,0.131835,-0.953588,0.276334,0.080656,0.153476,0.007752,0.023038,1
0.013343,-0.359355,0.169812,-0.974413,0.241382,0.165628,0.017917,-0.004787,0.092263,1
-0.029877,-0.21534,0.048195,-0.955439,0.152471,0.23961,0.032716,0.15536,0.038785,1
-0.012784,0.022847,0.045178,-0.966522,0.161718,0.122587,0.261424,0.121575,0.176304,1
-0.049613,0.096613,0.01899,-0.877958,0.239526,0.03645,0.286266,0.30688,0.027358,1
-0.081677,0.203751,-0.119547,-0.650521,0.122735,-0.083832,0.335043,0.474717,0.105817,1
-0.006737,0.304042,-0.120132,-0.360109,-0.132449,-0.057201,0.351538,0.315788,0.236731,1
0.278274,0.474007,0.27016,-0.15124,-0.141249,-0.03979,0.069115,0.28848,0.006489,1
0.48031,0.64649,0.703989,-0.0655,-0.258207,0.245597,-0.036026,0.307974,0.151264,1
0.769859,0.841465,0.487442,0.033039,-0.52977,0.154415,0.195358,0.296774,0.297062,1
1.016635,0.68555,0.347971,-0.012499,-0.592668,-0.167284,0.301587,0.318226,0.256005,1
1.159366,0.48285,-0.122009,0.162854,-0.652313,-0.488651,-0.004603,0.51283,0.322077,1
1.117302,0.873352,-0.371308,0.261384,-0.952842,-0.862983,0.083975,0.788924,0.342854,1
1.048871,0.819452,-1.066375,-0.001109,-1.089198,-1.406868,0.772494,1.468842,0.569174,1
1.239703,0.33189,-1.797314,-0.196128,-1.10875,-1.895428,1.511055,0.94933,0.308119,1
1.551171,0.286519,-2.059371,0.036619,-0.958631,-2.352978,1.369299,0.17918,-0.344624,1
1.399769,0.181596,-2.133969,0.139831,-1.001241,-2.431316,1.461576,1.72195,0.035444,1
1.534274,0.298327,-2.203766,-0.013318,-0.956671,-2.135329,0.988398,-1.919086,-0.483603,1
1.531268,0.339741,-2.099414,-0.036222,-0.610716,-2.444958,0.753217,-0.58702,-0.321018,1
1.014598,0.502115,-2.547088,-0.128359,-0.639679,-2.360625,0.278876,0.695628,0.13265,1
0.440013,0.344267,-2.449992,0.114149,-0.4427,-1.787066,-1.120956,-1.539638,-1.700415,1
0.571403,0.053269,-2.121534,-0.121347,-0.405599,-1.83178,-1.231136,0.745341,-0.192886,1
0.472223,-0.014066,-2.418963,-0.103292,-0.788783,-2.280379,0.454674,-0.789037,-0.246709,1
0.035489,-0.164221,-2.271367,0.021295,-0.992573,-1.456663,-0.834302,0.25639,-1.34713,1
-0.272833,-0.382198,-1.950849,0.160059,-0.651697,-0.968427,-0.942841,0.437156,-0.07076,1
-0.212559,-0.720298,-1.928328,0.149028,-0.553583,-1.554376,-1.037358,0.378411,-0.425137,1
-0.670975,-0.96255,-1.882358,0.221273,-0.829845,-0.932169,-1.743168,0.671369,-0.760313,1
-0.75054,-1.354831,-1.070646,-0.144081,-0.257021,-0.271566,0.296692,-0.345842,-0.049083,1
-0.917147,-0.600636,-0.085444,-0.51803,0.038983,-0.086326,-0.399574,-0.559527,-0.00375,1
-1.002033,-0.995595,1.451274,0.138495,0.949557,1.551205,1.101163,-1.19065,-0.929349,1
-0.942338,-0.547905,2.842672,0.05228,1.245731,2.1575,0.696103,-1.314489,0.708912,1
-1.27776,-0.256022,3.074729,0.273206,2.028778,1.456453,-0.221196,-1.611623,1.123815,1
-1.092289,-0.470712,2.933012,1.01483,2.446965,1.422604,0.425034,-0.601745,0.389303,1
-1.045705,0.093041,3.174228,0.343277,1.992793,2.097698,-0.898353,-0.856514,1.398256,1
-1.128788,-0.003656,2.534909,0.375909,1.603282,1.644244,-0.597718,-1.061922,0.811154,1
-0.67699,-0.254495,2.241879,0.132808,1.945355,1.949579,-0.185475,-0.55718,0.167772,1
-0.492583,0.099483,1.707906,0.453783,0.897186,1.74607,0.881265,-0.617498,1.205724,1
-0.373324,0.142865,1.518993,0.59242,0.439797,1.260042,0.346246,-0.207527,0.275854,1
-0.554015,-0.09505,1.701928,0.334597,1.159379,1.015588,-0.312149,0.596744,-1.315132,1
-0.196781,0.029485,1.640111,0.068695,0.882013,1.279992,-1.391957,0.218897,0.104377,1
-0.476238,0.816763,1.630572,-0.240655,0.437355,1.746313,-0.691257,0.549857,0.736627,1
-0.364779,0.280228,2.417436,-0.505239,0.957095,2.030666,1.176039,-0.250929,-0.682274,1
-0.421543,0.309241,1.160898,-0.463385,0.706039,1.431611,0.052275,-0.840383,0.180813,1
0.141031,0.200142,0.249963,-0.607686,-0.074429,0.799548,-0.099926,-0.205462,-0.061424,1
-0.118096,-0.796512,0.51361,-0.175573,-0.081993,0.255425,-0.194615,-0.614935,0.215436,1
0.273518,-1.007067,-0.241052,-0.06667,0.019678,0.047075,-0.009644,0.068291,0.542633,1
-0.487483,-1.714468,1.047039,0.290254,0.176102,1.274227,-1.678715,0.102192,1.354846,1
-1.101243,-1.446343,1.565183,0.187384,0.246348,1.661654,-1.525661,0.718548,-1.654249,1
-0.5258,-0.776838,2.145205,0.132833,0.556849,1.573784,0.129091,-0.281038,0.817502,1
-0.562497,-0.55048,2.786306,0.384668,0.430777,2.231083,1.115738,-1.72307,1.425684,1
0.192271,0.047459,2.144063,0.402567,0.380773,2.051332,1.342612,-0.897459,0.354321,1
0.63884,0.197193,1.693541,0.011939,0.305309,1.234259,-0.440835,-0.473468,0.145678,1
0.52971,-0.181948,1.222071,-0.033318,0.029571,0.958241,-1.214466,-0.088191,0.822135,1
0.311525,-0.530773,0.818373,0.121039,0.281113,1.106603,-1.951451,-1.123562,3.316958,1
-0.326311,-1.008639,1.878808,0.647474,1.140887,1.846967,-0.537992,-1.211398,1.317878,1
-0.647779,-1.318808,2.214304,1.007955,1.865918,2.204761,-0.412338,-0.534125,0.084159,1
-0.414342,-1.033899,1.589611,0.750418,1.552304,1.779987,0.569294,-0.343657,-0.228677,1
-0.122848,-0.748534,1.131682,0.455258,1.053743,1.116426,0.02595,-0.571758,1.007379,1
