Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.17585,-0.07016,-0.316666,0.13807,0.211051,0.228644,1
0.028847,-0.222635,-0.336497,0.505776,-0.015708,0.453297,1
0.048489,-0.350133,-0.669703,0.979427,0.030479,-0.03939,1
-0.175718,-0.377605,-0.965586,0.613988,0.543244,-0.009383,1
-0.038797,-0.415769,-1.361557,0.089435,0.879889,0.144254,1
0.224412,-0.182959,-1.249399,0.697541,1.761737,-0.013121,1
0.06526,0.036803,-1.506742,0.2921,1.045408,-0.105247,1
0.358229,0.323707,-1.300046,-0.08184,0.728663,-0.723297,1
0.20284,0.240019,-1.554824,-0.526342,0.484174,-0.635818,1
-0.048265,0.02485,-1.844542,-0.780045,0.111525,-0.735544,1
-0.227826,0.430862,-1.420754,-0.420186,0.105347,-0.292582,1
0.002179,-0.227225,-1.300413,0.491921,0.489963,-1.102421,1
0.045102,0.418964,-1.005713,1.168591,0.921084,-1.460373,1
0.15069,0.470041,-1.023228,1.121045,0.167842,-1.264636,1
-0.008136,0.023499,-1.525424,0.514484,-0.451447,-0.671962,1
0.441591,0.522911,-2.512635,-1.39664,-1.850715,-0.092393,1
-0.177716,0.319297,-2.481432,-1.487497,-1.101769,-0.048738,1
0.29722,0.158371,-1.467672,-0.197866,-0.90642,0.083063,1
-0.97267,0.678453,-2.566844,0.679433,-1.444857,-0.3286,1
-0.920429,0.154016,-1.152522,0.382058,-1.860745,-0.113234,1
-0.562934,0.920302,-0.757799,1.644427,-1.556817,1.324601,1
-1.168576,0.918774,1.531093,0.225509,-2.496594,2.032099,1
0.142659,1.304934,1.924664,-1.504086,-1.558004,1.038,1
-1.06836,0.806094,3.470011,-0.827482,-0.818105,0.005295,1
-0.533256,0.911338,2.508486,-0.080818,0.820237,-0.227183,1
-0.316228,0.963272,1.582325,0.149135,-0.159569,-0.132873,1
-0.075947,0.910234,1.743043,1.641438,-0.43156,-0.409373,1
1.04418,1.161282,1.834473,1.024598,0.258729,-0.453024,1
0.768035,0.651004,2.145177,-0.928862,-0.859245,1.539221,1
0.782526,-0.243381,2.574884,-0.52444,-0.261062,0.771024,1
0.898508,0.1423,2.250636,0.761295,-0.317578,1.009829,1
0.672968,-0.504821,2.334791,-0.186522,-1.146584,2.341679,1
0.47714,-0.395721,1.765759,-1.258796,-0.0226,0.626811,1
0.460593,-0.227369,1.379686,-0.22344,-0.135566,-0.096357,1
-0.260148,-0.770088,1.144142,-0.019397,-0.204302,0.535898,1
-0.091587,-0.373785,0.833596,0.266257,-0.021674,0.550595,1
0.119538,0.160257,0.265675,0.642743,-0.002777,-0.565881,1
0.194126,0.190885,1.12453,-0.31702,-0.006589,-0.143041,1
-0.06572,0.159531,0.733461,0.040955,-0.271936,0.557618,1
0.362417,-0.13249,1.026456,0.612362,-0.203742,0.120214,1
0.360968,-0.551042,0.696753,0.55731,-0.285499,-0.128584,1
-0.285715,-0.83513,0.642056,0.55125,-0.229235,0.185341,1
-0.306667,1.404972,-2.080091,0.207333,-0.15387,0.184592,1
0.287176,-0.702014,1.722419,-0.630388,0.167195,-0.205664,1
