Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.329957,0.089007,0.187693,0.006429,-0.026954,0.282495,1
-0.61715,0.040603,0.533144,0.20539,0.141407,0.468058,1
-0.647932,0.155288,0.517734,0.399078,0.170603,0.46525,1
-0.759882,0.045052,0.430446,0.541277,0.220371,0.375554,1
-0.841357,-0.276763,0.27882,0.473911,0.126569,0.493573,1
-0.802696,-0.542416,-0.103326,0.462545,0.325197,0.556401,1
-0.578835,-0.469867,-0.808716,1.408171,0.687602,0.225132,1
-0.339671,-0.382855,-1.32444,1.624738,1.652103,-0.091136,1
-0.252671,-0.442123,-1.91557,0.638107,0.212401,-0.178663,1
-0.213275,-0.478944,-2.672344,0.506208,0.48439,-0.367251,1
0.061166,-0.409165,-2.727424,0.203668,-2.070696,-0.489442,1
0.494966,0.042725,-1.609482,-0.741647,-3.783484,-1.468705,1
0.322787,-0.004949,-1.403511,-0.50689,0.935544,1.517169,1
0.006476,-0.450751,-2.032857,0.753581,0.850471,-0.63946,1
-0.651959,-0.325327,-1.656164,-0.402472,-0.876764,-1.728788,1
-1.28953,-0.128628,-0.735658,-1.554181,2.120166,0.301295,1
-1.186095,0.577954,-0.525405,0.320325,0.320552,-0.228963,1
-1.343943,1.329689,-1.439679,-1.125395,-0.539776,-0.890983,1
-1.662403,0.393665,-1.641411,-1.971049,-0.808921,0.310227,1
-0.611663,0.045447,-0.597122,-0.228201,0.02959,0.059275,1
-0.017872,0.338814,-0.535963,-0.833626,-0.502823,-0.676989,1
0.335797,-0.045005,-0.660746,-0.231247,-1.68435,-0.770735,1
0.94174,0.147016,1.008527,0.940538,-0.934264,-0.423868,1
1.237223,0.333033,0.03371,-0.866886,0.727154,-0.425583,1
0.841324,-0.057246,0.450436,0.686679,-0.161498,-0.680719,1
1.193527,0.575686,0.426174,0.246556,-1.035435,-0.014385,1
0.651084,-0.043887,0.583637,-0.585467,-0.128016,-0.211411,1
0.294062,0.077501,1.690353,-1.022191,0.512917,0.340431,1
0.462886,0.334503,1.383708,-0.661253,0.391858,0.425252,1
0.630718,0.441718,1.036172,0.74786,0.090911,-0.455873,1
0.615118,0.225781,1.379544,0.508464,-0.336722,0.108537,1
0.544791,0.238463,0.66049,0.207532,0.432663,-0.061538,1
0.526521,0.260635,0.418901,-0.045391,-0.863231,-0.053598,1
0.364956,0.321115,0.475121,0.042753,-0.13972,0.594256,1
0.546521,0.249998,0.582969,0.175598,-0.481955,0.370311,1
0.381083,-0.157802,0.356239,-0.136824,-0.6105,0.230075,1
0.082493,-0.509443,0.143171,-0.197286,0.079765,0.169572,1
0.138675,-0.844633,0.622632,-0.082442,-0.597355,0.412141,1
0.132939,-0.886321,1.461227,-0.242951,-0.630609,0.26005,1
-0.282062,-0.444945,1.802019,0.026428,-0.550736,0.164487,1
0.219738,0.04937,0.940309,-0.735113,-0.963415,0.46049,1
-0.067654,0.070955,1.024333,-0.992059,-0.332491,0.429077,1
0.134228,-0.15486,0.586282,-0.555718,-0.414411,0.323547,1
-0.220129,0.608662,0.28801,-1.082265,0.782118,1.106146,1
1.566261,-1.144283,1.081744,0.639551,-0.260897,-0.026917,1
0.930416,0.387881,-0.672274,0.91028,-0.244767,-0.472432,1
0.374082,0.850609,-0.141996,0.448059,-0.216265,0.102574,1
0.14777,0.322807,0.552667,0.621743,-0.425996,0.110967,1
-0.358598,0.427774,-0.605722,0.005728,-0.249362,0.471903,1
-0.831197,-0.27768,2.3643,-0.000461,-0.828985,0.526034,1
-0.794357,0.856156,1.432014,-0.067162,-0.053297,0.193258,1
0.565084,-0.308513,1.093871,-0.000316,-0.911842,0.400729,1
0.196889,-0.744929,1.903404,0.539999,-0.565637,0.244109,1
0.166055,0.435039,0.680289,-0.230809,-0.112921,0.506233,1
0.205033,0.453144,0.38492,0.297655,-0.665272,0.329282,1
0.097548,0.401063,0.924059,0.242482,0.477325,-0.044291,1
-0.151096,0.381624,0.34775,0.199484,-0.224918,0.324873,1
0.226059,0.814398,0.294131,0.437639,-0.158769,0.058049,1
0.715557,0.531742,0.55679,0.568521,-0.294432,0.011646,1
0.281574,0.118936,0.250645,0.028388,-0.533299,0.341271,1
0.50823,-0.390018,0.652935,-0.207805,-0.917298,1.071188,1
0.843944,-0.322514,1.196873,-0.035821,-0.631723,0.481479,1
0.956227,-0.785033,0.516114,-0.860178,-0.326003,1.377912,1
1.684981,-1.547077,3.491305,-0.214692,1.321484,0.717433,1
0.8716,-2.142847,4.124119,-0.802101,-0.693369,0.954157,1
1.004116,-0.609584,2.908709,0.202989,-0.725518,2.106273,1
0.582524,1.097217,2.250976,0.973907,-0.496989,0.913379,1
-0.093109,1.524244,1.198013,0.723533,-0.805179,0.8656,1
-0.325062,1.046931,1.340587,0.333885,-0.17031,0.686248,1
-0.587645,1.400302,1.122494,0.179813,-0.522259,0.747711,1
-0.399766,1.624175,0.701165,0.513637,-0.84412,0.326388,1
0.016408,1.446365,0.234714,0.269996,-0.969607,0.418425,1
0.092381,1.319405,0.415985,0.873446,-1.046651,0.341293,1
0.280356,1.230874,0.422094,0.302825,-1.045238,0.260935,1
0.408243,1.238256,0.345649,-0.004456,-0.536682,-0.063516,1
0.466932,0.570682,0.118894,-0.242509,-0.240443,-0.313321,1
0.555084,0.784471,-0.115218,-0.24086,-0.219072,-0.145875,1
0.296127,0.563957,-0.808362,0.058906,-0.152729,-0.550855,1
0.128255,0.071872,-0.616456,-0.106273,0.57973,-0.373604,1
-0.375327,-0.48983,-0.708372,0.138357,-0.595316,-0.502033,1
-0.473937,-0.088893,-0.362371,-0.190042,-0.101455,0.019489,1
-0.296111,0.019248,-0.816707,-0.165446,0.275121,-0.607196,1
0.004773,-0.089669,-0.954907,-0.204839,-0.355403,-0.475074,1
0.096983,0.026831,-0.368399,-0.419385,-0.496291,0.38514,1
0.296523,0.005765,-0.24051,0.184896,-0.937563,-0.349736,1
0.190802,-0.239739,-0.508254,-0.011773,-1.063373,0.218925,1
-0.068375,-0.621777,-0.173473,-0.543497,0.146513,0.559245,1
-0.238553,-0.422338,-0.152546,-0.253046,-0.063226,-0.312438,1
-0.458746,-0.529833,-0.397782,0.057843,-0.389586,-0.708795,1
-0.635401,-0.934588,-0.561571,-0.238749,0.118912,-0.359232,1
-0.606836,-0.652565,-0.542519,-0.189925,0.737692,-0.273621,1
-0.434497,-0.437041,-0.969555,0.201702,0.154852,-0.420836,1
-0.629019,-0.509398,-0.921548,-0.040654,-0.05011,-0.404143,1
-0.096923,-0.446586,-0.91957,0.124432,-0.015945,-0.251341,1
0.167927,-0.300019,-0.93193,-0.033262,-0.127061,-0.174799,1
0.513505,-0.396045,-0.946846,-0.167098,-0.492901,-0.012515,1
0.545736,-0.530108,-0.833565,1.14101,-0.742722,-0.185597,1
-0.305605,-0.288473,0.008356,-0.549765,-0.794115,-0.318896,1
0.071815,-0.011972,-0.33822,-0.607763,-0.03412,0.599767,1
-0.305553,0.101245,-0.283067,-0.679726,0.31929,-0.41446,1
-0.167741,0.210439,-0.515175,-1.096526,0.935279,-0.339954,1
-0.052468,0.277992,-0.382771,-0.645653,0.73931,-0.10131,1
-0.234808,0.606156,-0.645446,-0.256617,0.324888,-0.22271,1
0.246354,0.736887,-1.017461,-0.746991,-0.099689,0.215216,1
