Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.069163,-0.36955,0.091441,-0.005418,0.023718,0.162017,1
-0.066012,-0.328591,0.212738,-0.006501,-0.029663,0.175853,1
-0.037007,-0.428134,0.390559,-0.011868,-0.066215,0.109827,1
0.091704,-0.4764,0.51774,-0.002248,0.007951,0.129923,1
0.091098,-0.330963,0.46226,0.00375,0.0456,0.142349,1
0.061315,-0.122722,0.187067,-0.08283,0.006293,0.135172,1
-0.007778,-0.060791,-0.043804,-0.003313,0.060902,0.146135,1
-0.01162,0.00283,-0.166399,0.016065,0.027587,0.137686,1
-0.002477,0.268663,-0.236048,-0.017358,-0.004129,0.126037,1
-0.004484,0.408118,-0.323189,-0.047357,-0.000483,0.108891,1
0.037714,0.422756,-0.366943,-0.092243,0.027957,0.137094,1
-0.022989,0.453573,-0.441925,-0.079755,0.039317,0.143308,1
-0.128432,0.520445,-0.388273,-0.080216,-0.003793,0.074374,1
-0.117075,0.484112,-0.348688,-0.045799,0.10066,0.14065,1
0.014945,0.396251,-0.263804,-0.033296,0.179795,0.168973,1
-0.174606,0.223519,-0.100093,-0.045301,0.020803,0.127889,1
-0.331656,-0.36224,0.096868,-0.091409,-0.074188,0.080545,1
-0.186266,-0.383761,-0.148528,-0.076649,0.098331,0.170169,1
-0.248236,-0.671258,0.000684,-0.066168,0.259601,0.134743,1
-0.376531,-0.853008,0.060831,-0.079706,0.257853,0.230033,1
-0.247168,-0.736691,-0.120535,0.078233,0.160964,0.297124,1
-0.220782,-0.609076,-0.278963,0.16017,0.40964,0.201847,1
-0.246472,-0.732861,-0.38539,0.174049,0.950583,0.135975,1
-0.233796,-0.539503,-0.6854,0.103328,1.237038,0.506629,1
-0.123782,-0.2529,-0.8639,0.165551,1.39808,0.479577,1
-0.082632,-0.219691,-1.0774,0.533135,0.867181,-0.630676,1
-0.193839,-0.254623,-1.414423,1.019617,-0.039906,0.122452,1
-0.341586,-0.208848,-1.834428,1.722304,-1.709486,-0.311908,1
-0.429671,-0.143495,-2.091758,-0.176777,-1.15512,0.116945,1
-0.265713,0.004126,-2.468627,-0.23076,-0.664436,0.292573,1
-0.410397,-0.049088,-2.655063,0.578691,-0.719018,-0.295728,1
-0.219023,0.126049,-2.481698,-0.433901,0.269216,0.054509,1
-0.161547,0.641769,-2.240256,-0.681425,-0.243045,-0.303916,1
-0.039949,0.785705,-1.863143,-0.913046,-0.165936,0.058166,1
-0.104499,0.507957,-1.007401,-0.764798,0.19682,0.405405,1
-0.20751,0.482108,-0.855238,0.246761,-0.178674,-0.345963,1
0.077252,0.549426,-1.010736,-0.223515,0.390348,-0.144081,1
-0.277669,0.311352,-0.486135,-0.338823,0.32462,0.206163,1
-0.10374,0.245403,-0.45334,-0.209321,0.665439,-0.560553,1
-0.040637,0.420469,-0.451146,-0.774985,0.896113,-0.59467,1
0.048707,0.548508,-0.352502,-0.209903,0.582441,-0.405725,1
0.132772,0.348219,0.37631,0.5775,-0.149647,-0.822506,1
0.163235,0.436923,0.78297,0.156956,-0.351499,-1.418576,1
-0.172796,0.851468,1.037567,-0.243243,0.71463,0.322647,1
-0.290447,0.574534,1.502344,0.092739,-0.71732,0.060238,1
-0.047349,0.158578,1.745411,-0.376212,-0.339218,-1.327807,1
-0.192772,0.277232,1.641272,-0.546583,0.221273,0.308613,1
