Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.226888,-0.48288,0.106219,0.355899,-0.033296,0.05811,1
-0.387371,-0.4175,0.151906,0.296847,0.015933,0.167925,1
-0.659322,-0.050258,-0.067066,0.321789,0.13284,0.140939,1
-0.712932,0.331602,-0.223035,0.459147,0.158169,0.231234,1
-0.719145,0.476624,-0.356358,0.436726,-0.024,0.251483,1
-0.729093,0.410298,-0.233104,0.248008,-0.12068,0.080439,1
-0.77469,0.310681,-0.084843,0.135803,-0.220023,0.043893,1
-0.872764,0.233316,-0.023195,0.167616,-0.082722,0.127324,1
-0.953588,0.276334,0.080656,0.153476,0.007752,0.023038,1
-0.974413,0.241382,0.165628,0.017917,-0.004787,0.092263,1
-0.955439,0.152471,0.23961,0.032716,0.15536,0.038785,1
-0.966522,0.161718,0.122587,0.261424,0.121575,0.176304,1
-0.877958,0.239526,0.03645,0.286266,0.30688,0.027358,1
-0.650521,0.122735,-0.083832,0.335043,0.474717,0.105817,1
-0.360109,-0.132449,-0.057201,0.351538,0.315788,0.236731,1
-0.15124,-0.141249,-0.03979,0.069115,0.28848,0.006489,1
-0.0655,-0.258207,0.245597,-0.036026,0.307974,0.151264,1
0.033039,-0.52977,0.154415,0.195358,0.296774,0.297062,1
-0.012499,-0.592668,-0.167284,0.301587,0.318226,0.256005,1
0.162854,-0.652313,-0.488651,-0.004603,0.51283,0.322077,1
0.261384,-0.952842,-0.862983,0.083975,0.788924,0.342854,1
-0.001109,-1.089198,-1.406868,0.772494,1.468842,0.569174,1
-0.196128,-1.10875,-1.895428,1.511055,0.94933,0.308119,1
0.036619,-0.958631,-2.352978,1.369299,0.17918,-0.344624,1
0.139831,-1.001241,-2.431316,1.461576,1.72195,0.035444,1
-0.013318,-0.956671,-2.135329,0.988398,-1.919086,-0.483603,1
-0.036222,-0.610716,-2.444958,0.753217,-0.58702,-0.321018,1
-0.128359,-0.639679,-2.360625,0.278876,0.695628,0.13265,1
0.114149,-0.4427,-1.787066,-1.120956,-1.539638,-1.700415,1
-0.121347,-0.405599,-1.83178,-1.231136,0.745341,-0.192886,1
-0.103292,-0.788783,-2.280379,0.454674,-0.789037,-0.246709,1
0.021295,-0.992573,-1.456663,-0.834302,0.25639,-1.34713,1
0.160059,-0.651697,-0.968427,-0.942841,0.437156,-0.07076,1
0.149028,-0.553583,-1.554376,-1.037358,0.378411,-0.425137,1
0.221273,-0.829845,-0.932169,-1.743168,0.671369,-0.760313,1
-0.144081,-0.257021,-0.271566,0.296692,-0.345842,-0.049083,1
-0.51803,0.038983,-0.086326,-0.399574,-0.559527,-0.00375,1
