time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:50:08.923	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.803	-0.333	-0.089	-63.110	-30.640	-42.480	-68.12	59.40	-88.40	-87.047	-3.487	-37.620	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:08.978	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.633	-0.194	-0.326	-6.531	-40.710	5.859	-72.17	57.70	-86.48	-87.047	-3.487	-37.620	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:09.130	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.708	-0.249	-0.139	137.085	-4.944	55.420	-62.28	60.95	-80.06	-87.047	-3.487	-37.620	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:09.189	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.184	-0.451	0.638	83.740	63.110	43.213	-53.80	68.19	-82.35	-87.047	-3.487	-37.620	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:09.309	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.271	-0.338	0.635	-10.071	-8.667	-14.099	-52.38	69.91	-85.33	-88.973	0.047	-34.947	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:09.399	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.904	-0.317	0.193	-56.641	-20.874	-39.185	-55.49	65.39	-85.92	-88.973	0.047	-34.947	-0.71390	-0.15173	-0.53516	0.42520	26.1	null	null	13113	75
2026-05-27T16:50:09.519	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.702	-0.294	-0.039	-31.067	-5.798	-14.038	-60.99	62.68	-88.56	-88.973	0.047	-34.947	-0.71362	-0.01508	-0.62000	0.32559	26.1	null	null	13113	75
2026-05-27T16:50:09.609	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.907	-0.162	-0.029	30.640	-3.052	-11.353	-61.54	63.00	-89.87	-88.973	0.047	-34.947	-0.71362	-0.01508	-0.62000	0.32559	26.1	null	null	13113	75
2026-05-27T16:50:09.733	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.820	-0.444	0.270	59.875	28.564	9.277	-56.35	63.92	-90.86	-88.973	0.047	-34.947	-0.71362	-0.01508	-0.62000	0.32559	26.1	null	null	13113	75
2026-05-27T16:50:09.789	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.088	-0.480	0.411	3.845	11.597	-6.409	-60.12	66.16	-98.34	-88.973	0.047	-34.947	-0.71362	-0.01508	-0.62000	0.32559	26.1	null	null	13113	75
2026-05-27T16:50:09.910	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.994	-0.438	0.208	-24.353	6.714	-23.010	-65.54	64.80	-103.60	-88.973	0.047	-34.947	-0.71362	-0.01508	-0.62000	0.32559	26.1	null	null	13113	75
