time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:02:12.567	WT901BLE68(F3:F0:16:BF:DC:AE)	0.190	0.928	0.249	-21.973	3.174	7.080	84.01	-3.50	-45.04	-47.793	25.947	-62.220	-0.65961	-0.67191	0.27466	0.19470	25.3	null	null	13113	60
2026-05-27T17:02:12.640	WT901BLE68(F3:F0:16:BF:DC:AE)	0.028	0.937	0.162	-17.944	39.917	14.832	81.74	-4.39	-41.25	-47.793	25.947	-62.220	-0.65961	-0.67191	0.27466	0.19470	25.3	null	null	13113	60
2026-05-27T17:02:12.760	WT901BLE68(F3:F0:16:BF:DC:AE)	0.125	0.937	0.058	-22.217	13.184	15.076	79.55	-5.26	-38.53	-49.987	34.593	-52.467	-0.65961	-0.67191	0.27466	0.19470	25.3	null	null	13113	60
2026-05-27T17:02:12.819	WT901BLE68(F3:F0:16:BF:DC:AE)	0.107	1.020	0.107	-7.263	49.988	11.047	77.96	-5.75	-35.71	-49.987	34.593	-52.467	-0.65961	-0.67191	0.27466	0.19470	25.3	null	null	13113	60
2026-05-27T17:02:12.943	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.047	0.999	0.174	-17.761	5.920	0.854	77.11	-5.58	-33.07	-49.987	34.593	-52.467	-0.65961	-0.67191	0.27466	0.19470	25.3	null	null	13113	60
2026-05-27T17:02:13.031	WT901BLE68(F3:F0:16:BF:DC:AE)	0.148	0.966	0.261	-19.348	28.015	4.089	75.25	-5.37	-32.79	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.151	WT901BLE68(F3:F0:16:BF:DC:AE)	0.043	0.944	0.313	-9.460	8.179	3.540	73.71	-5.13	-30.39	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.243	WT901BLE68(F3:F0:16:BF:DC:AE)	0.093	0.959	0.294	-10.620	-9.033	-3.784	72.86	-5.02	-30.57	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.361	WT901BLE68(F3:F0:16:BF:DC:AE)	0.129	0.969	0.313	-10.132	-12.390	-4.150	71.99	-4.72	-31.64	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.449	WT901BLE68(F3:F0:16:BF:DC:AE)	0.185	0.971	0.346	-7.568	6.714	2.991	71.17	-4.89	-32.75	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.571	WT901BLE68(F3:F0:16:BF:DC:AE)	0.067	0.939	0.357	-4.700	12.329	5.554	70.53	-5.11	-31.62	-49.987	34.593	-52.467	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
2026-05-27T17:02:13.629	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	0.958	0.372	-4.822	14.587	5.432	69.97	-5.34	-30.72	-42.960	41.567	-47.240	-0.75949	-0.58252	0.21335	0.19550	25.3	null	null	13113	60
