time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:56:51.105	WT901BLE68(F3:F0:16:BF:DC:AE)	0.616	-0.327	0.565	-12.756	-85.754	26.672	-27.71	-47.94	15.45	3.567	6.287	15.747	0.77332	0.52417	-0.30811	-0.17950	25.9	null	null	13113	60
2026-05-27T16:56:51.188	WT901BLE68(F3:F0:16:BF:DC:AE)	0.755	-0.430	0.525	-1.404	-40.833	11.353	-34.27	-52.26	26.21	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.313	WT901BLE68(F3:F0:16:BF:DC:AE)	0.721	-0.435	0.534	3.723	-0.854	3.784	-36.06	-52.84	32.40	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.399	WT901BLE68(F3:F0:16:BF:DC:AE)	0.704	-0.448	0.437	-4.761	-42.358	2.319	-38.86	-54.12	38.77	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.521	WT901BLE68(F3:F0:16:BF:DC:AE)	0.825	-0.433	0.429	9.888	1.709	-7.874	-40.91	-55.88	44.57	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.612	WT901BLE68(F3:F0:16:BF:DC:AE)	0.756	-0.381	0.432	14.282	6.592	-5.432	-37.84	-55.12	45.26	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.732	WT901BLE68(F3:F0:16:BF:DC:AE)	0.789	-0.325	0.356	42.480	-9.949	-0.977	-36.84	-56.18	49.39	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.790	WT901BLE68(F3:F0:16:BF:DC:AE)	0.782	-0.276	0.512	71.838	3.235	-2.136	-29.67	-56.08	50.53	3.567	6.287	15.747	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:51.910	WT901BLE68(F3:F0:16:BF:DC:AE)	1.004	-0.500	0.780	5.310	-35.034	17.212	-28.80	-57.87	55.85	21.813	2.980	-2.440	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:52.001	WT901BLE68(F3:F0:16:BF:DC:AE)	0.878	-0.372	0.443	-30.457	-8.423	39.551	-38.98	-58.08	66.41	21.813	2.980	-2.440	0.88278	-0.16553	-0.43802	0.03604	25.9	null	null	13113	60
2026-05-27T16:56:52.117	WT901BLE68(F3:F0:16:BF:DC:AE)	0.443	-0.226	0.248	7.385	26.917	3.357	-38.98	-53.68	67.47	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
2026-05-27T16:56:52.211	WT901BLE68(F3:F0:16:BF:DC:AE)	0.700	-0.133	0.355	60.547	16.907	-13.611	-34.66	-54.70	68.52	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
2026-05-27T16:56:52.334	WT901BLE68(F3:F0:16:BF:DC:AE)	0.879	-0.434	0.759	43.274	-49.072	-12.817	-27.89	-56.89	69.20	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
2026-05-27T16:56:52.419	WT901BLE68(F3:F0:16:BF:DC:AE)	0.947	-0.426	0.751	-37.964	-10.193	11.414	-29.28	-57.93	71.72	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
2026-05-27T16:56:52.515	WT901BLE68(F3:F0:16:BF:DC:AE)	0.773	-0.261	0.343	-40.710	5.005	5.676	-36.64	-57.62	75.98	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
2026-05-27T16:56:52.600	WT901BLE68(F3:F0:16:BF:DC:AE)	0.694	-0.155	0.077	46.814	21.057	-16.907	-33.18	-56.44	73.84	21.813	2.980	-2.440	0.77850	-0.00809	-0.53268	0.33170	25.9	null	null	13113	60
