time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:48:55.092	WT901BLE68(F3:F0:16:BF:DC:AE)	0.648	0.878	0.420	-2.991	-75.867	-9.705	69.39	6.15	-65.19	-22.820	42.267	-48.533	-0.75757	-0.62674	-0.01932	0.18118	26.2	null	null	13113	60
2026-05-27T16:48:55.214	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.001	0.916	0.351	11.719	-167.236	7.324	69.74	2.76	-71.25	-22.820	42.267	-48.533	-0.75757	-0.62674	-0.01932	0.18118	26.2	null	null	13113	60
2026-05-27T16:48:55.268	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.077	0.924	0.286	21.240	127.380	0.549	71.19	2.25	-70.06	-22.820	42.267	-48.533	-0.75757	-0.62674	-0.01932	0.18118	26.2	null	null	13113	60
2026-05-27T16:48:55.389	WT901BLE68(F3:F0:16:BF:DC:AE)	0.175	0.983	0.479	1.404	-53.894	-16.785	72.47	3.33	-70.29	-49.473	38.967	-40.507	-0.75757	-0.62674	-0.01932	0.18118	26.2	null	null	13113	60
2026-05-27T16:48:55.481	WT901BLE68(F3:F0:16:BF:DC:AE)	1.196	1.033	0.421	-20.081	412.903	45.776	71.68	3.25	-62.26	-49.473	38.967	-40.507	-0.75757	-0.62674	-0.01932	0.18118	26.2	null	null	13113	60
2026-05-27T16:48:55.600	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.154	0.879	-1.152	-103.394	1014.954	-48.340	82.80	21.02	26.59	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:55.689	WT901BLE68(F3:F0:16:BF:DC:AE)	-2.143	0.852	-0.514	49.500	-573.914	53.528	98.22	23.69	73.64	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:55.811	WT901BLE68(F3:F0:16:BF:DC:AE)	0.335	1.070	-0.898	9.338	-1094.849	-65.063	69.38	3.31	-39.18	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:55.900	WT901BLE68(F3:F0:16:BF:DC:AE)	1.043	1.068	0.055	29.297	687.012	109.558	73.88	-5.92	-60.24	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.020	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.606	0.749	-0.534	-87.463	658.691	22.705	69.38	10.40	20.31	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.083	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.852	0.830	0.061	40.710	50.110	50.232	80.56	19.81	60.39	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.234	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.335	0.906	-0.119	67.871	-503.540	-47.119	77.78	13.43	25.58	-49.473	38.967	-40.507	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.289	WT901BLE68(F3:F0:16:BF:DC:AE)	0.007	0.961	0.406	55.847	-96.924	-63.721	79.39	15.06	-2.13	-14.273	45.280	-35.240	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.414	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.324	0.786	0.193	-3.357	-41.870	3.662	80.29	16.93	-6.89	-14.273	45.280	-35.240	-0.76675	-0.59802	0.05396	0.22681	26.2	null	null	13113	60
2026-05-27T16:48:56.500	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.501	0.937	0.255	26.123	-50.171	11.658	79.39	14.56	-10.14	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:56.622	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.250	0.940	0.184	71.472	-181.641	-50.720	81.29	15.17	-26.39	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:56.678	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.292	0.753	0.178	26.306	-40.344	-2.563	83.31	16.88	-35.93	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:56.803	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.391	0.944	0.128	-77.698	43.274	37.476	79.67	14.36	-36.78	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:56.891	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.595	0.855	0.279	-42.725	188.782	-49.438	76.35	19.56	-20.47	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:57.014	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.311	0.758	0.106	-24.231	67.932	-30.762	76.90	26.34	-12.13	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:57.103	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.344	0.924	0.135	-11.169	102.966	31.921	80.88	27.84	-1.69	-14.273	45.280	-35.240	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:57.223	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.431	1.042	0.270	21.179	-23.926	47.668	85.15	23.63	3.76	-27.280	44.920	-44.773	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:57.309	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.445	0.941	0.160	28.931	-21.912	37.170	86.51	19.92	1.81	-27.280	44.920	-44.773	-0.75351	-0.63846	-0.05768	0.14557	26.2	null	null	13113	60
2026-05-27T16:48:57.401	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.366	1.002	0.220	35.828	-170.105	22.400	85.41	16.28	-11.99	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
2026-05-27T16:48:57.491	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.302	0.946	0.192	3.723	-42.847	19.348	84.12	14.29	-20.68	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
2026-05-27T16:48:57.614	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.229	0.929	0.115	-28.687	28.687	26.855	81.94	11.91	-20.90	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
2026-05-27T16:48:57.701	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.402	0.981	0.244	-1.038	-52.185	-10.315	80.63	11.12	-20.20	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
2026-05-27T16:48:57.820	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.075	0.963	0.296	-28.259	-9.216	-35.706	77.92	13.55	-27.35	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
2026-05-27T16:48:57.909	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.185	0.915	0.147	-61.462	107.971	4.578	75.29	16.45	-18.97	-27.280	44.920	-44.773	-0.71597	-0.67926	-0.06964	0.14502	26.2	null	null	13113	60
