time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:01:06.880	WT901BLE68(F3:F0:16:BF:DC:AE)	0.041	0.997	-0.062	-0.244	7.935	-1.099	95.00	-0.77	-53.41	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:06.972	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.003	0.989	-0.098	0.000	5.310	1.160	94.91	-0.84	-51.86	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:07.091	WT901BLE68(F3:F0:16:BF:DC:AE)	0.001	0.998	-0.094	3.967	9.644	0.793	95.10	-0.93	-51.09	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:07.181	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	1.001	-0.087	3.784	5.310	1.709	95.43	-1.07	-50.17	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:07.299	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.030	1.004	-0.083	3.784	2.441	4.700	95.80	-1.32	-49.65	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:07.390	WT901BLE68(F3:F0:16:BF:DC:AE)	0.008	0.994	-0.115	3.113	5.798	7.446	96.08	-1.85	-49.26	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	75
2026-05-27T17:01:07.510	WT901BLE68(F3:F0:16:BF:DC:AE)	0.047	0.990	-0.117	3.113	14.038	8.118	96.28	-2.63	-48.45	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	60
2026-05-27T17:01:07.569	WT901BLE68(F3:F0:16:BF:DC:AE)	0.063	0.989	-0.125	3.784	20.386	10.498	96.54	-3.69	-46.49	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	60
2026-05-27T17:01:07.693	WT901BLE68(F3:F0:16:BF:DC:AE)	0.094	0.993	-0.114	3.357	20.508	11.169	96.77	-4.87	-44.59	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.6	null	null	13113	60
2026-05-27T17:01:07.779	WT901BLE68(F3:F0:16:BF:DC:AE)	0.142	0.986	-0.116	1.404	26.428	11.597	96.77	-6.23	-42.37	-54.680	23.607	-60.460	-0.60898	-0.66077	0.33124	0.28757	25.4	null	null	13113	60
