time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:55:45.145	WT901BLE68(F3:F0:16:BF:DC:AE)	0.202	0.955	0.273	-2.563	11.047	1.587	74.15	-12.89	-49.37	-48.367	39.680	-30.400	0.73535	0.49625	-0.34857	-0.30228	25.9	null	null	13113	60
2026-05-27T16:55:45.249	WT901BLE68(F3:F0:16:BF:DC:AE)	0.204	0.965	0.214	-1.953	6.042	-0.061	73.77	-12.16	-47.80	-49.020	38.500	-35.053	0.73535	0.49625	-0.34857	-0.30228	25.9	null	null	13113	60
2026-05-27T16:55:45.341	WT901BLE68(F3:F0:16:BF:DC:AE)	0.228	0.942	0.204	-2.441	-14.282	8.911	73.63	-12.67	-48.40	-49.020	38.500	-35.053	0.73535	0.49625	-0.34857	-0.30228	25.9	null	null	13113	60
2026-05-27T16:55:45.461	WT901BLE68(F3:F0:16:BF:DC:AE)	0.274	0.920	0.227	9.949	18.799	8.789	74.21	-13.68	-48.32	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:45.550	WT901BLE68(F3:F0:16:BF:DC:AE)	0.254	0.977	0.205	4.272	36.804	6.531	74.22	-13.50	-44.78	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:45.673	WT901BLE68(F3:F0:16:BF:DC:AE)	0.276	0.978	0.200	0.732	0.427	14.893	74.19	-14.11	-43.86	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:45.729	WT901BLE68(F3:F0:16:BF:DC:AE)	0.259	0.946	0.188	-8.850	-2.441	5.493	74.04	-15.23	-43.85	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:45.850	WT901BLE68(F3:F0:16:BF:DC:AE)	0.310	0.958	0.220	2.075	-7.263	1.526	74.02	-15.77	-44.55	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:45.940	WT901BLE68(F3:F0:16:BF:DC:AE)	0.236	0.935	0.264	-15.381	-10.010	-8.301	73.36	-15.19	-44.80	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
2026-05-27T16:55:46.062	WT901BLE68(F3:F0:16:BF:DC:AE)	0.305	0.910	0.256	-1.038	-13.489	-18.250	73.57	-14.36	-47.54	-49.020	38.500	-35.053	0.75153	0.50504	-0.33221	-0.26398	25.9	null	null	13113	60
