time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:00:00.115	WT901BLE68(F3:F0:16:BF:DC:AE)	0.238	0.973	0.031	17.578	-66.956	-12.634	89.64	-10.85	-47.97	-44.687	34.553	-53.633	-0.60065	-0.68091	0.33310	0.25400	25.9	null	null	13113	60
2026-05-27T17:00:00.219	WT901BLE68(F3:F0:16:BF:DC:AE)	0.144	1.010	0.032	8.301	9.521	-13.733	91.46	-9.74	-49.75	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.311	WT901BLE68(F3:F0:16:BF:DC:AE)	0.152	0.959	-0.068	-2.625	-21.667	-13.550	91.57	-8.39	-51.03	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.432	WT901BLE68(F3:F0:16:BF:DC:AE)	0.081	0.974	-0.068	26.062	-9.521	-17.212	93.16	-6.89	-51.28	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.521	WT901BLE68(F3:F0:16:BF:DC:AE)	0.078	1.022	-0.026	1.404	-37.109	-14.954	94.58	-5.24	-53.99	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.643	WT901BLE68(F3:F0:16:BF:DC:AE)	0.041	0.997	-0.090	-1.526	-30.762	-13.733	94.65	-3.46	-57.43	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.704	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.028	1.010	-0.021	2.625	-8.545	-6.897	94.86	-2.19	-58.79	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.821	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.035	1.010	-0.067	1.465	-4.639	-1.038	94.84	-1.71	-58.93	-44.687	34.553	-53.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:00.907	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.019	1.002	-0.122	2.197	-13.184	-0.366	94.88	-1.48	-59.51	-64.140	27.033	-50.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:01.032	WT901BLE68(F3:F0:16:BF:DC:AE)	0.038	0.993	-0.062	1.160	-2.502	2.808	95.00	-1.34	-60.01	-64.140	27.033	-50.633	-0.66055	-0.61603	0.35712	0.23770	25.9	null	null	13113	60
2026-05-27T17:00:01.123	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.011	1.014	-0.022	3.784	-4.211	8.118	95.23	-1.82	-59.84	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.241	WT901BLE68(F3:F0:16:BF:DC:AE)	0.021	1.000	-0.090	-5.249	-2.563	13.123	95.21	-2.78	-60.01	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.331	WT901BLE68(F3:F0:16:BF:DC:AE)	0.022	0.989	-0.130	12.512	15.320	13.062	95.68	-4.02	-59.04	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.451	WT901BLE68(F3:F0:16:BF:DC:AE)	0.050	0.992	-0.055	16.052	13.000	18.982	96.96	-5.53	-57.79	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.511	WT901BLE68(F3:F0:16:BF:DC:AE)	0.131	0.973	-0.137	16.907	28.259	22.766	98.17	-7.71	-55.58	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.631	WT901BLE68(F3:F0:16:BF:DC:AE)	0.205	0.996	-0.144	5.859	26.794	26.733	98.74	-10.44	-52.86	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.724	WT901BLE68(F3:F0:16:BF:DC:AE)	0.213	0.817	-0.049	-38.574	-28.809	39.124	95.91	-13.61	-52.56	-64.140	27.033	-50.633	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.837	WT901BLE68(F3:F0:16:BF:DC:AE)	0.266	0.963	-0.187	3.784	-0.671	19.714	96.41	-16.01	-54.57	-50.420	31.300	-55.133	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:01.930	WT901BLE68(F3:F0:16:BF:DC:AE)	0.366	0.982	-0.075	-1.587	-9.338	12.024	97.13	-17.25	-55.88	-50.420	31.300	-55.133	-0.58984	-0.63486	0.37646	0.32739	25.9	null	null	13113	60
2026-05-27T17:00:02.048	WT901BLE68(F3:F0:16:BF:DC:AE)	0.397	0.871	-0.207	-0.916	26.855	4.089	96.56	-18.27	-55.07	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.112	WT901BLE68(F3:F0:16:BF:DC:AE)	0.290	0.921	-0.162	6.409	45.532	-2.197	95.76	-18.95	-50.26	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.233	WT901BLE68(F3:F0:16:BF:DC:AE)	0.292	0.955	-0.007	-7.446	6.714	-8.240	95.20	-18.62	-47.75	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.323	WT901BLE68(F3:F0:16:BF:DC:AE)	0.417	0.900	-0.071	-7.568	27.466	-4.944	93.92	-18.15	-46.53	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.440	WT901BLE68(F3:F0:16:BF:DC:AE)	0.384	0.934	-0.057	1.892	57.678	-2.197	92.45	-18.38	-41.85	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.533	WT901BLE68(F3:F0:16:BF:DC:AE)	0.384	0.906	0.023	-0.916	30.701	8.789	91.05	-19.02	-37.14	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.654	WT901BLE68(F3:F0:16:BF:DC:AE)	0.146	0.987	0.065	-6.653	13.916	-3.296	89.91	-19.31	-34.15	-50.420	31.300	-55.133	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.711	WT901BLE68(F3:F0:16:BF:DC:AE)	0.396	0.937	0.022	-10.742	-23.621	-8.606	89.86	-18.47	-38.16	-36.827	32.807	-58.333	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.864	WT901BLE68(F3:F0:16:BF:DC:AE)	0.341	0.941	-0.017	8.484	16.663	-3.784	90.39	-18.26	-39.05	-36.827	32.807	-58.333	-0.63370	-0.60419	0.43774	0.20404	25.9	null	null	13113	60
2026-05-27T17:00:02.918	WT901BLE68(F3:F0:16:BF:DC:AE)	0.366	0.945	0.022	4.272	-12.634	-5.310	91.34	-18.03	-39.68	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.042	WT901BLE68(F3:F0:16:BF:DC:AE)	0.352	0.937	-0.035	5.859	0.244	-8.240	91.92	-17.51	-40.25	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.130	WT901BLE68(F3:F0:16:BF:DC:AE)	0.286	0.982	-0.059	2.869	5.310	-12.634	92.17	-16.88	-39.79	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.251	WT901BLE68(F3:F0:16:BF:DC:AE)	0.222	0.966	-0.095	4.700	1.343	-21.851	92.29	-15.21	-38.97	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.341	WT901BLE68(F3:F0:16:BF:DC:AE)	0.252	0.983	-0.029	3.357	-20.813	-24.536	93.08	-12.91	-40.48	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.461	WT901BLE68(F3:F0:16:BF:DC:AE)	0.127	0.987	-0.003	2.686	-14.587	-24.231	93.64	-10.62	-41.79	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
2026-05-27T17:00:03.549	WT901BLE68(F3:F0:16:BF:DC:AE)	0.153	0.989	-0.092	-3.357	-16.052	-21.667	93.61	-8.37	-43.77	-36.827	32.807	-58.333	-0.69037	-0.62613	0.33987	0.12540	25.9	null	null	13113	60
