time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:47:42.580	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.909	-0.594	-0.168	78.674	29.724	36.926	-96.06	58.16	152.36	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:42.701	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.085	-0.609	0.255	24.963	20.874	-11.719	-94.91	58.74	150.12	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:42.791	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.862	-0.566	0.045	-28.381	-29.297	-20.752	-94.10	56.94	153.44	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:42.911	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.805	-0.439	-0.112	-21.912	-80.383	4.761	-89.14	56.12	164.77	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:42.969	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.829	-0.748	-0.024	78.491	-19.592	28.564	-79.81	57.97	173.43	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:43.089	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.826	-0.741	0.520	-30.457	-15.564	-16.113	-73.01	57.21	-179.28	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:43.182	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.466	-0.377	0.242	-78.735	-77.332	23.743	-73.08	56.09	-171.15	-72.747	-41.760	-52.267	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:43.297	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.563	-0.212	-0.487	108.459	-112.061	60.242	-61.35	58.82	-154.44	-82.080	-34.647	-42.900	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:43.389	WT901BLE68(F3:F0:16:BF:DC:AE)	-5.116	-1.820	2.922	36.987	32.166	-29.419	-57.30	62.88	-159.00	-82.080	-34.647	-42.900	-0.21344	-0.46185	-0.56363	0.65067	26.3	null	null	13113	75
2026-05-27T16:47:43.509	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.869	-0.580	0.609	-105.042	63.721	-14.465	-66.54	61.25	-163.67	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:43.567	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.131	-0.250	-0.222	-51.636	-98.450	5.127	-82.66	61.00	-171.28	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:43.693	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.669	-0.175	0.063	129.150	74.585	5.859	-55.30	59.28	-146.58	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:43.781	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.566	-0.616	1.041	-114.624	3.540	-35.706	-59.14	57.64	-150.36	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:43.904	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.802	-0.622	-0.520	-196.411	52.795	0.610	-90.36	58.47	-166.49	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:43.989	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.764	-0.416	-0.998	49.255	18.188	23.682	-98.21	60.25	-166.79	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:44.108	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.722	-0.576	-0.334	204.773	36.438	38.696	-82.68	62.66	-162.60	-82.080	-34.647	-42.900	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:44.172	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.015	-0.116	0.224	198.059	-62.561	21.973	-69.10	65.00	-166.43	-80.873	-28.267	-47.947	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:44.323	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.716	0.138	0.351	189.270	-24.353	46.875	-44.17	66.51	-157.24	-80.873	-28.267	-47.947	-0.37866	-0.35944	-0.50256	0.68900	26.3	null	null	13113	75
2026-05-27T16:47:44.379	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.135	0.461	1.105	120.789	-258.606	132.324	-1.13	58.38	-128.02	-80.873	-28.267	-47.947	-0.35529	-0.45697	-0.31726	0.75113	26.3	null	null	13113	75
2026-05-27T16:47:44.501	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.007	0.693	1.080	36.865	-103.149	39.307	19.63	49.42	-113.38	-80.873	-28.267	-47.947	-0.35529	-0.45697	-0.31726	0.75113	26.3	null	null	13113	75
2026-05-27T16:47:44.591	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.750	0.546	0.760	-86.182	133.545	7.813	19.38	53.21	-108.39	-80.873	-28.267	-47.947	-0.35529	-0.45697	-0.31726	0.75113	26.3	null	null	13113	75
2026-05-27T16:47:44.714	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.103	0.494	0.876	-174.011	48.828	-38.757	7.78	61.24	-106.87	-80.873	-28.267	-47.947	-0.35529	-0.45697	-0.31726	0.75113	26.3	null	null	13113	75
