time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:54:37.058	WT901BLE68(F3:F0:16:BF:DC:AE)	0.630	1.195	0.597	-74.158	-26.428	122.803	73.27	-24.44	-41.84	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.181	WT901BLE68(F3:F0:16:BF:DC:AE)	0.669	0.621	0.694	-166.565	-67.078	170.837	60.17	-42.02	-41.08	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.273	WT901BLE68(F3:F0:16:BF:DC:AE)	0.551	0.189	0.334	-189.453	-190.002	134.460	41.00	-60.19	-39.73	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.391	WT901BLE68(F3:F0:16:BF:DC:AE)	1.063	0.272	-0.054	-81.177	-89.783	70.251	34.98	-79.59	-45.80	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.448	WT901BLE68(F3:F0:16:BF:DC:AE)	0.804	0.401	-0.288	50.598	-0.916	34.729	13.85	-78.53	-22.51	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.577	WT901BLE68(F3:F0:16:BF:DC:AE)	0.890	0.031	0.295	137.024	-47.119	-9.155	32.67	-80.03	-26.49	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.659	WT901BLE68(F3:F0:16:BF:DC:AE)	1.160	-0.394	0.651	-52.124	-71.228	53.772	31.98	-84.52	-20.17	-38.813	38.887	-41.633	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.781	WT901BLE68(F3:F0:16:BF:DC:AE)	0.821	-0.028	0.022	-59.753	84.473	33.325	-28.87	-82.57	36.55	17.147	20.940	-23.933	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.871	WT901BLE68(F3:F0:16:BF:DC:AE)	0.866	0.166	-0.310	11.353	38.879	-13.306	-26.61	-80.20	33.51	17.147	20.940	-23.933	0.75653	0.52490	-0.34354	-0.18436	26.0	null	null	13113	60
2026-05-27T16:54:37.990	WT901BLE68(F3:F0:16:BF:DC:AE)	0.789	-0.241	0.314	130.188	-1.831	-31.799	3.03	-77.63	14.91	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.081	WT901BLE68(F3:F0:16:BF:DC:AE)	0.561	-0.111	0.296	-12.817	42.297	22.827	6.27	-77.05	19.06	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.202	WT901BLE68(F3:F0:16:BF:DC:AE)	0.855	0.026	0.178	-112.671	-95.703	27.832	-25.54	-81.77	45.18	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.263	WT901BLE68(F3:F0:16:BF:DC:AE)	0.777	0.125	-0.243	-6.104	32.898	-23.499	-37.13	-83.41	51.99	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.382	WT901BLE68(F3:F0:16:BF:DC:AE)	0.861	0.153	-0.102	106.506	36.987	-40.833	4.57	-82.82	18.79	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.476	WT901BLE68(F3:F0:16:BF:DC:AE)	0.983	0.254	0.171	53.528	-57.983	-42.908	60.37	-82.63	-27.33	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.595	WT901BLE68(F3:F0:16:BF:DC:AE)	1.066	0.292	0.332	-81.970	-43.213	-20.142	87.51	-80.43	-55.94	17.147	20.940	-23.933	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.682	WT901BLE68(F3:F0:16:BF:DC:AE)	1.139	0.252	0.170	-169.617	16.785	-41.687	83.96	-77.11	-65.19	10.913	26.433	-28.867	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
2026-05-27T16:54:38.803	WT901BLE68(F3:F0:16:BF:DC:AE)	0.798	0.293	-0.025	-197.876	75.623	-87.769	52.55	-68.54	-51.10	10.913	26.433	-28.867	0.76263	0.02924	-0.64099	0.08084	26.0	null	null	13113	60
