time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:58:52.961	WT901BLE68(F3:F0:16:BF:DC:AE)	0.046	0.978	0.029	57.861	25.085	-11.414	96.36	0.21	-96.21	-57.840	18.653	12.527	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.050	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.050	1.032	0.050	56.580	19.348	-2.930	101.49	0.23	-92.82	-57.840	18.653	12.527	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.176	WT901BLE68(F3:F0:16:BF:DC:AE)	0.248	1.211	0.604	3.906	57.312	14.282	104.19	-0.58	-90.25	-57.840	18.653	12.527	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.233	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.257	1.566	-0.250	-33.875	193.481	29.175	99.20	-7.26	-82.95	-57.840	18.653	12.527	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.349	WT901BLE68(F3:F0:16:BF:DC:AE)	0.038	1.248	-0.275	-122.192	-38.086	18.494	88.78	-8.76	-83.07	-61.653	25.753	-18.160	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.440	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.034	0.888	-0.300	-121.521	-82.092	-10.986	77.32	-8.68	-87.81	-61.653	25.753	-18.160	-0.49295	-0.35220	0.52548	0.59723	25.9	null	null	13113	60
2026-05-27T16:58:53.557	WT901BLE68(F3:F0:16:BF:DC:AE)	0.379	0.613	-0.152	-37.537	-44.922	-4.272	71.65	-9.59	-96.01	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:53.653	WT901BLE68(F3:F0:16:BF:DC:AE)	0.148	0.864	0.553	-19.104	-30.457	-31.128	71.27	-9.72	-100.27	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:53.773	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.024	0.892	-0.465	126.648	35.217	-23.682	71.65	-8.20	-99.79	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:53.863	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.369	1.093	-0.138	72.449	69.458	-43.945	77.57	-9.29	-108.44	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:53.982	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.014	1.030	0.073	52.979	-4.944	-21.362	83.13	-5.30	-105.14	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:54.040	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.136	1.007	0.012	54.260	6.104	-19.836	88.60	-2.39	-100.94	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:54.160	WT901BLE68(F3:F0:16:BF:DC:AE)	0.066	1.027	-0.080	56.763	0.061	-15.259	93.58	-0.98	-98.90	-61.653	25.753	-18.160	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:54.247	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.022	1.028	0.009	52.795	3.174	-8.423	99.03	-0.14	-96.01	-59.407	20.267	-11.360	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:54.372	WT901BLE68(F3:F0:16:BF:DC:AE)	0.030	0.971	0.038	31.189	35.583	0.305	102.30	-0.41	-93.30	-59.407	20.267	-11.360	-0.58713	-0.36957	0.47220	0.54370	25.9	null	null	13113	60
2026-05-27T16:58:54.461	WT901BLE68(F3:F0:16:BF:DC:AE)	0.226	1.021	0.052	12.512	65.918	15.259	103.59	-2.60	-86.86	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:54.582	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.002	1.199	-0.081	-21.851	79.285	34.363	102.39	-7.80	-78.07	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:54.638	WT901BLE68(F3:F0:16:BF:DC:AE)	0.102	1.037	-0.331	-65.918	0.671	8.423	96.21	-9.77	-75.44	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:54.764	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.072	1.061	-0.262	-115.417	-72.327	-10.803	87.71	-9.49	-76.98	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:54.853	WT901BLE68(F3:F0:16:BF:DC:AE)	0.184	0.878	-0.135	-79.163	-52.490	-5.676	79.46	-9.03	-83.93	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:54.975	WT901BLE68(F3:F0:16:BF:DC:AE)	0.216	0.791	0.048	-19.836	5.127	-9.583	76.02	-8.61	-86.14	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:55.062	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.092	0.858	0.311	-8.850	-2.136	-29.114	75.31	-6.99	-85.55	-59.407	20.267	-11.360	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:55.179	WT901BLE68(F3:F0:16:BF:DC:AE)	0.141	0.822	0.130	16.724	-25.635	-0.793	75.09	-6.94	-88.63	-53.947	20.820	-8.287	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:55.273	WT901BLE68(F3:F0:16:BF:DC:AE)	0.106	1.467	0.415	9.277	-111.938	-33.386	81.21	-5.57	-93.48	-53.947	20.820	-8.287	-0.44281	-0.54657	0.56113	0.43613	25.9	null	null	13113	60
2026-05-27T16:58:55.391	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.117	0.947	0.072	55.542	8.850	-42.847	86.25	-4.94	-96.50	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.449	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.171	0.976	-0.152	40.405	-41.321	-17.151	90.80	-2.16	-96.39	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.571	WT901BLE68(F3:F0:16:BF:DC:AE)	0.185	0.962	0.083	29.358	67.688	-23.682	93.66	-0.58	-95.29	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.661	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.101	0.964	-0.127	21.301	33.203	-8.484	95.78	0.33	-87.86	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.784	WT901BLE68(F3:F0:16:BF:DC:AE)	0.007	1.007	-0.106	32.227	30.090	-10.376	98.52	0.75	-84.25	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.871	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.061	0.979	-0.100	32.410	19.409	-2.747	101.62	0.83	-80.94	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:55.994	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.002	1.077	-0.063	25.024	34.180	-1.343	104.22	0.59	-77.56	-53.947	20.820	-8.287	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:56.089	WT901BLE68(F3:F0:16:BF:DC:AE)	0.167	1.058	0.149	-25.330	32.104	22.278	103.88	-1.43	-72.49	-57.633	20.973	-30.380	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:56.171	WT901BLE68(F3:F0:16:BF:DC:AE)	0.153	1.141	-0.050	-14.221	133.545	34.912	102.17	-6.82	-64.97	-57.633	20.973	-30.380	-0.51544	-0.41534	0.52890	0.53098	25.9	null	null	13113	60
2026-05-27T16:58:56.259	WT901BLE68(F3:F0:16:BF:DC:AE)	0.057	1.154	-0.354	-77.820	-6.836	7.202	95.39	-8.87	-59.75	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.380	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.193	1.051	-0.321	-113.037	-74.646	-19.958	86.26	-7.84	-62.28	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.473	WT901BLE68(F3:F0:16:BF:DC:AE)	0.461	0.792	-0.025	-83.130	-101.807	9.338	79.09	-8.54	-73.80	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.590	WT901BLE68(F3:F0:16:BF:DC:AE)	0.313	0.771	0.101	-5.981	93.567	-8.850	76.34	-8.96	-72.12	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.679	WT901BLE68(F3:F0:16:BF:DC:AE)	0.005	0.913	0.305	-13.123	-45.471	-4.761	74.33	-5.43	-67.86	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.803	WT901BLE68(F3:F0:16:BF:DC:AE)	0.011	0.836	-0.252	70.190	-72.754	-22.156	77.03	-7.17	-74.11	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
2026-05-27T16:58:56.858	WT901BLE68(F3:F0:16:BF:DC:AE)	0.792	1.105	0.313	58.594	24.109	8.484	82.71	-5.72	-83.04	-57.633	20.973	-30.380	-0.59341	-0.62912	0.42041	0.27420	25.9	null	null	13113	60
