time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:46:31.603	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.146	0.617	0.748	-0.366	9.338	34.485	38.90	10.98	-106.29	-61.767	-13.080	13.073	-0.41989	-0.27756	0.21249	0.83749	26.2	null	null	13113	60
2026-05-27T16:46:31.690	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.213	0.636	0.703	2.441	-0.732	20.264	39.40	9.70	-103.62	-61.513	-7.327	10.347	-0.41989	-0.27756	0.21249	0.83749	26.2	null	null	13113	60
2026-05-27T16:46:31.812	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.166	0.615	0.773	-2.808	1.404	17.090	39.66	8.83	-101.74	-61.513	-7.327	10.347	-0.41989	-0.27756	0.21249	0.83749	26.2	null	null	13113	60
2026-05-27T16:46:31.901	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.094	0.624	0.794	-6.714	10.132	11.536	39.36	8.34	-100.44	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:31.989	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.015	0.551	0.801	-18.555	18.555	15.991	38.31	8.41	-98.87	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.085	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.259	0.574	0.781	-8.362	-4.578	-5.066	37.52	7.85	-99.00	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.203	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.149	0.626	0.831	7.446	12.207	5.066	37.52	8.06	-98.88	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.289	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.243	0.642	0.817	9.155	0.183	-0.977	38.77	8.26	-98.19	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.411	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.125	0.620	0.842	5.798	10.071	4.944	39.83	8.42	-97.11	-61.513	-7.327	10.347	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.500	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.169	0.620	0.668	-6.592	19.409	8.911	40.34	8.28	-96.33	-61.560	-0.140	5.447	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.621	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.221	0.625	0.970	-15.320	0.488	30.945	39.19	7.42	-94.28	-61.560	-0.140	5.447	-0.57693	-0.26819	0.21603	0.74057	26.2	null	null	13113	60
2026-05-27T16:46:32.678	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.038	0.645	0.823	-12.634	5.859	49.133	38.25	4.10	-91.15	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:32.804	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.129	0.620	0.744	1.770	19.958	46.814	38.01	2.65	-85.95	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:32.889	WT901BLE68(F3:F0:16:BF:DC:AE)	0.010	0.631	0.813	-3.479	33.813	27.161	38.41	2.37	-82.29	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.009	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.027	0.542	0.825	-4.150	35.339	21.606	38.22	4.00	-77.84	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.102	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.112	0.619	0.860	-9.094	8.362	-3.357	37.88	4.23	-77.09	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.224	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.099	0.546	0.883	-16.785	21.301	-0.061	36.41	5.17	-76.28	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.278	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.082	0.588	0.784	-29.846	33.264	-21.912	34.35	6.74	-76.64	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.403	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.179	0.476	0.758	-22.766	17.273	-20.447	31.38	10.23	-77.09	-61.560	-0.140	5.447	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.488	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.224	0.368	0.937	25.146	-21.851	-10.193	31.61	10.67	-79.01	-62.793	7.853	-1.353	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.616	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.157	0.648	0.870	18.188	-67.688	-23.315	33.56	7.22	-83.68	-62.793	7.853	-1.353	-0.64749	-0.25516	0.21027	0.68652	26.2	null	null	13113	60
2026-05-27T16:46:33.700	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.135	0.497	1.003	-5.737	-2.258	-41.077	33.90	5.83	-88.19	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
2026-05-27T16:46:33.824	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.136	0.427	0.532	-4.211	-56.396	-73.975	31.84	6.55	-95.34	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
2026-05-27T16:46:33.943	WT901BLE68(F3:F0:16:BF:DC:AE)	0.384	0.836	0.881	-14.282	46.875	63.171	32.48	8.71	-95.00	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
2026-05-27T16:46:34.035	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.110	0.450	0.937	-24.780	1.892	13.062	32.07	11.43	-88.97	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
2026-05-27T16:46:34.089	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.299	0.574	0.762	-7.629	35.767	36.377	30.84	11.65	-86.00	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
2026-05-27T16:46:34.216	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.192	0.535	0.915	11.902	12.268	29.480	32.51	12.50	-81.56	-62.793	7.853	-1.353	-0.68982	-0.24698	0.16187	0.66092	26.2	null	null	13113	60
