time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:53:26.169	WT901BLE68(F3:F0:16:BF:DC:AE)	0.191	0.612	0.743	2.075	16.663	11.169	41.14	-11.89	-67.79	-56.660	21.287	7.100	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.291	WT901BLE68(F3:F0:16:BF:DC:AE)	0.104	0.609	0.996	-10.681	-2.747	-8.057	40.81	-11.15	-67.49	-56.660	21.287	7.100	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.380	WT901BLE68(F3:F0:16:BF:DC:AE)	0.168	0.688	0.725	3.723	-1.160	-11.353	40.51	-9.84	-67.13	-56.660	21.287	7.100	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.501	WT901BLE68(F3:F0:16:BF:DC:AE)	0.221	0.626	0.756	-11.292	9.460	2.991	39.83	-9.64	-67.93	-55.340	23.427	3.047	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.560	WT901BLE68(F3:F0:16:BF:DC:AE)	0.185	0.554	0.770	-20.020	-22.949	-8.362	38.57	-10.81	-69.59	-55.340	23.427	3.047	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.680	WT901BLE68(F3:F0:16:BF:DC:AE)	0.156	0.572	0.828	-15.137	-1.465	-2.014	36.81	-11.10	-70.61	-55.340	23.427	3.047	-0.76962	-0.23880	0.28268	0.52020	26.0	null	null	13113	60
2026-05-27T16:53:26.767	WT901BLE68(F3:F0:16:BF:DC:AE)	0.279	0.617	0.880	-12.878	-2.197	-18.494	35.83	-10.25	-71.60	-55.340	23.427	3.047	-0.78802	-0.20157	0.25336	0.52353	26.0	null	null	13113	60
2026-05-27T16:53:26.891	WT901BLE68(F3:F0:16:BF:DC:AE)	0.145	0.539	0.831	-15.137	-10.437	-17.700	34.65	-10.03	-74.32	-55.340	23.427	3.047	-0.78802	-0.20157	0.25336	0.52353	26.0	null	null	13113	60
2026-05-27T16:53:26.979	WT901BLE68(F3:F0:16:BF:DC:AE)	0.208	0.528	0.830	-12.756	-10.559	-14.343	33.79	-9.73	-76.16	-55.340	23.427	3.047	-0.78802	-0.20157	0.25336	0.52353	26.0	null	null	13113	60
2026-05-27T16:53:27.100	WT901BLE68(F3:F0:16:BF:DC:AE)	0.154	0.495	0.778	-7.263	-13.062	-9.949	33.34	-9.64	-77.84	-55.340	23.427	3.047	-0.78802	-0.20157	0.25336	0.52353	26.0	null	null	13113	60
