time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:24:22.283	WT901BLE68(F3:F0:16:BF:DC:AE)	0.059	0.913	0.006	-2.136	-92.163	2.075	86.09	-0.10	-8.63	-17.253	19.853	-72.527	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.342	WT901BLE68(F3:F0:16:BF:DC:AE)	0.319	0.970	0.034	36.194	59.082	-7.629	87.75	0.19	-12.50	-17.253	19.853	-72.527	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.462	WT901BLE68(F3:F0:16:BF:DC:AE)	0.034	0.985	0.148	6.897	-1.709	-12.390	89.02	1.71	-11.41	-17.253	19.853	-72.527	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.552	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.253	1.020	-0.089	9.338	-20.447	-16.052	89.37	3.63	-11.15	-17.253	19.853	-72.527	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.675	WT901BLE68(F3:F0:16:BF:DC:AE)	0.018	1.000	0.053	-25.146	-31.494	-14.954	87.62	5.17	-16.52	-17.253	19.853	-72.527	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.762	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.230	0.991	0.160	-35.522	2.930	-14.038	84.87	6.65	-16.06	-27.313	33.760	-62.687	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.883	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.128	0.918	0.111	-45.959	-16.907	-20.691	80.14	8.29	-18.04	-27.313	33.760	-62.687	-0.68652	-0.72440	0.05423	0.03003	25.9	null	null	13113	75
2026-05-27T16:24:22.941	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.027	0.974	0.315	-53.467	28.564	-21.790	74.45	10.26	-18.76	-27.313	33.760	-62.687	-0.76135	-0.62216	0.03955	0.17770	25.9	null	null	13113	75
2026-05-27T16:24:23.066	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.393	0.923	0.312	-48.218	22.644	-21.606	69.21	12.11	-17.12	-27.313	33.760	-62.687	-0.76135	-0.62216	0.03955	0.17770	25.9	null	null	13113	75
2026-05-27T16:24:23.154	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.339	0.893	0.424	-38.147	-5.005	-18.433	64.44	13.34	-18.92	-27.313	33.760	-62.687	-0.76135	-0.62216	0.03955	0.17770	25.9	null	null	13113	75
2026-05-27T16:24:23.272	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.368	0.858	0.511	-31.250	-17.273	-19.348	60.78	14.58	-21.01	-27.313	33.760	-62.687	-0.76135	-0.62216	0.03955	0.17770	25.9	null	null	13113	75
