time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:11:51.053	WT901BLE68(F3:F0:16:BF:DC:AE)	0.361	0.860	0.292	9.766	8.728	-9.216	72.87	-17.07	-59.17	-44.780	40.740	-19.433	-0.72809	-0.43735	0.42780	0.30902	26.0	null	null	13113	60
2026-05-27T16:11:51.110	WT901BLE68(F3:F0:16:BF:DC:AE)	0.353	0.925	0.262	1.404	-6.653	-0.183	73.22	-16.90	-58.80	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.235	WT901BLE68(F3:F0:16:BF:DC:AE)	0.428	0.902	0.271	5.371	-5.920	3.845	73.85	-17.59	-60.30	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.324	WT901BLE68(F3:F0:16:BF:DC:AE)	0.354	0.920	0.258	3.906	3.113	18.188	74.10	-18.67	-59.33	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.441	WT901BLE68(F3:F0:16:BF:DC:AE)	0.351	0.900	0.208	8.179	-4.700	24.170	74.45	-20.86	-58.93	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.531	WT901BLE68(F3:F0:16:BF:DC:AE)	0.283	0.860	0.229	7.080	-3.723	25.269	75.04	-23.25	-57.79	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.650	WT901BLE68(F3:F0:16:BF:DC:AE)	0.346	0.672	0.232	12.512	-68.176	35.767	76.76	-26.36	-60.31	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.710	WT901BLE68(F3:F0:16:BF:DC:AE)	0.561	0.691	0.286	23.254	50.049	16.846	78.38	-29.29	-59.85	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.834	WT901BLE68(F3:F0:16:BF:DC:AE)	0.793	0.715	0.263	17.700	44.006	31.982	78.12	-31.17	-55.93	-44.780	40.740	-19.433	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:51.920	WT901BLE68(F3:F0:16:BF:DC:AE)	0.569	0.893	0.186	-11.902	46.326	24.475	74.27	-33.02	-47.87	-36.067	42.940	-28.407	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:52.045	WT901BLE68(F3:F0:16:BF:DC:AE)	0.658	0.936	0.203	-34.363	-83.740	51.025	72.44	-36.75	-49.06	-36.067	42.940	-28.407	-0.73486	-0.45602	0.39194	0.31354	26.0	null	null	13113	60
2026-05-27T16:11:52.136	WT901BLE68(F3:F0:16:BF:DC:AE)	1.033	0.754	0.163	-21.179	-34.363	75.317	73.49	-44.66	-55.00	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.254	WT901BLE68(F3:F0:16:BF:DC:AE)	0.662	0.579	0.140	-16.663	8.423	55.359	70.02	-50.82	-52.51	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.342	WT901BLE68(F3:F0:16:BF:DC:AE)	0.842	0.554	0.233	-19.409	21.057	26.611	64.48	-53.09	-46.94	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.466	WT901BLE68(F3:F0:16:BF:DC:AE)	0.777	0.433	0.195	-28.625	-69.336	45.593	64.80	-57.88	-49.22	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.523	WT901BLE68(F3:F0:16:BF:DC:AE)	0.435	0.884	-0.005	-0.183	45.837	27.710	70.88	-63.51	-57.75	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.645	WT901BLE68(F3:F0:16:BF:DC:AE)	0.432	0.479	-0.140	39.856	-8.789	10.620	62.15	-63.39	-45.06	-36.067	42.940	-28.407	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.734	WT901BLE68(F3:F0:16:BF:DC:AE)	0.863	0.285	0.480	61.584	31.738	-53.040	66.07	-59.14	-40.94	-5.320	40.820	-20.533	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.858	WT901BLE68(F3:F0:16:BF:DC:AE)	1.237	0.349	0.501	-1.648	-40.039	8.789	70.59	-56.93	-42.77	-5.320	40.820	-20.533	-0.76862	-0.38312	0.48996	0.14926	26.0	null	null	13113	60
2026-05-27T16:11:52.946	WT901BLE68(F3:F0:16:BF:DC:AE)	0.994	0.304	0.161	-33.630	-63.843	57.739	74.97	-62.92	-50.69	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.064	WT901BLE68(F3:F0:16:BF:DC:AE)	0.642	0.629	-0.142	-16.113	8.057	28.503	74.28	-68.47	-52.81	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.121	WT901BLE68(F3:F0:16:BF:DC:AE)	0.551	0.504	-0.028	-31.067	-21.851	-21.057	69.83	-68.21	-49.49	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.248	WT901BLE68(F3:F0:16:BF:DC:AE)	0.973	0.186	0.312	21.667	101.990	-66.895	68.80	-61.88	-47.32	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.341	WT901BLE68(F3:F0:16:BF:DC:AE)	0.744	0.382	0.317	-0.793	75.989	-39.307	60.14	-53.83	-35.80	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.453	WT901BLE68(F3:F0:16:BF:DC:AE)	0.686	0.400	0.272	2.930	-30.457	-34.485	58.38	-50.65	-34.31	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.542	WT901BLE68(F3:F0:16:BF:DC:AE)	0.905	0.632	0.228	0.000	6.287	-6.531	61.22	-48.77	-38.00	-5.320	40.820	-20.533	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.661	WT901BLE68(F3:F0:16:BF:DC:AE)	0.809	0.663	0.239	0.061	-4.028	4.089	61.94	-50.33	-39.37	-19.873	45.207	-20.000	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.754	WT901BLE68(F3:F0:16:BF:DC:AE)	0.863	0.563	0.384	9.705	28.015	-23.560	63.00	-48.94	-40.09	-19.873	45.207	-20.000	-0.75314	-0.30524	0.58264	0.00473	26.0	null	null	13113	60
2026-05-27T16:11:53.873	WT901BLE68(F3:F0:16:BF:DC:AE)	0.836	0.479	0.343	22.766	88.562	-15.381	60.08	-44.50	-34.35	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:53.933	WT901BLE68(F3:F0:16:BF:DC:AE)	0.553	0.687	0.567	9.216	64.026	-16.174	55.65	-38.84	-25.11	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.058	WT901BLE68(F3:F0:16:BF:DC:AE)	0.301	0.587	0.451	-19.531	10.742	-10.620	50.21	-33.61	-19.25	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.143	WT901BLE68(F3:F0:16:BF:DC:AE)	0.549	0.603	0.538	26.917	122.192	-2.747	49.11	-30.44	-17.57	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.265	WT901BLE68(F3:F0:16:BF:DC:AE)	0.299	0.787	0.663	16.174	112.610	-5.615	47.46	-22.04	-7.53	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.353	WT901BLE68(F3:F0:16:BF:DC:AE)	0.326	0.717	0.688	-1.953	-14.160	5.554	47.15	-21.58	-8.34	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.480	WT901BLE68(F3:F0:16:BF:DC:AE)	0.382	0.726	0.741	12.390	-18.311	7.996	47.74	-22.08	-9.35	-19.873	45.207	-20.000	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.530	WT901BLE68(F3:F0:16:BF:DC:AE)	0.488	0.714	0.606	7.629	8.728	1.770	48.93	-23.36	-11.55	-30.767	44.140	-30.873	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
2026-05-27T16:11:54.657	WT901BLE68(F3:F0:16:BF:DC:AE)	0.305	0.711	0.666	11.414	43.457	0.061	48.86	-20.69	-9.35	-30.767	44.140	-30.873	-0.81290	-0.33774	0.47028	0.06207	26.0	null	null	13113	60
