time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:22:45.803	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.035	0.976	-0.198	0.366	-1.038	-0.366	101.93	2.13	-38.47	-39.347	23.447	-73.907	-0.59000	-0.73624	0.24567	0.22217	25.8	null	null	13113	75
2026-05-27T16:22:45.863	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.057	0.983	-0.202	0.549	-2.075	0.305	101.98	2.15	-38.58	-39.220	22.680	-72.380	-0.59000	-0.73624	0.24567	0.22217	25.8	null	null	13113	75
2026-05-27T16:22:46.011	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.039	0.978	-0.216	-0.427	-0.854	0.000	101.95	2.20	-38.72	-39.220	22.680	-72.380	-0.59000	-0.73624	0.24567	0.22217	25.8	null	null	13113	75
2026-05-27T16:22:46.102	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.035	0.976	-0.216	-0.488	1.953	-0.549	101.91	2.23	-38.64	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.194	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.046	0.979	-0.204	0.000	0.732	0.122	101.93	2.21	-38.49	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.283	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.046	0.979	-0.203	-0.488	-1.404	0.427	101.90	2.21	-38.53	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.406	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.038	0.979	-0.207	-0.671	-0.610	0.366	101.84	2.20	-38.63	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.492	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.040	0.978	-0.209	-0.122	-0.977	0.793	101.79	2.18	-38.68	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.614	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.031	0.982	-0.198	-0.610	0.305	0.000	101.77	2.16	-38.80	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.672	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.039	0.980	-0.199	-0.305	0.366	0.122	101.72	2.14	-38.70	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.790	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.039	0.981	-0.204	-0.183	0.366	0.061	101.69	2.13	-38.65	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:46.880	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.026	0.977	-0.206	-0.488	1.526	-0.610	101.64	2.15	-38.59	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.004	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.035	0.979	-0.204	0.000	0.610	-0.549	101.63	2.16	-38.50	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.096	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.044	0.982	-0.205	0.000	2.319	-0.977	101.66	2.18	-38.35	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.216	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.058	0.979	-0.203	0.305	0.916	-0.061	101.68	2.22	-38.14	-39.220	22.680	-72.380	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.270	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.044	0.982	-0.200	0.000	-1.404	0.427	101.70	2.24	-38.28	-39.293	23.313	-73.260	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.424	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.049	0.984	-0.199	-0.793	0.366	-0.183	101.65	2.25	-38.24	-39.293	23.313	-73.260	-0.58905	-0.73669	0.24591	0.22299	25.8	null	null	13113	75
2026-05-27T16:22:47.481	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.045	0.970	-0.221	-1.709	-7.202	-2.014	101.45	2.51	-38.64	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
2026-05-27T16:22:47.605	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.046	0.990	-0.176	5.371	-8.850	-0.427	101.69	2.73	-39.33	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
2026-05-27T16:22:47.696	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.044	0.972	-0.195	3.113	-0.427	0.183	102.00	2.81	-39.62	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
2026-05-27T16:22:47.815	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.048	0.977	-0.219	0.366	3.357	1.343	102.04	2.61	-39.34	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
2026-05-27T16:22:47.901	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.041	0.981	-0.200	-1.160	6.714	2.014	102.05	2.42	-39.09	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
2026-05-27T16:22:48.024	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.038	0.978	-0.202	-2.869	0.183	0.488	101.68	2.26	-38.81	-39.293	23.313	-73.260	-0.59183	-0.73587	0.24210	0.22247	25.8	null	null	13113	75
