time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:09:38.603	WT901BLE68(F3:F0:16:BF:DC:AE)	0.241	0.970	0.258	-26.917	9.033	26.550	78.87	-15.80	-96.70	-38.440	23.060	3.693	-0.61572	-0.27768	0.53754	0.50470	25.9	null	null	13113	75
2026-05-27T16:09:38.724	WT901BLE68(F3:F0:16:BF:DC:AE)	0.440	0.908	0.123	-30.212	-41.077	37.720	76.76	-20.01	-100.01	-38.440	23.060	3.693	-0.61572	-0.27768	0.53754	0.50470	25.9	null	null	13113	75
2026-05-27T16:09:38.814	WT901BLE68(F3:F0:16:BF:DC:AE)	0.372	0.916	0.154	-13.000	-26.550	37.781	75.59	-24.31	-101.30	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:38.934	WT901BLE68(F3:F0:16:BF:DC:AE)	0.373	0.904	0.170	10.681	17.090	34.058	75.76	-27.75	-100.89	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:38.993	WT901BLE68(F3:F0:16:BF:DC:AE)	0.300	0.888	0.286	20.508	25.818	19.409	75.82	-29.39	-96.70	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.144	WT901BLE68(F3:F0:16:BF:DC:AE)	0.404	0.858	0.266	12.573	9.399	-15.747	76.68	-28.66	-94.98	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.202	WT901BLE68(F3:F0:16:BF:DC:AE)	0.326	0.912	0.228	0.061	4.883	-41.748	76.50	-24.88	-92.90	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.327	WT901BLE68(F3:F0:16:BF:DC:AE)	0.438	0.930	0.202	-6.653	-34.546	-42.725	77.43	-21.09	-96.55	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.416	WT901BLE68(F3:F0:16:BF:DC:AE)	0.424	0.941	0.191	-1.038	-10.803	-24.658	77.98	-18.36	-98.76	-38.440	23.060	3.693	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.535	WT901BLE68(F3:F0:16:BF:DC:AE)	0.413	0.895	0.189	-0.488	-9.888	-3.235	78.35	-17.72	-99.57	-35.960	21.427	5.553	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.590	WT901BLE68(F3:F0:16:BF:DC:AE)	0.407	0.923	0.186	-1.099	-2.930	1.526	78.46	-18.29	-99.64	-35.960	21.427	5.553	-0.58435	-0.27048	0.56088	0.52023	25.9	null	null	13113	75
2026-05-27T16:09:39.714	WT901BLE68(F3:F0:16:BF:DC:AE)	0.402	0.928	0.173	-3.052	-10.437	6.226	78.44	-18.97	-99.85	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:39.802	WT901BLE68(F3:F0:16:BF:DC:AE)	0.397	0.934	0.179	1.282	0.122	17.151	78.53	-20.65	-99.68	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:39.924	WT901BLE68(F3:F0:16:BF:DC:AE)	0.355	0.905	0.178	1.282	-2.502	20.508	78.52	-22.53	-98.76	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:40.013	WT901BLE68(F3:F0:16:BF:DC:AE)	0.377	0.875	0.175	7.446	2.014	15.747	78.89	-24.34	-98.24	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:40.134	WT901BLE68(F3:F0:16:BF:DC:AE)	0.372	0.896	0.208	15.198	28.809	-7.202	79.39	-24.33	-95.81	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:40.225	WT901BLE68(F3:F0:16:BF:DC:AE)	0.375	0.952	0.201	1.526	11.414	-21.973	79.32	-22.14	-93.42	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
2026-05-27T16:09:40.344	WT901BLE68(F3:F0:16:BF:DC:AE)	0.409	0.950	0.174	-7.324	-6.714	-12.329	78.99	-20.45	-93.55	-35.960	21.427	5.553	-0.57098	-0.30762	0.55710	0.51852	25.9	null	null	13113	75
