time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:16:37.313	WT901BLE68(F3:F0:16:BF:DC:AE)	0.059	0.969	-0.222	0.916	-6.042	0.488	102.21	-2.72	-15.78	-17.413	23.700	-73.773	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.433	WT901BLE68(F3:F0:16:BF:DC:AE)	0.011	0.963	-0.263	-1.038	-4.761	4.150	102.29	-2.85	-16.18	-17.413	23.700	-73.773	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.523	WT901BLE68(F3:F0:16:BF:DC:AE)	0.109	0.953	-0.245	-3.845	-24.841	6.287	102.24	-3.02	-18.00	-17.413	23.700	-73.773	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.640	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.082	1.029	-0.168	-5.371	-14.404	4.272	102.10	-3.16	-20.22	-26.080	21.933	-75.660	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.702	WT901BLE68(F3:F0:16:BF:DC:AE)	0.046	0.972	-0.234	-7.813	-0.977	6.775	101.43	-3.37	-20.71	-26.080	21.933	-75.660	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.824	WT901BLE68(F3:F0:16:BF:DC:AE)	0.004	1.009	-0.193	-6.714	-17.883	12.146	100.84	-4.00	-21.93	-26.080	21.933	-75.660	-0.63025	-0.76865	0.09955	0.04428	25.8	null	null	13113	60
2026-05-27T16:16:37.910	WT901BLE68(F3:F0:16:BF:DC:AE)	0.139	0.978	-0.158	-13.123	1.770	5.249	100.06	-4.48	-23.35	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.034	WT901BLE68(F3:F0:16:BF:DC:AE)	0.108	0.981	-0.144	-11.658	18.616	2.502	98.70	-5.02	-22.40	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.123	WT901BLE68(F3:F0:16:BF:DC:AE)	0.026	1.006	-0.114	-11.230	15.076	7.507	97.35	-5.76	-20.47	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.247	WT901BLE68(F3:F0:16:BF:DC:AE)	0.083	1.009	-0.078	-21.729	-11.658	7.263	95.66	-6.41	-20.82	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.332	WT901BLE68(F3:F0:16:BF:DC:AE)	0.064	0.979	-0.061	-22.705	-13.428	9.888	93.57	-6.99	-22.10	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.458	WT901BLE68(F3:F0:16:BF:DC:AE)	0.121	1.068	0.023	-32.471	-32.166	6.714	91.22	-7.59	-24.93	-26.080	21.933	-75.660	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.510	WT901BLE68(F3:F0:16:BF:DC:AE)	0.044	0.977	0.082	-34.363	-43.335	-2.869	88.48	-7.67	-28.50	-26.520	32.667	-64.207	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.635	WT901BLE68(F3:F0:16:BF:DC:AE)	0.079	1.019	0.017	-21.851	-52.795	-6.042	86.45	-7.20	-32.56	-26.520	32.667	-64.207	-0.63071	-0.74994	0.17365	0.09769	25.8	null	null	13113	60
2026-05-27T16:16:38.721	WT901BLE68(F3:F0:16:BF:DC:AE)	0.080	0.977	0.006	-22.827	-88.013	-18.066	85.29	-6.30	-39.27	-26.520	32.667	-64.207	-0.70773	-0.63113	0.25314	0.19119	25.8	null	null	13113	60
2026-05-27T16:16:38.845	WT901BLE68(F3:F0:16:BF:DC:AE)	0.064	0.968	-0.106	-0.488	-98.572	-38.147	85.59	-3.95	-48.04	-26.520	32.667	-64.207	-0.70773	-0.63113	0.25314	0.19119	25.8	null	null	13113	60
2026-05-27T16:16:38.932	WT901BLE68(F3:F0:16:BF:DC:AE)	0.220	0.996	0.018	-0.977	-95.459	-36.438	86.61	-0.80	-57.85	-26.520	32.667	-64.207	-0.70773	-0.63113	0.25314	0.19119	25.8	null	null	13113	60
2026-05-27T16:16:39.055	WT901BLE68(F3:F0:16:BF:DC:AE)	0.278	1.060	0.176	-17.761	-50.171	-17.456	85.82	0.88	-65.29	-26.520	32.667	-64.207	-0.70773	-0.63113	0.25314	0.19119	25.8	null	null	13113	60
2026-05-27T16:16:39.111	WT901BLE68(F3:F0:16:BF:DC:AE)	0.148	0.953	0.021	1.282	11.414	-7.690	85.06	1.39	-65.46	-26.520	32.667	-64.207	-0.70773	-0.63113	0.25314	0.19119	25.8	null	null	13113	60
