time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:08:01.645	WT901BLE68(F3:F0:16:BF:DC:AE)	0.436	0.013	0.574	-108.887	-63.538	-24.658	-3.40	-42.51	38.98	9.507	16.073	7.647	-0.79517	-0.18295	0.52036	-0.25171	25.9	null	null	13113	75
2026-05-27T16:08:01.732	WT901BLE68(F3:F0:16:BF:DC:AE)	0.642	0.271	0.380	-59.998	-48.645	-11.169	-10.55	-49.93	36.32	9.507	16.073	7.647	-0.79517	-0.18295	0.52036	-0.25171	25.9	null	null	13113	75
2026-05-27T16:08:01.855	WT901BLE68(F3:F0:16:BF:DC:AE)	0.859	0.208	0.455	-48.889	29.053	10.132	-13.36	-51.05	36.83	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:01.910	WT901BLE68(F3:F0:16:BF:DC:AE)	0.562	-0.127	0.555	-101.196	6.897	-62.805	-15.90	-47.97	31.72	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.068	WT901BLE68(F3:F0:16:BF:DC:AE)	0.601	-0.333	0.437	-100.952	-27.954	-192.444	-12.57	-52.92	12.20	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.121	WT901BLE68(F3:F0:16:BF:DC:AE)	0.603	-0.088	0.410	-2.991	-0.977	-253.723	9.67	-50.37	-25.29	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.243	WT901BLE68(F3:F0:16:BF:DC:AE)	0.980	0.705	0.403	37.781	28.625	-286.438	34.10	-38.88	-59.44	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.333	WT901BLE68(F3:F0:16:BF:DC:AE)	0.993	1.108	0.488	76.294	16.602	-195.618	50.60	-21.65	-80.22	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.456	WT901BLE68(F3:F0:16:BF:DC:AE)	0.812	0.768	0.421	29.907	-18.738	-20.630	58.13	-11.98	-85.78	9.507	16.073	7.647	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.542	WT901BLE68(F3:F0:16:BF:DC:AE)	1.017	1.026	0.244	21.606	9.033	145.752	59.84	-18.28	-81.86	-50.693	26.867	4.307	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.660	WT901BLE68(F3:F0:16:BF:DC:AE)	1.014	0.940	0.255	52.856	-87.036	326.782	58.53	-44.01	-71.77	-50.693	26.867	4.307	-0.86633	-0.04669	0.43692	-0.23718	25.9	null	null	13113	75
2026-05-27T16:08:02.724	WT901BLE68(F3:F0:16:BF:DC:AE)	0.535	0.484	0.157	127.075	7.935	199.585	49.06	-67.64	-49.32	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:02.844	WT901BLE68(F3:F0:16:BF:DC:AE)	0.699	0.514	0.021	145.508	-40.283	80.322	37.48	-76.70	-21.73	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:02.933	WT901BLE68(F3:F0:16:BF:DC:AE)	0.928	0.302	0.238	149.170	45.837	25.208	39.33	-77.57	-5.91	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.055	WT901BLE68(F3:F0:16:BF:DC:AE)	0.856	0.046	0.670	-7.446	44.006	44.861	22.43	-71.92	21.18	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.144	WT901BLE68(F3:F0:16:BF:DC:AE)	0.791	0.107	0.205	-80.383	8.240	10.681	7.53	-71.21	31.85	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.266	WT901BLE68(F3:F0:16:BF:DC:AE)	0.711	0.225	-0.231	15.930	102.417	-7.568	3.67	-65.51	31.87	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.322	WT901BLE68(F3:F0:16:BF:DC:AE)	0.675	0.047	0.581	130.493	58.533	31.555	9.60	-59.14	35.96	-50.693	26.867	4.307	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.443	WT901BLE68(F3:F0:16:BF:DC:AE)	0.732	-0.094	1.163	-7.507	11.536	50.842	9.24	-56.28	44.47	18.300	17.673	-8.887	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.533	WT901BLE68(F3:F0:16:BF:DC:AE)	0.615	-0.177	0.786	-99.609	67.810	28.259	-4.11	-54.14	53.10	18.300	17.673	-8.887	-0.77551	-0.11600	0.58688	0.20145	25.9	null	null	13113	75
2026-05-27T16:08:03.656	WT901BLE68(F3:F0:16:BF:DC:AE)	0.871	0.018	0.317	-62.195	62.866	-20.325	-12.15	-50.76	52.85	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:03.743	WT901BLE68(F3:F0:16:BF:DC:AE)	0.422	0.190	0.363	10.071	69.397	9.033	-10.51	-41.96	47.72	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:03.863	WT901BLE68(F3:F0:16:BF:DC:AE)	0.577	0.001	0.808	-7.813	-32.593	8.179	-11.17	-43.06	47.19	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:03.956	WT901BLE68(F3:F0:16:BF:DC:AE)	0.782	-0.054	0.799	-20.752	-14.587	-26.184	-10.35	-43.74	44.87	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.074	WT901BLE68(F3:F0:16:BF:DC:AE)	0.678	-0.036	0.833	-105.652	11.475	-54.810	-12.32	-42.38	38.57	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.132	WT901BLE68(F3:F0:16:BF:DC:AE)	0.622	-0.207	0.523	-122.559	61.707	-99.670	-16.58	-41.89	25.26	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.258	WT901BLE68(F3:F0:16:BF:DC:AE)	0.534	-0.250	0.342	-92.773	27.832	-188.477	-14.00	-42.63	0.91	18.300	17.673	-8.887	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.343	WT901BLE68(F3:F0:16:BF:DC:AE)	0.591	-0.040	0.367	5.615	13.184	-238.464	1.64	-38.58	-32.31	-1.453	3.060	19.987	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.460	WT901BLE68(F3:F0:16:BF:DC:AE)	0.909	0.124	0.539	56.885	14.832	-190.125	22.37	-39.39	-62.07	-1.453	3.060	19.987	-0.80911	-0.15500	0.41922	-0.38138	25.9	null	null	13113	75
2026-05-27T16:08:04.554	WT901BLE68(F3:F0:16:BF:DC:AE)	1.252	0.441	0.193	81.360	25.879	-95.276	37.71	-35.99	-79.06	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:04.680	WT901BLE68(F3:F0:16:BF:DC:AE)	1.130	0.543	0.505	38.025	-15.747	23.621	44.48	-35.72	-80.06	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:04.733	WT901BLE68(F3:F0:16:BF:DC:AE)	1.056	0.560	0.321	60.059	-1.160	93.506	45.59	-41.37	-74.20	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:04.859	WT901BLE68(F3:F0:16:BF:DC:AE)	1.033	0.513	0.190	91.797	19.775	150.635	42.95	-49.80	-59.14	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:04.946	WT901BLE68(F3:F0:16:BF:DC:AE)	0.915	0.365	0.151	103.210	74.707	119.141	35.90	-56.98	-37.56	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:05.063	WT901BLE68(F3:F0:16:BF:DC:AE)	0.686	0.405	0.264	86.304	-69.092	103.577	26.87	-56.42	-15.33	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:05.156	WT901BLE68(F3:F0:16:BF:DC:AE)	1.246	0.280	0.251	130.127	47.729	52.490	32.84	-66.10	-9.16	-1.453	3.060	19.987	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:05.274	WT901BLE68(F3:F0:16:BF:DC:AE)	0.712	0.150	0.723	-42.542	-25.452	55.786	16.23	-61.02	13.56	8.513	28.287	-13.187	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
2026-05-27T16:08:05.364	WT901BLE68(F3:F0:16:BF:DC:AE)	0.821	0.139	0.002	-43.884	-92.773	36.011	5.79	-66.50	20.02	8.513	28.287	-13.187	-0.78925	-0.01508	0.39969	0.46582	25.9	null	null	13113	75
