time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:14:16.647	WT901BLE68(F3:F0:16:BF:DC:AE)	0.050	0.977	-0.214	-0.244	0.122	0.366	103.04	-3.59	-51.17	-54.113	17.567	-52.873	-0.56943	-0.69748	0.35550	0.25055	26.2	null	null	13113	60
2026-05-27T16:14:16.738	WT901BLE68(F3:F0:16:BF:DC:AE)	0.063	0.977	-0.216	0.000	-1.465	1.038	103.01	-3.64	-51.17	-54.113	17.567	-52.873	-0.56943	-0.69748	0.35550	0.25055	26.2	null	null	13113	60
2026-05-27T16:14:16.856	WT901BLE68(F3:F0:16:BF:DC:AE)	0.058	0.978	-0.225	0.061	-3.113	1.221	103.01	-3.68	-51.29	-53.747	18.167	-52.020	-0.56943	-0.69748	0.35550	0.25055	26.2	null	null	13113	60
2026-05-27T16:14:16.943	WT901BLE68(F3:F0:16:BF:DC:AE)	0.072	0.972	-0.217	0.305	-1.953	0.610	103.04	-3.68	-51.56	-53.747	18.167	-52.020	-0.56943	-0.69748	0.35550	0.25055	26.2	null	null	13113	60
2026-05-27T16:14:17.063	WT901BLE68(F3:F0:16:BF:DC:AE)	0.060	0.975	-0.221	1.038	-0.488	0.488	103.09	-3.71	-51.54	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.153	WT901BLE68(F3:F0:16:BF:DC:AE)	0.059	0.976	-0.222	1.099	1.160	0.732	103.17	-3.77	-51.38	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.272	WT901BLE68(F3:F0:16:BF:DC:AE)	0.060	0.975	-0.226	0.977	-0.610	0.732	103.26	-3.84	-51.24	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.332	WT901BLE68(F3:F0:16:BF:DC:AE)	0.061	0.978	-0.222	1.343	0.000	0.977	103.39	-3.92	-51.19	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.454	WT901BLE68(F3:F0:16:BF:DC:AE)	0.056	0.974	-0.223	2.014	1.953	2.014	103.54	-4.09	-50.94	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.543	WT901BLE68(F3:F0:16:BF:DC:AE)	0.064	0.975	-0.234	1.160	-1.526	1.648	103.69	-4.27	-50.87	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
2026-05-27T16:14:17.664	WT901BLE68(F3:F0:16:BF:DC:AE)	0.118	0.967	-0.249	1.770	3.174	1.160	103.86	-4.51	-50.55	-53.747	18.167	-52.020	-0.57083	-0.69580	0.35843	0.24783	26.2	null	null	13113	60
