time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T15:52:20.997	WT901BLE68(F3:F0:16:BF:DC:AE)	0.013	1.004	0.436	24.353	-18.555	11.047	61.16	0.49	-122.68	-68.787	19.853	12.267	-0.26526	-0.16556	0.52777	0.78967	22.5	null	null	13113	75
2026-05-27T15:52:21.083	WT901BLE68(F3:F0:16:BF:DC:AE)	0.066	0.894	0.437	14.587	-21.790	10.132	63.09	-0.90	-121.73	-65.173	17.633	13.600	-0.26526	-0.16556	0.52777	0.78967	22.5	null	null	13113	75
2026-05-27T15:52:21.178	WT901BLE68(F3:F0:16:BF:DC:AE)	0.057	0.893	0.566	0.854	-15.381	13.306	63.85	-2.94	-121.31	-65.173	17.633	13.600	-0.26526	-0.16556	0.52777	0.78967	22.5	null	null	13113	75
2026-05-27T15:52:21.298	WT901BLE68(F3:F0:16:BF:DC:AE)	0.076	0.855	0.522	-2.563	20.691	16.052	63.33	-4.09	-118.94	-65.173	17.633	13.600	-0.26526	-0.16556	0.52777	0.78967	22.5	null	null	13113	75
2026-05-27T15:52:21.385	WT901BLE68(F3:F0:16:BF:DC:AE)	0.167	0.828	0.563	3.601	40.527	29.358	62.84	-4.38	-112.91	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.508	WT901BLE68(F3:F0:16:BF:DC:AE)	0.118	0.847	0.499	-2.563	5.188	23.987	62.57	-5.81	-108.35	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.592	WT901BLE68(F3:F0:16:BF:DC:AE)	0.205	0.850	0.572	-13.062	-25.024	9.521	62.11	-8.13	-107.40	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.713	WT901BLE68(F3:F0:16:BF:DC:AE)	0.197	0.844	0.461	-21.851	-2.747	3.784	60.12	-9.30	-107.18	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.771	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.185	0.862	0.410	-19.043	-4.578	-28.137	58.20	-8.89	-106.72	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.892	WT901BLE68(F3:F0:16:BF:DC:AE)	0.121	0.705	0.638	-24.353	53.528	-42.664	56.06	-4.28	-105.48	-65.173	17.633	13.600	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:21.981	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.060	0.870	0.622	-10.925	20.264	-38.025	54.39	-0.01	-104.49	-61.453	15.780	10.180	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:22.104	WT901BLE68(F3:F0:16:BF:DC:AE)	0.023	0.820	0.457	9.399	43.152	-27.405	54.75	3.88	-103.12	-61.453	15.780	10.180	-0.46005	-0.24512	0.46231	0.71722	22.5	null	null	13113	75
2026-05-27T15:52:22.192	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.250	0.900	0.588	14.099	3.845	-19.165	56.19	6.48	-102.37	-61.453	15.780	10.180	-0.53412	-0.32803	0.33524	0.70328	22.5	null	null	13113	75
2026-05-27T15:52:22.317	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.125	0.830	0.562	13.306	-4.761	-9.338	57.80	7.20	-102.40	-61.453	15.780	10.180	-0.53412	-0.32803	0.33524	0.70328	22.5	null	null	13113	75
2026-05-27T15:52:22.403	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.267	0.852	0.627	10.681	-8.911	-5.676	58.96	7.20	-102.75	-61.453	15.780	10.180	-0.53412	-0.32803	0.33524	0.70328	22.5	null	null	13113	75
