time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:22:47.921	WT901BLE68(F3:F0:16:BF:DC:AE)	0.756	0.593	0.454	-1.221	35.522	-31.006	52.03	-48.07	42.05	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:47.979	WT901BLE68(F3:F0:16:BF:DC:AE)	0.742	0.650	0.493	6.042	46.509	-42.053	51.24	-42.67	43.01	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.098	WT901BLE68(F3:F0:16:BF:DC:AE)	0.602	0.827	0.619	-16.541	56.396	-54.688	50.82	-35.79	43.61	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.191	WT901BLE68(F3:F0:16:BF:DC:AE)	0.447	0.832	0.793	-53.406	91.614	-69.031	47.08	-26.36	44.16	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.312	WT901BLE68(F3:F0:16:BF:DC:AE)	0.305	0.702	0.700	-69.885	106.934	-66.956	40.43	-14.49	44.89	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.401	WT901BLE68(F3:F0:16:BF:DC:AE)	0.241	0.654	0.558	-66.406	87.097	-63.721	34.05	-3.60	43.34	22.893	7.100	-41.987	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.519	WT901BLE68(F3:F0:16:BF:DC:AE)	0.099	0.479	0.615	-31.433	47.546	-66.711	29.90	4.03	37.57	0.793	30.720	1.860	-0.67651	-0.51730	0.23792	-0.46692	25.9	null	null	13113	75
2026-05-27T14:22:48.611	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.128	0.366	0.777	-10.498	22.644	-51.697	27.71	8.58	30.09	0.793	30.720	1.860	-0.93500	-0.21518	-0.12891	-0.25052	25.9	null	null	13113	75
2026-05-27T14:22:48.732	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.338	0.294	0.917	-16.724	11.414	-35.034	25.82	11.41	23.74	0.793	30.720	1.860	-0.93500	-0.21518	-0.12891	-0.25052	25.9	null	null	13113	75
2026-05-27T14:22:48.791	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.465	0.219	0.982	-24.109	8.728	-28.198	22.46	13.82	18.69	0.793	30.720	1.860	-0.93500	-0.21518	-0.12891	-0.25052	25.9	null	null	13113	75
