time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:21:17.979	WT901BLE68(F3:F0:16:BF:DC:AE)	0.713	-0.625	0.582	-21.851	29.602	45.044	-50.39	-43.96	145.17	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.099	WT901BLE68(F3:F0:16:BF:DC:AE)	0.646	-0.735	0.792	24.780	45.166	59.265	-49.88	-37.86	145.93	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.159	WT901BLE68(F3:F0:16:BF:DC:AE)	0.459	-0.801	0.832	27.466	98.755	81.299	-47.05	-27.45	145.17	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.281	WT901BLE68(F3:F0:16:BF:DC:AE)	0.226	-0.644	0.852	61.218	124.146	76.660	-41.18	-13.63	143.92	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.368	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.126	-0.412	0.532	58.960	60.425	24.719	-35.62	-3.55	143.83	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.489	WT901BLE68(F3:F0:16:BF:DC:AE)	0.251	-0.410	0.628	47.119	-20.203	-36.926	-29.05	-3.60	143.79	25.080	-10.273	-28.900	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.579	WT901BLE68(F3:F0:16:BF:DC:AE)	0.553	-0.430	0.742	7.813	-14.648	-7.935	-25.52	-7.73	145.55	4.067	-29.867	16.833	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.697	WT901BLE68(F3:F0:16:BF:DC:AE)	0.400	-0.344	0.740	-27.222	31.860	38.513	-26.54	-6.96	150.19	4.067	-29.867	16.833	-0.42310	-0.24014	0.47510	-0.73315	25.9	null	null	13113	75
2026-05-27T14:21:18.760	WT901BLE68(F3:F0:16:BF:DC:AE)	0.075	-0.378	0.721	-25.146	13.245	21.667	-29.39	-4.26	155.00	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:18.880	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.058	-0.475	0.839	-13.733	-29.663	0.732	-31.78	-5.09	158.51	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:18.969	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.045	-0.524	0.981	-12.451	-30.823	-15.808	-33.29	-7.87	160.53	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.089	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.007	-0.524	0.954	0.671	-18.616	-25.146	-33.68	-10.39	160.51	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.181	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.074	-0.570	1.063	8.484	5.371	-29.419	-32.85	-11.67	158.72	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.302	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.121	-0.726	1.063	22.278	34.546	-12.817	-31.18	-10.17	155.55	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.389	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.058	-0.496	0.762	18.188	25.696	-7.202	-27.97	-6.81	153.22	4.067	-29.867	16.833	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.508	WT901BLE68(F3:F0:16:BF:DC:AE)	0.261	-0.389	0.764	10.193	4.089	-7.263	-25.39	-6.03	152.52	4.867	-27.680	15.787	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.573	WT901BLE68(F3:F0:16:BF:DC:AE)	0.495	-0.347	0.665	-10.132	8.118	11.169	-25.22	-6.56	154.59	4.867	-27.680	15.787	-0.23883	0.01355	0.24686	-0.93903	25.9	null	null	13113	75
2026-05-27T14:21:19.688	WT901BLE68(F3:F0:16:BF:DC:AE)	0.240	-0.453	0.626	-34.546	-4.089	16.052	-28.98	-6.40	158.37	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:19.787	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.095	-0.523	0.963	-18.921	-27.039	-0.244	-31.54	-8.26	162.01	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:19.902	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.197	-0.570	1.237	10.376	-9.583	0.244	-31.73	-9.73	162.82	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:19.992	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.087	-0.564	1.088	28.992	39.124	19.043	-29.18	-6.41	162.28	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.111	WT901BLE68(F3:F0:16:BF:DC:AE)	0.028	-0.395	0.813	39.917	42.480	19.043	-25.41	-0.88	162.32	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.170	WT901BLE68(F3:F0:16:BF:DC:AE)	0.065	-0.215	0.656	24.719	-10.376	-14.954	-22.86	0.43	162.45	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.294	WT901BLE68(F3:F0:16:BF:DC:AE)	0.473	-0.482	0.958	14.893	-20.325	-3.357	-22.43	-2.75	163.57	4.867	-27.680	15.787	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.379	WT901BLE68(F3:F0:16:BF:DC:AE)	0.206	-0.460	0.884	-26.672	17.456	19.470	-24.39	-2.47	166.80	1.327	-26.680	19.480	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.504	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.247	-0.450	0.918	-25.024	18.311	24.719	-27.36	-0.11	169.78	1.327	-26.680	19.480	-0.21353	-0.00406	0.23770	-0.94751	25.9	null	null	13113	75
2026-05-27T14:21:20.592	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.533	-0.327	0.997	8.484	0.549	13.611	-27.83	1.71	170.93	1.327	-26.680	19.480	-0.07584	0.03036	0.24112	-0.96701	25.9	null	null	13113	75
