time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:12:18.612	WT901BLE68(F3:F0:16:BF:DC:AE)	0.911	0.276	0.322	1.404	0.427	2.136	39.84	-65.67	64.52	30.660	-6.440	-47.140	-0.57217	-0.51413	0.27435	-0.57693	25.5	null	null	13113	75
2026-05-27T14:12:18.727	WT901BLE68(F3:F0:16:BF:DC:AE)	0.908	0.278	0.322	-1.160	-0.854	0.244	39.78	-65.69	64.46	30.660	-6.440	-47.140	-0.57217	-0.51413	0.27435	-0.57693	25.5	null	null	13113	75
2026-05-27T14:12:18.820	WT901BLE68(F3:F0:16:BF:DC:AE)	0.910	0.271	0.324	-2.625	-0.793	-0.793	39.84	-65.68	64.01	30.660	-6.440	-47.140	-0.57217	-0.51413	0.27435	-0.57693	25.5	null	null	13113	75
2026-05-27T14:12:18.942	WT901BLE68(F3:F0:16:BF:DC:AE)	0.915	0.264	0.323	-3.235	0.244	-2.502	39.92	-65.53	63.47	29.707	-5.527	-48.360	-0.57217	-0.51413	0.27435	-0.57693	25.5	null	null	13113	75
2026-05-27T14:12:19.034	WT901BLE68(F3:F0:16:BF:DC:AE)	0.940	0.289	0.337	-2.197	2.808	-7.690	40.16	-65.13	62.78	29.707	-5.527	-48.360	-0.57217	-0.51413	0.27435	-0.57693	25.5	null	null	13113	75
2026-05-27T14:12:19.178	WT901BLE68(F3:F0:16:BF:DC:AE)	0.891	0.278	0.333	0.916	6.287	-11.902	41.19	-63.98	61.39	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.207	WT901BLE68(F3:F0:16:BF:DC:AE)	0.885	0.274	0.318	0.366	3.662	-3.418	41.60	-63.16	60.88	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.330	WT901BLE68(F3:F0:16:BF:DC:AE)	0.899	0.276	0.315	-1.709	-1.038	3.174	41.18	-63.25	61.02	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.418	WT901BLE68(F3:F0:16:BF:DC:AE)	0.904	0.267	0.327	1.221	-2.014	6.348	40.53	-63.84	61.51	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.542	WT901BLE68(F3:F0:16:BF:DC:AE)	0.906	0.267	0.333	3.113	-1.648	9.216	39.69	-64.56	62.55	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.631	WT901BLE68(F3:F0:16:BF:DC:AE)	0.912	0.276	0.323	5.188	-0.732	7.813	38.83	-65.17	63.90	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.754	WT901BLE68(F3:F0:16:BF:DC:AE)	0.911	0.282	0.329	4.089	-1.282	4.639	38.49	-65.61	64.66	29.707	-5.527	-48.360	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.807	WT901BLE68(F3:F0:16:BF:DC:AE)	0.902	0.285	0.331	4.211	-0.671	1.709	38.71	-65.76	64.91	29.780	-6.533	-47.620	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:19.930	WT901BLE68(F3:F0:16:BF:DC:AE)	0.922	0.280	0.338	1.831	0.000	-0.488	39.05	-65.76	64.75	29.780	-6.533	-47.620	-0.58212	-0.51007	0.27890	-0.56839	25.5	null	null	13113	75
2026-05-27T14:12:20.019	WT901BLE68(F3:F0:16:BF:DC:AE)	0.908	0.274	0.324	0.244	0.977	-1.587	39.40	-65.53	64.46	29.780	-6.533	-47.620	-0.57141	-0.51132	0.28116	-0.57697	25.5	null	null	13113	75
2026-05-27T14:12:20.140	WT901BLE68(F3:F0:16:BF:DC:AE)	0.904	0.279	0.313	-2.441	-0.061	-2.625	39.64	-65.32	64.04	29.780	-6.533	-47.620	-0.57141	-0.51132	0.28116	-0.57697	25.5	null	null	13113	75
2026-05-27T14:12:20.234	WT901BLE68(F3:F0:16:BF:DC:AE)	0.903	0.279	0.316	-9.949	-4.883	-2.869	39.94	-65.31	62.98	29.780	-6.533	-47.620	-0.57141	-0.51132	0.28116	-0.57697	25.5	null	null	13113	75
