time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:18:20.863	WT901BLE68(F3:F0:16:BF:DC:AE)	0.911	-0.382	0.113	0.366	-1.343	-5.188	-73.90	-67.85	135.62	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:20.954	WT901BLE68(F3:F0:16:BF:DC:AE)	0.910	-0.392	0.118	20.203	-3.479	-5.493	-72.97	-68.37	135.86	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:21.075	WT901BLE68(F3:F0:16:BF:DC:AE)	0.901	-0.514	0.094	114.380	-3.479	-4.822	-68.49	-68.73	136.54	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:21.129	WT901BLE68(F3:F0:16:BF:DC:AE)	0.910	-0.442	0.181	80.811	-15.503	13.794	-64.03	-68.25	140.81	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:21.252	WT901BLE68(F3:F0:16:BF:DC:AE)	0.941	-0.375	0.218	33.264	-3.174	28.625	-63.42	-66.29	145.37	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:21.341	WT901BLE68(F3:F0:16:BF:DC:AE)	0.957	-0.330	0.209	-4.028	12.268	33.264	-64.09	-63.15	146.68	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.7	null	null	13113	75
2026-05-27T14:18:21.457	WT901BLE68(F3:F0:16:BF:DC:AE)	0.896	-0.309	0.176	-2.808	8.118	21.790	-64.70	-60.44	146.65	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.6	null	null	13113	75
2026-05-27T14:18:21.554	WT901BLE68(F3:F0:16:BF:DC:AE)	0.865	-0.292	0.172	7.324	-3.357	-8.484	-64.17	-60.49	146.60	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.6	null	null	13113	75
2026-05-27T14:18:21.671	WT901BLE68(F3:F0:16:BF:DC:AE)	0.903	-0.339	0.171	-0.488	-6.775	-29.602	-62.82	-63.18	145.37	22.640	6.100	-23.860	-0.55875	-0.23141	0.62512	-0.49332	25.6	null	null	13113	75
2026-05-27T14:18:21.727	WT901BLE68(F3:F0:16:BF:DC:AE)	0.945	-0.379	0.180	-7.507	-7.263	-27.832	-61.67	-66.32	143.39	26.253	-0.613	-31.100	-0.55875	-0.23141	0.62512	-0.49332	25.6	null	null	13113	75
2026-05-27T14:18:21.854	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	-0.381	0.193	-7.324	-5.676	-14.832	-61.80	-68.31	142.17	26.253	-0.613	-31.100	-0.55875	-0.23141	0.62512	-0.49332	25.6	null	null	13113	75
2026-05-27T14:18:21.938	WT901BLE68(F3:F0:16:BF:DC:AE)	0.931	-0.356	0.203	-19.165	2.563	-7.507	-62.20	-69.11	140.83	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.064	WT901BLE68(F3:F0:16:BF:DC:AE)	0.920	-0.367	0.171	-29.541	6.470	-2.991	-62.95	-69.02	138.36	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.152	WT901BLE68(F3:F0:16:BF:DC:AE)	0.919	-0.366	0.174	-8.057	-1.526	-2.930	-64.08	-68.92	137.37	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.275	WT901BLE68(F3:F0:16:BF:DC:AE)	0.917	-0.344	0.185	0.977	-1.343	1.770	-64.86	-68.87	137.71	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.360	WT901BLE68(F3:F0:16:BF:DC:AE)	0.936	-0.357	0.169	-4.333	1.465	0.793	-64.82	-68.72	137.50	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.480	WT901BLE68(F3:F0:16:BF:DC:AE)	0.920	-0.362	0.175	7.141	-0.366	4.150	-64.76	-68.46	137.47	26.253	-0.613	-31.100	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.539	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	-0.349	0.170	6.714	1.953	6.470	-64.40	-67.81	137.71	23.067	5.013	-30.333	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.661	WT901BLE68(F3:F0:16:BF:DC:AE)	0.917	-0.355	0.161	13.855	-1.038	5.798	-63.95	-67.14	138.01	23.067	5.013	-30.333	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.752	WT901BLE68(F3:F0:16:BF:DC:AE)	0.921	-0.354	0.175	17.822	-3.967	5.005	-63.47	-66.80	139.18	23.067	5.013	-30.333	-0.50583	-0.31836	0.55969	-0.57394	25.6	null	null	13113	75
2026-05-27T14:18:22.873	WT901BLE68(F3:F0:16:BF:DC:AE)	0.925	-0.347	0.186	14.709	-2.930	6.165	-63.20	-66.48	140.45	23.067	5.013	-30.333	-0.51694	-0.28720	0.57358	-0.56671	25.6	null	null	13113	75
2026-05-27T14:18:22.959	WT901BLE68(F3:F0:16:BF:DC:AE)	0.922	-0.331	0.192	9.888	-0.488	4.333	-62.84	-66.10	141.21	23.067	5.013	-30.333	-0.51694	-0.28720	0.57358	-0.56671	25.6	null	null	13113	75
2026-05-27T14:18:23.083	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	-0.322	0.184	2.625	3.479	3.052	-62.19	-65.81	141.02	23.067	5.013	-30.333	-0.51694	-0.28720	0.57358	-0.56671	25.6	null	null	13113	75
