time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:28:58.181	WT901BLE68(F3:F0:16:BF:DC:AE)	0.923	-0.076	-0.331	23.376	-2.930	-12.878	-163.63	-70.05	-120.80	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.305	WT901BLE68(F3:F0:16:BF:DC:AE)	0.920	-0.067	-0.403	-3.479	2.625	-5.676	-164.70	-69.88	-119.11	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.361	WT901BLE68(F3:F0:16:BF:DC:AE)	0.953	-0.022	-0.325	-8.057	0.977	-2.625	-166.29	-70.19	-117.99	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.485	WT901BLE68(F3:F0:16:BF:DC:AE)	0.936	-0.063	-0.358	-11.414	1.526	-0.183	-167.50	-70.44	-117.98	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.572	WT901BLE68(F3:F0:16:BF:DC:AE)	0.948	-0.083	-0.314	-12.756	3.906	1.648	-168.54	-70.55	-118.19	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.692	WT901BLE68(F3:F0:16:BF:DC:AE)	0.938	-0.067	-0.318	-3.906	2.563	-0.732	-168.90	-70.86	-118.72	2.873	19.253	-53.933	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.782	WT901BLE68(F3:F0:16:BF:DC:AE)	0.937	-0.049	-0.315	-2.686	2.136	-2.319	-169.45	-71.13	-118.51	0.220	18.253	-57.927	-0.45782	-0.45316	0.66333	-0.38071	25.6	null	null	13113	75
2026-05-27T14:28:58.900	WT901BLE68(F3:F0:16:BF:DC:AE)	0.945	-0.054	-0.313	-0.122	0.916	-2.502	-170.13	-71.30	-117.98	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:58.992	WT901BLE68(F3:F0:16:BF:DC:AE)	0.942	-0.045	-0.314	4.028	0.244	-3.479	-170.84	-71.42	-117.23	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.114	WT901BLE68(F3:F0:16:BF:DC:AE)	0.938	-0.022	-0.331	5.554	-0.671	-3.174	-171.35	-71.39	-116.19	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.171	WT901BLE68(F3:F0:16:BF:DC:AE)	0.956	-0.059	-0.314	0.122	2.014	-0.854	-171.89	-71.46	-115.55	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.292	WT901BLE68(F3:F0:16:BF:DC:AE)	0.951	-0.044	-0.301	-3.662	2.625	-1.648	-172.25	-71.69	-115.41	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.383	WT901BLE68(F3:F0:16:BF:DC:AE)	0.946	-0.038	-0.313	-3.357	3.784	-2.380	-172.93	-72.06	-115.29	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.502	WT901BLE68(F3:F0:16:BF:DC:AE)	0.956	-0.026	-0.302	0.061	4.211	-3.052	-173.77	-72.49	-114.66	0.220	18.253	-57.927	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.592	WT901BLE68(F3:F0:16:BF:DC:AE)	0.975	-0.040	-0.238	-2.502	9.399	0.000	-174.48	-73.10	-114.22	0.033	19.853	-55.727	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.714	WT901BLE68(F3:F0:16:BF:DC:AE)	0.956	-0.021	-0.262	-6.897	9.583	0.671	-174.38	-74.04	-114.93	0.033	19.853	-55.727	-0.46100	-0.45981	0.66840	-0.35941	25.6	null	null	13113	75
2026-05-27T14:28:59.771	WT901BLE68(F3:F0:16:BF:DC:AE)	0.965	-0.016	-0.265	-2.563	9.277	0.366	-174.43	-74.97	-115.57	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:28:59.895	WT901BLE68(F3:F0:16:BF:DC:AE)	0.959	0.019	-0.261	-9.155	7.996	3.296	-173.94	-75.84	-116.53	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:28:59.982	WT901BLE68(F3:F0:16:BF:DC:AE)	0.963	0.007	-0.266	-13.062	3.784	3.784	-173.54	-76.43	-118.14	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.105	WT901BLE68(F3:F0:16:BF:DC:AE)	0.963	-0.001	-0.278	-13.123	-3.113	1.404	-174.39	-76.27	-118.75	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.191	WT901BLE68(F3:F0:16:BF:DC:AE)	0.968	-0.012	-0.246	-6.226	-6.409	-0.793	-175.77	-75.62	-118.20	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.312	WT901BLE68(F3:F0:16:BF:DC:AE)	0.970	-0.015	-0.248	-3.601	-5.676	-1.892	-176.82	-75.04	-117.47	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.402	WT901BLE68(F3:F0:16:BF:DC:AE)	0.969	-0.025	-0.255	2.075	-3.479	-1.038	-177.50	-74.63	-116.91	0.033	19.853	-55.727	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.491	WT901BLE68(F3:F0:16:BF:DC:AE)	0.964	-0.015	-0.253	2.441	-1.404	-0.244	-177.56	-74.40	-116.57	2.473	22.120	-52.553	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.582	WT901BLE68(F3:F0:16:BF:DC:AE)	0.963	-0.024	-0.255	0.854	1.831	1.648	-177.10	-74.47	-116.85	2.473	22.120	-52.553	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.702	WT901BLE68(F3:F0:16:BF:DC:AE)	0.955	-0.039	-0.272	3.906	1.343	0.793	-176.14	-74.66	-117.55	2.473	22.120	-52.553	-0.49268	-0.44824	0.65512	-0.35641	25.6	null	null	13113	75
2026-05-27T14:29:00.793	WT901BLE68(F3:F0:16:BF:DC:AE)	0.965	-0.012	-0.254	5.920	5.493	3.174	-174.67	-74.87	-118.49	2.473	22.120	-52.553	-0.50388	-0.42972	0.66837	-0.33856	25.6	null	null	13113	75
2026-05-27T14:29:00.911	WT901BLE68(F3:F0:16:BF:DC:AE)	0.957	-0.017	-0.263	4.089	5.432	1.404	-173.20	-75.31	-119.63	2.473	22.120	-52.553	-0.50388	-0.42972	0.66837	-0.33856	25.6	null	null	13113	75
