time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:09:30.584	WT901BLE68(F3:F0:16:BF:DC:AE)	0.908	0.352	0.381	1.099	0.793	-5.737	39.77	-61.91	59.49	32.073	-5.913	-48.193	-0.58725	-0.49130	0.29694	-0.57050	25.4	null	null	13113	75
2026-05-27T14:09:30.638	WT901BLE68(F3:F0:16:BF:DC:AE)	0.936	0.476	0.555	10.498	20.630	-38.208	42.05	-59.77	57.41	31.513	-1.727	-47.727	-0.58725	-0.49130	0.29694	-0.57050	25.4	null	null	13113	75
2026-05-27T14:09:30.762	WT901BLE68(F3:F0:16:BF:DC:AE)	0.971	0.849	0.857	16.541	88.013	-104.187	45.05	-50.55	55.09	31.513	-1.727	-47.727	-0.58725	-0.49130	0.29694	-0.57050	25.4	null	null	13113	75
2026-05-27T14:09:30.850	WT901BLE68(F3:F0:16:BF:DC:AE)	0.707	0.859	0.770	-13.184	127.380	-164.734	45.20	-32.50	52.06	31.513	-1.727	-47.727	-0.58725	-0.49130	0.29694	-0.57050	25.4	null	null	13113	75
2026-05-27T14:09:30.969	WT901BLE68(F3:F0:16:BF:DC:AE)	0.521	0.734	0.646	-81.055	129.150	-173.035	39.12	-12.44	46.74	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.056	WT901BLE68(F3:F0:16:BF:DC:AE)	0.193	0.475	0.667	-106.628	123.901	-168.091	28.25	5.71	36.49	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.180	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.194	0.088	0.755	-119.446	117.554	-118.408	13.91	19.93	23.18	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.236	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.529	-0.089	0.785	-98.022	104.309	-71.655	-1.07	30.59	10.32	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.359	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.677	-0.342	0.593	-109.253	75.256	-45.288	-16.99	37.77	-2.33	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.447	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.753	-0.378	0.388	-83.923	35.217	-13.184	-29.63	41.70	-11.56	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.569	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.716	-0.483	0.206	-52.795	-10.559	17.456	-36.57	43.29	-14.58	31.513	-1.727	-47.727	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.658	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.473	-0.360	0.295	-15.564	-41.138	53.101	-35.38	43.82	-9.85	-65.453	-11.160	28.253	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.779	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.135	-0.068	0.284	22.217	-64.880	57.739	-27.86	42.48	-1.54	-65.453	-11.160	28.253	-0.77209	-0.42758	0.03870	-0.46841	25.4	null	null	13113	75
2026-05-27T14:09:31.838	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.304	0.045	0.702	47.119	-44.373	-10.559	-21.76	38.24	-1.15	-65.453	-11.160	28.253	-0.91620	0.19907	-0.33957	-0.07455	25.4	null	null	13113	75
2026-05-27T14:09:31.991	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.524	-0.121	0.804	72.266	-47.913	-33.691	-15.78	32.66	-7.47	-65.453	-11.160	28.253	-0.91620	0.19907	-0.33957	-0.07455	25.4	null	null	13113	75
