time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:26:45.583	WT901BLE68(F3:F0:16:BF:DC:AE)	0.929	-0.136	-0.336	-3.967	1.099	1.038	-155.60	-69.49	-128.11	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:45.641	WT901BLE68(F3:F0:16:BF:DC:AE)	0.934	-0.141	-0.317	-3.174	0.977	0.916	-155.67	-69.51	-128.42	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:45.762	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	-0.114	-0.354	-8.423	2.380	2.502	-155.69	-69.55	-128.91	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:45.852	WT901BLE68(F3:F0:16:BF:DC:AE)	0.932	-0.168	-0.317	-6.592	3.967	2.563	-155.55	-69.70	-130.01	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:45.974	WT901BLE68(F3:F0:16:BF:DC:AE)	0.945	-0.188	-0.266	4.211	2.075	-2.930	-155.20	-69.92	-130.67	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:46.059	WT901BLE68(F3:F0:16:BF:DC:AE)	0.935	-0.145	-0.290	10.498	-1.099	-6.348	-155.39	-70.19	-129.63	1.700	13.720	-60.160	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:46.179	WT901BLE68(F3:F0:16:BF:DC:AE)	0.947	-0.149	-0.312	4.700	-0.244	-3.662	-155.91	-70.27	-128.26	2.187	13.620	-59.493	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:46.242	WT901BLE68(F3:F0:16:BF:DC:AE)	0.925	-0.167	-0.338	-4.272	2.136	-1.953	-156.28	-70.42	-128.05	2.187	13.620	-59.493	-0.42429	-0.46036	0.66849	-0.40131	25.7	null	null	13113	75
2026-05-27T14:26:46.390	WT901BLE68(F3:F0:16:BF:DC:AE)	0.932	-0.167	-0.323	-0.305	0.671	-9.094	-157.59	-70.75	-127.08	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.451	WT901BLE68(F3:F0:16:BF:DC:AE)	0.933	-0.045	-0.309	1.648	4.578	-10.864	-159.61	-71.21	-124.65	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.575	WT901BLE68(F3:F0:16:BF:DC:AE)	0.962	-0.121	-0.266	-12.756	6.836	-7.568	-161.66	-71.94	-123.22	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.661	WT901BLE68(F3:F0:16:BF:DC:AE)	0.950	-0.061	-0.286	-25.696	6.714	-4.639	-164.97	-72.80	-121.89	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.783	WT901BLE68(F3:F0:16:BF:DC:AE)	0.971	-0.077	-0.241	-25.085	16.663	-1.099	-167.08	-74.04	-122.10	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.875	WT901BLE68(F3:F0:16:BF:DC:AE)	1.010	-0.161	-0.087	-12.024	42.297	9.949	-165.18	-76.55	-126.49	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:46.991	WT901BLE68(F3:F0:16:BF:DC:AE)	0.989	-0.052	-0.143	-15.076	57.678	8.301	-151.07	-81.10	-142.10	2.187	13.620	-59.493	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:47.050	WT901BLE68(F3:F0:16:BF:DC:AE)	1.114	0.011	0.055	7.080	71.228	13.245	-98.75	-84.53	165.23	9.760	20.347	-46.987	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:47.169	WT901BLE68(F3:F0:16:BF:DC:AE)	1.022	-0.015	0.132	-36.011	42.175	6.653	-55.79	-82.71	120.70	9.760	20.347	-46.987	-0.43555	-0.45624	0.66678	-0.39676	25.7	null	null	13113	75
2026-05-27T14:26:47.259	WT901BLE68(F3:F0:16:BF:DC:AE)	0.868	-0.168	-0.034	-16.907	21.484	12.512	-47.61	-79.80	110.09	9.760	20.347	-46.987	-0.60480	-0.32275	0.59186	-0.42380	25.7	null	null	13113	75
