time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:16:35.200	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.369	-0.435	0.559	4.028	58.289	51.514	-34.15	26.13	158.31	26.633	-10.853	-25.527	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.327	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.590	-0.347	0.652	0.916	38.330	23.132	-32.56	31.20	161.03	26.633	-10.853	-25.527	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.409	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.952	-0.415	0.718	36.682	41.687	42.725	-30.53	36.06	162.97	26.633	-10.853	-25.527	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.533	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.956	-0.147	0.545	63.538	60.425	65.369	-21.86	43.89	167.38	26.633	-10.853	-25.527	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.589	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.004	0.062	0.298	71.411	24.353	34.241	-11.66	50.22	172.31	-49.040	-35.107	25.480	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.709	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.771	0.064	0.418	53.894	-38.330	-11.963	-4.00	49.50	173.27	-49.040	-35.107	25.480	-0.35043	-0.03824	0.45670	-0.81674	25.6	null	null	13113	75
2026-05-27T14:16:35.799	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.374	-0.043	0.647	54.382	-61.279	-33.936	-0.78	44.32	170.30	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:35.921	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.192	-0.106	0.815	-8.179	-5.310	0.916	0.10	40.66	171.74	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.013	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.494	-0.095	0.724	-49.866	22.461	8.850	-3.48	41.50	177.00	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.133	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.615	-0.123	0.542	-50.903	11.902	-9.644	-8.94	43.13	179.20	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.220	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.816	-0.368	0.474	-65.002	-19.104	-48.706	-17.08	42.36	177.28	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.342	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.763	-0.442	0.813	-78.552	-99.915	-66.223	-27.32	34.77	172.84	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.401	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.788	-0.646	1.234	-44.434	-78.552	-27.710	-34.18	24.68	172.18	-49.040	-35.107	25.480	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.522	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.663	-0.474	1.161	38.635	14.221	38.330	-31.80	22.31	175.47	-22.753	-45.760	22.660	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.612	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.666	-0.329	0.797	69.458	96.741	56.580	-25.27	29.83	176.99	-22.753	-45.760	22.660	-0.06104	0.39554	-0.01511	-0.91623	25.6	null	null	13113	75
2026-05-27T14:16:36.727	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.870	0.030	0.326	99.548	88.501	23.743	-16.38	41.34	178.45	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:36.819	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.562	-0.058	0.414	40.283	-4.517	-41.870	-11.17	46.08	175.91	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:36.940	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.219	-0.340	0.517	8.606	-58.472	-58.899	-12.59	42.19	169.94	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:37.002	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.231	-0.693	0.510	-37.537	-73.547	-30.334	-17.46	34.40	168.87	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:37.122	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.300	-0.421	0.733	-66.345	-114.380	-16.174	-22.24	23.89	175.04	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:37.209	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.208	-0.729	1.120	-100.220	-104.065	-19.165	-29.99	12.83	-179.88	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
2026-05-27T14:16:37.332	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.150	-0.596	1.395	-31.982	-53.650	9.216	-35.57	5.61	-175.17	-22.753	-45.760	22.660	0.04001	0.31000	0.16519	-0.93536	25.6	null	null	13113	75
