time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:24:42.918	WT901BLE68(F3:F0:16:BF:DC:AE)	0.995	-0.029	0.023	0.671	-0.977	-0.488	-49.52	-88.26	-38.07	7.213	0.473	13.073	-0.52386	0.49295	0.49030	0.49200	26.1	null	null	13113	75
2026-05-27T14:24:43.001	WT901BLE68(F3:F0:16:BF:DC:AE)	1.007	-0.033	0.024	1.038	-1.404	-0.671	-50.21	-88.35	-37.17	7.213	0.473	13.073	-0.52386	0.49295	0.49030	0.49200	26.1	null	null	13113	75
2026-05-27T14:24:43.119	WT901BLE68(F3:F0:16:BF:DC:AE)	1.035	-0.109	0.121	9.155	-1.099	-0.366	-49.03	-88.50	-37.92	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.208	WT901BLE68(F3:F0:16:BF:DC:AE)	1.081	-0.117	0.173	32.471	27.527	6.226	-35.41	-87.18	-48.94	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.332	WT901BLE68(F3:F0:16:BF:DC:AE)	1.008	-0.001	0.085	27.222	29.053	12.024	-22.40	-83.53	-57.41	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.389	WT901BLE68(F3:F0:16:BF:DC:AE)	0.944	-0.033	0.056	2.075	24.475	19.165	-25.34	-80.61	-52.34	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.511	WT901BLE68(F3:F0:16:BF:DC:AE)	0.909	-0.052	0.035	13.672	6.653	10.986	-28.38	-78.98	-48.01	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.601	WT901BLE68(F3:F0:16:BF:DC:AE)	0.975	-0.104	0.164	41.992	-3.052	3.418	-29.70	-79.01	-44.38	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.723	WT901BLE68(F3:F0:16:BF:DC:AE)	0.959	-0.173	0.319	18.311	-9.827	13.000	-30.48	-79.40	-40.22	7.213	0.473	13.073	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.808	WT901BLE68(F3:F0:16:BF:DC:AE)	0.896	-0.081	0.348	-19.653	0.366	20.447	-36.88	-78.61	-32.53	4.407	6.873	12.440	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.931	WT901BLE68(F3:F0:16:BF:DC:AE)	0.824	-0.349	0.039	-13.916	-46.448	35.400	-52.23	-76.20	-19.17	4.407	6.873	12.440	-0.52139	0.48923	0.50171	0.48682	26.1	null	null	13113	75
2026-05-27T14:24:43.988	WT901BLE68(F3:F0:16:BF:DC:AE)	1.049	-0.088	0.277	93.323	-39.673	-5.371	-62.31	-76.64	-1.80	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.111	WT901BLE68(F3:F0:16:BF:DC:AE)	0.931	0.074	-0.207	-15.015	-26.917	21.851	-76.49	-78.13	17.40	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.201	WT901BLE68(F3:F0:16:BF:DC:AE)	0.960	-0.305	-0.288	14.160	-62.500	-19.104	-104.14	-77.68	45.15	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.322	WT901BLE68(F3:F0:16:BF:DC:AE)	0.981	-0.091	-0.261	-31.677	-63.477	-15.686	-133.42	-76.15	78.64	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.408	WT901BLE68(F3:F0:16:BF:DC:AE)	0.921	-0.181	-0.273	-22.217	-62.012	-31.860	-157.36	-71.35	104.23	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.532	WT901BLE68(F3:F0:16:BF:DC:AE)	0.996	-0.005	-0.247	-36.926	-8.972	12.634	-162.03	-70.00	113.13	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.620	WT901BLE68(F3:F0:16:BF:DC:AE)	0.935	-0.204	-0.490	-35.706	-9.827	-2.625	-167.29	-67.96	117.02	4.407	6.873	12.440	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.740	WT901BLE68(F3:F0:16:BF:DC:AE)	0.949	-0.020	-0.314	5.005	-8.667	-9.827	-169.39	-66.98	123.70	16.280	5.900	-11.593	-0.65338	0.43710	0.50214	0.36023	26.1	null	null	13113	75
2026-05-27T14:24:44.798	WT901BLE68(F3:F0:16:BF:DC:AE)	0.912	-0.136	-0.387	-34.912	-17.517	-9.949	-173.77	-65.64	129.86	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:44.921	WT901BLE68(F3:F0:16:BF:DC:AE)	0.931	-0.138	-0.328	-16.968	-14.709	-17.029	-177.70	-64.30	136.87	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.009	WT901BLE68(F3:F0:16:BF:DC:AE)	1.090	-0.081	-0.340	29.846	-2.014	-32.166	177.47	-63.04	146.35	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.130	WT901BLE68(F3:F0:16:BF:DC:AE)	0.942	-0.034	0.036	33.813	51.514	-5.005	179.54	-66.21	152.97	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.221	WT901BLE68(F3:F0:16:BF:DC:AE)	1.125	-0.022	-0.229	-35.034	123.657	29.419	-177.12	-76.64	151.78	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.340	WT901BLE68(F3:F0:16:BF:DC:AE)	1.066	-0.120	-0.337	9.460	108.704	62.805	-113.44	-84.25	87.09	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.400	WT901BLE68(F3:F0:16:BF:DC:AE)	0.971	-0.035	-0.257	58.594	63.782	37.781	-59.90	-79.12	37.74	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.520	WT901BLE68(F3:F0:16:BF:DC:AE)	0.814	0.084	-0.161	36.621	24.170	31.921	-52.73	-75.23	34.39	16.280	5.900	-11.593	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.608	WT901BLE68(F3:F0:16:BF:DC:AE)	0.781	-0.050	0.009	-19.348	-26.367	10.620	-59.65	-74.81	40.70	3.127	4.167	2.613	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.729	WT901BLE68(F3:F0:16:BF:DC:AE)	1.001	-0.524	0.491	33.875	-20.142	21.240	-74.44	-74.96	55.06	3.127	4.167	2.613	-0.51102	0.33060	0.77081	0.18781	26.1	null	null	13113	75
2026-05-27T14:24:45.819	WT901BLE68(F3:F0:16:BF:DC:AE)	0.832	-0.113	-0.095	39.001	-61.035	-14.465	-76.33	-75.96	64.79	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
2026-05-27T14:24:45.941	WT901BLE68(F3:F0:16:BF:DC:AE)	1.137	-0.060	0.079	23.987	-40.588	-16.663	-86.17	-78.22	83.18	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
2026-05-27T14:24:46.030	WT901BLE68(F3:F0:16:BF:DC:AE)	0.857	0.033	-0.083	-0.732	-55.420	-7.019	-112.40	-78.01	114.97	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
2026-05-27T14:24:46.152	WT901BLE68(F3:F0:16:BF:DC:AE)	0.994	-0.301	-0.224	15.381	-46.631	-7.019	-130.94	-76.01	136.60	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
2026-05-27T14:24:46.210	WT901BLE68(F3:F0:16:BF:DC:AE)	0.944	-0.153	-0.228	-14.404	-27.100	-3.723	-141.19	-74.08	150.90	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
2026-05-27T14:24:46.330	WT901BLE68(F3:F0:16:BF:DC:AE)	0.922	-0.183	-0.281	-23.376	-25.879	0.854	-148.41	-71.94	158.60	3.127	4.167	2.613	-0.73196	0.18314	0.65601	0.01596	26.1	null	null	13113	75
