time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:15:14.590	WT901BLE68(F3:F0:16:BF:DC:AE)	0.836	-0.232	0.511	0.183	-0.793	0.061	-24.63	-56.43	-16.77	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:14.651	WT901BLE68(F3:F0:16:BF:DC:AE)	0.834	-0.230	0.500	0.061	-0.671	-0.061	-24.64	-56.49	-16.74	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:14.769	WT901BLE68(F3:F0:16:BF:DC:AE)	0.835	-0.236	0.506	-1.648	0.061	0.000	-24.69	-56.51	-16.70	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:14.832	WT901BLE68(F3:F0:16:BF:DC:AE)	0.824	-0.211	0.518	-6.348	1.770	-0.122	-25.03	-56.40	-16.90	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:14.950	WT901BLE68(F3:F0:16:BF:DC:AE)	0.800	-0.209	0.565	-5.005	4.028	-3.235	-25.27	-56.18	-17.65	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:15.039	WT901BLE68(F3:F0:16:BF:DC:AE)	0.809	-0.233	0.529	-0.549	1.465	-2.380	-24.69	-56.04	-18.75	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.4	null	null	13113	75
2026-05-27T14:15:15.157	WT901BLE68(F3:F0:16:BF:DC:AE)	0.806	-0.257	0.457	-1.404	-3.235	2.808	-24.73	-56.13	-18.97	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.5	null	null	13113	75
2026-05-27T14:15:15.250	WT901BLE68(F3:F0:16:BF:DC:AE)	0.846	-0.172	0.590	-19.958	5.676	-1.160	-26.07	-56.06	-18.75	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.5	null	null	13113	75
2026-05-27T14:15:15.370	WT901BLE68(F3:F0:16:BF:DC:AE)	0.793	-0.235	0.668	-11.353	5.554	-5.859	-26.75	-55.65	-20.23	5.087	9.553	13.060	-0.83731	0.25180	0.42987	0.22498	25.5	null	null	13113	75
2026-05-27T14:15:15.429	WT901BLE68(F3:F0:16:BF:DC:AE)	0.741	-0.283	0.532	-10.925	6.042	-4.395	-26.17	-55.03	-22.66	5.247	6.393	16.940	-0.83731	0.25180	0.42987	0.22498	25.5	null	null	13113	75
