time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:12:06.524	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.522	0.840	0.268	-4.395	2.441	3.967	74.01	35.05	-74.40	-57.967	65.447	-62.567	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:06.579	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.513	0.863	0.265	-5.920	5.859	-4.639	73.77	35.06	-70.96	-57.967	65.447	-62.567	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:06.701	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.536	0.862	0.217	-8.728	20.447	-6.714	74.33	35.84	-65.75	-57.967	65.447	-62.567	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:06.792	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.469	0.892	0.170	-5.066	-9.644	-2.319	73.54	35.78	-63.64	-57.967	65.447	-62.567	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:06.912	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.512	0.890	0.178	-2.869	6.165	1.038	74.20	35.66	-60.41	-57.967	65.447	-62.567	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:07.000	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.516	0.792	0.179	-7.935	13.794	14.160	74.68	34.84	-56.83	-59.020	66.993	-60.673	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:07.120	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.573	0.793	0.174	-9.094	9.644	32.410	75.50	32.57	-51.83	-59.020	66.993	-60.673	0.43915	0.58804	-0.20584	-0.64719	25.8	null	null	13113	60
2026-05-27T17:12:07.180	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.529	0.810	0.299	-7.202	-9.644	18.921	75.11	30.38	-48.83	-59.020	66.993	-60.673	0.61990	0.62469	-0.05551	-0.47150	25.8	null	null	13113	60
2026-05-27T17:12:07.331	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.458	0.811	0.419	-7.568	-13.489	5.615	73.31	28.81	-48.35	-59.020	66.993	-60.673	0.61990	0.62469	-0.05551	-0.47150	25.8	null	null	13113	60
2026-05-27T17:12:07.454	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.485	0.792	0.391	-5.127	-2.380	-2.258	72.39	28.52	-46.29	-59.020	66.993	-60.673	0.61990	0.62469	-0.05551	-0.47150	25.8	null	null	13113	60
