time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:16:18.348	WT901BLE68(F3:F0:16:BF:DC:AE)	0.486	0.867	0.184	-10.681	-0.854	-7.568	78.11	-32.90	-58.10	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.460	WT901BLE68(F3:F0:16:BF:DC:AE)	0.513	0.809	0.198	-13.062	0.061	-9.827	77.09	-31.90	-58.38	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.553	WT901BLE68(F3:F0:16:BF:DC:AE)	0.530	0.788	0.194	-9.949	15.381	-7.019	75.62	-30.88	-57.60	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.672	WT901BLE68(F3:F0:16:BF:DC:AE)	0.541	0.807	0.212	1.831	36.255	-3.357	74.23	-29.98	-55.55	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.732	WT901BLE68(F3:F0:16:BF:DC:AE)	0.412	0.752	0.157	13.489	80.444	-11.719	72.20	-28.05	-49.93	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.882	WT901BLE68(F3:F0:16:BF:DC:AE)	0.367	0.896	0.259	30.579	96.924	-41.748	70.89	-23.14	-41.84	-34.093	45.173	-25.507	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:18.941	WT901BLE68(F3:F0:16:BF:DC:AE)	0.337	1.131	0.364	21.667	125.916	-44.678	70.85	-15.07	-32.51	-38.480	42.420	-31.387	0.73392	0.42175	-0.49481	-0.19632	25.8	null	null	13113	75
2026-05-27T17:16:19.059	WT901BLE68(F3:F0:16:BF:DC:AE)	0.242	1.001	0.356	-16.113	-39.551	0.122	70.37	-11.35	-29.20	-38.480	42.420	-31.387	0.80090	0.53580	-0.22519	-0.14374	25.8	null	null	13113	75
2026-05-27T17:16:19.157	WT901BLE68(F3:F0:16:BF:DC:AE)	0.245	0.881	0.327	-30.823	-28.748	4.089	68.76	-13.50	-33.72	-38.480	42.420	-31.387	0.80090	0.53580	-0.22519	-0.14374	25.8	null	null	13113	75
2026-05-27T17:16:19.274	WT901BLE68(F3:F0:16:BF:DC:AE)	0.219	0.878	0.324	-39.185	-68.054	-30.029	66.65	-14.08	-38.36	-38.480	42.420	-31.387	0.80090	0.53580	-0.22519	-0.14374	25.8	null	null	13113	75
2026-05-27T17:16:19.364	WT901BLE68(F3:F0:16:BF:DC:AE)	0.484	0.948	0.222	-30.518	-171.936	-31.860	66.86	-16.22	-53.51	-38.480	42.420	-31.387	0.80090	0.53580	-0.22519	-0.14374	25.8	null	null	13113	75
2026-05-27T17:16:19.484	WT901BLE68(F3:F0:16:BF:DC:AE)	0.546	0.804	0.277	19.287	-21.545	13.977	69.25	-19.40	-64.51	-38.480	42.420	-31.387	0.80090	0.53580	-0.22519	-0.14374	25.8	null	null	13113	75
