time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:20:34.842	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.031	0.982	-0.195	1.770	0.793	1.404	100.95	-1.19	-51.10	-60.540	22.640	-52.260	-0.57617	-0.69922	0.32703	0.26846	25.4	null	null	13113	60
2026-05-27T17:20:34.930	WT901BLE68(F3:F0:16:BF:DC:AE)	0.050	0.969	-0.214	3.052	2.563	-1.038	101.24	-1.24	-51.21	-59.473	23.833	-52.107	-0.57617	-0.69922	0.32703	0.26846	25.4	null	null	13113	60
2026-05-27T17:20:35.053	WT901BLE68(F3:F0:16:BF:DC:AE)	0.011	0.968	-0.183	0.427	6.836	-2.869	101.41	-1.35	-49.71	-59.473	23.833	-52.107	-0.57617	-0.69922	0.32703	0.26846	25.4	null	null	13113	60
2026-05-27T17:20:35.144	WT901BLE68(F3:F0:16:BF:DC:AE)	0.093	0.966	-0.233	-2.136	14.526	-9.583	101.47	-1.02	-48.74	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.261	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.005	0.955	-0.291	6.653	39.795	-18.616	101.53	-0.42	-45.54	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.322	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.049	1.059	-0.036	-3.418	19.409	-7.751	101.95	0.16	-41.82	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.443	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	0.985	-0.229	-7.690	-13.306	-0.427	101.23	0.44	-42.52	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.533	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	0.983	-0.245	-9.216	4.211	-11.536	100.23	0.97	-43.36	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.652	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.028	0.973	-0.238	-13.916	-6.104	-14.160	99.33	2.04	-43.34	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
2026-05-27T17:20:35.742	WT901BLE68(F3:F0:16:BF:DC:AE)	0.021	0.943	-0.296	-18.311	-15.808	-11.414	98.22	3.30	-44.61	-59.473	23.833	-52.107	-0.57849	-0.70038	0.32971	0.25690	25.4	null	null	13113	60
