time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:10:55.432	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.455	0.894	0.191	-8.118	14.526	1.709	80.01	32.31	-39.63	-77.640	57.180	-56.347	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:55.513	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.500	0.885	0.173	-12.390	1.953	-1.709	79.46	32.06	-38.18	-77.640	57.180	-56.347	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:55.633	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.446	0.846	0.173	-23.193	29.968	5.920	78.68	32.03	-36.07	-77.640	57.180	-56.347	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:55.692	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.625	0.795	0.091	-21.179	21.912	10.681	78.61	31.84	-31.96	-77.640	57.180	-56.347	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:55.812	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.736	0.682	0.016	-9.277	12.207	6.714	78.12	31.42	-29.14	-77.640	57.180	-56.347	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:55.899	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.720	0.788	0.096	4.639	-6.897	-14.587	78.35	31.98	-28.50	-71.880	59.533	-60.987	0.62512	0.65878	-0.00961	-0.41837	25.8	null	null	13113	60
2026-05-27T17:10:56.020	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.542	0.828	0.190	12.146	-2.197	-24.780	78.63	34.33	-29.53	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.109	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.534	0.841	0.178	8.362	-25.818	-4.089	79.05	35.62	-30.57	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.233	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.520	0.830	0.206	2.197	10.559	3.113	78.72	35.13	-31.96	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.290	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.563	0.828	0.147	4.578	-6.714	-1.526	79.19	34.89	-31.18	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.412	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.585	0.797	0.132	4.211	-4.578	0.061	79.33	34.83	-31.46	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.503	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.572	0.770	0.131	4.578	-2.258	0.000	79.72	34.84	-31.49	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.621	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.534	0.901	0.217	2.136	8.301	-4.700	79.78	34.87	-32.20	-71.880	59.533	-60.987	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.711	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.631	0.824	0.118	-1.953	-4.333	-0.366	79.96	34.77	-31.20	-77.693	57.467	-61.807	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
2026-05-27T17:10:56.831	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.586	0.773	0.114	-1.526	6.897	0.183	80.13	35.10	-30.50	-77.693	57.467	-61.807	0.67355	0.64127	0.06042	-0.36240	25.8	null	null	13113	60
