time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:15:09.191	WT901BLE68(F3:F0:16:BF:DC:AE)	0.669	0.708	0.353	-0.183	1.892	0.488	63.87	-41.95	-50.33	-21.673	43.913	-16.353	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.249	WT901BLE68(F3:F0:16:BF:DC:AE)	0.699	0.684	0.338	-2.075	-2.991	-0.122	63.92	-42.15	-50.37	-21.673	43.913	-16.353	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.373	WT901BLE68(F3:F0:16:BF:DC:AE)	0.539	0.762	0.396	-7.874	1.343	-7.385	63.32	-41.38	-50.00	-21.673	43.913	-16.353	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.462	WT901BLE68(F3:F0:16:BF:DC:AE)	0.410	0.785	0.312	-0.610	19.531	-27.466	62.81	-39.19	-49.96	-21.673	43.913	-16.353	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.582	WT901BLE68(F3:F0:16:BF:DC:AE)	0.337	0.815	0.249	31.311	53.833	-68.726	63.54	-32.40	-48.14	-23.873	43.307	-15.013	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.672	WT901BLE68(F3:F0:16:BF:DC:AE)	0.471	0.911	0.234	39.307	17.639	-88.501	68.07	-23.40	-49.17	-23.873	43.307	-15.013	0.79263	0.31491	-0.49271	-0.17227	25.8	null	null	13113	60
2026-05-27T17:15:09.792	WT901BLE68(F3:F0:16:BF:DC:AE)	0.649	0.878	0.278	43.884	10.742	-70.313	73.33	-16.02	-52.31	-23.873	43.307	-15.013	0.77496	0.44547	-0.37320	-0.24814	25.8	null	null	13113	60
2026-05-27T17:15:09.879	WT901BLE68(F3:F0:16:BF:DC:AE)	0.460	0.929	0.375	45.654	68.420	-9.888	77.14	-12.53	-49.38	-23.873	43.307	-15.013	0.77496	0.44547	-0.37320	-0.24814	25.8	null	null	13113	60
2026-05-27T17:15:10.004	WT901BLE68(F3:F0:16:BF:DC:AE)	0.396	1.003	0.409	16.846	127.075	17.029	77.70	-12.11	-39.71	-23.873	43.307	-15.013	0.77496	0.44547	-0.37320	-0.24814	25.8	null	null	13113	60
2026-05-27T17:15:10.062	WT901BLE68(F3:F0:16:BF:DC:AE)	0.157	1.021	0.417	-31.555	26.306	6.958	74.36	-11.69	-31.13	-23.873	43.307	-15.013	0.77496	0.44547	-0.37320	-0.24814	25.8	null	null	13113	60
