time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:09:49.753	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.510	0.964	0.117	-5.371	-3.357	6.165	81.11	28.76	-22.40	-67.007	63.893	-64.980	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:49.841	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.449	0.890	0.207	-7.263	29.114	-18.433	81.17	29.97	-21.36	-67.007	63.893	-64.980	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:49.962	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.448	0.943	0.206	-17.822	31.616	-15.320	81.58	31.62	-18.37	-67.007	63.893	-64.980	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:50.049	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.577	0.977	0.172	-30.273	35.278	-36.621	80.61	34.04	-15.58	-67.007	63.893	-64.980	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:50.172	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.773	0.986	0.104	-48.889	-12.573	-79.163	77.58	39.82	-14.76	-67.653	63.640	-64.973	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:50.233	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.705	0.723	0.213	-83.740	-55.725	-100.708	65.96	47.21	-23.65	-67.653	63.640	-64.973	0.69220	0.65054	0.05746	-0.30695	25.7	null	null	13113	60
2026-05-27T17:09:50.348	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.668	0.342	0.192	-104.858	-106.934	-58.777	46.61	50.06	-38.39	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.442	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.754	0.051	0.438	-91.675	-63.171	-45.227	28.48	47.40	-52.00	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.563	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.642	-0.120	0.729	-39.673	11.963	-61.462	16.00	47.93	-60.88	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.649	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.471	-0.188	0.748	-24.292	-66.345	-44.006	5.65	45.49	-70.56	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.775	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.504	-0.033	0.766	-2.441	-20.447	-19.836	0.81	40.47	-75.23	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.860	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.446	-0.175	0.642	15.442	-52.429	24.719	1.29	35.22	-74.93	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:50.983	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.812	0.342	0.646	37.415	24.292	20.874	5.55	33.41	-71.29	-67.653	63.640	-64.973	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:51.039	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.735	0.298	0.983	3.418	14.648	-68.787	7.11	32.62	-75.67	-84.300	45.047	-10.140	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:51.162	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.533	-0.190	1.002	-44.495	38.208	-63.293	1.55	36.05	-83.75	-84.300	45.047	-10.140	0.70993	0.54471	0.23196	-0.38132	25.7	null	null	13113	60
2026-05-27T17:09:51.250	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.353	-0.292	0.684	-52.551	23.926	-27.588	-7.22	38.91	-90.07	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.372	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.514	-0.431	0.299	2.930	56.396	41.138	-10.38	46.05	-90.44	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.462	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.216	-0.139	0.161	129.395	-17.639	19.287	-1.05	49.43	-85.94	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.581	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.124	0.089	0.579	156.311	-21.973	-78.796	8.77	48.41	-91.40	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.641	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.002	0.244	0.650	168.945	-29.541	-135.071	11.68	49.48	-109.06	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.763	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.901	0.374	0.743	133.057	-60.852	-170.288	8.67	47.69	-134.84	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.852	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.660	0.324	0.762	74.219	-44.922	-152.283	2.14	43.80	-160.65	-84.300	45.047	-10.140	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:51.971	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.283	0.275	0.687	57.556	-70.435	-78.125	-0.59	37.34	-177.20	-88.633	2.967	-15.107	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:52.064	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.184	0.475	0.651	80.505	-42.053	20.508	6.04	29.92	179.08	-88.633	2.967	-15.107	0.69376	0.21036	0.24271	-0.64456	25.7	null	null	13113	60
2026-05-27T17:09:52.185	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.311	0.809	0.994	38.208	44.739	60.242	16.51	28.05	-176.73	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.273	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.528	0.676	0.920	-76.050	119.202	84.961	20.93	34.02	-165.06	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.391	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.846	0.371	0.749	-149.170	120.911	103.577	20.08	41.33	-149.20	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.452	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.064	0.135	0.559	-204.651	76.782	100.708	14.25	45.93	-132.54	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.572	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.955	-0.032	0.404	-204.163	16.296	62.622	2.66	48.24	-121.49	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.661	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.857	-0.291	0.524	-132.813	-30.029	25.696	-8.77	47.46	-115.99	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.780	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.789	-0.347	0.612	-79.529	-65.308	-7.324	-17.23	43.55	-114.78	-88.633	2.967	-15.107	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.870	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.473	-0.376	0.577	-72.266	-74.280	6.226	-23.41	37.69	-112.58	-94.153	27.060	-18.840	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:52.990	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.244	-0.396	0.484	-12.939	-64.514	70.496	-23.14	33.23	-104.93	-94.153	27.060	-18.840	-0.02313	0.24680	-0.07947	-0.96548	25.7	null	null	13113	60
2026-05-27T17:09:53.051	WT901BLE68(F3:F0:16:BF:DC:AE)	-1.123	0.202	0.688	39.612	-37.231	43.213	-16.17	32.71	-96.07	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.174	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.750	-0.410	0.979	-10.254	24.536	-59.937	-15.55	32.07	-99.82	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.264	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.274	-0.600	0.825	-36.316	31.921	-47.302	-22.68	32.82	-107.88	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.386	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.342	-0.462	0.390	11.841	26.489	-5.859	-26.80	34.94	-112.69	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.473	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.760	-0.226	0.354	96.008	59.631	9.888	-22.60	39.52	-115.37	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.594	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.909	-0.015	0.821	113.037	10.559	-44.800	-12.47	42.83	-118.56	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.683	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.813	-0.021	0.776	116.211	4.272	-84.656	-7.44	43.22	-128.08	-94.153	27.060	-18.840	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.804	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.694	0.059	0.803	118.713	-22.583	-108.276	-4.02	41.55	-141.47	-92.840	21.613	-20.787	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.861	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.624	0.114	0.864	93.933	-19.165	-113.831	-2.18	38.57	-156.58	-92.840	21.613	-20.787	0.64948	0.10571	0.30402	-0.68884	25.7	null	null	13113	60
2026-05-27T17:09:53.985	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.600	0.089	0.886	57.312	-16.663	-105.957	-2.30	36.29	-171.15	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.070	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.469	0.100	0.786	42.908	-3.967	-70.862	-3.65	34.62	177.12	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.195	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.391	0.276	0.928	67.261	-67.139	-32.349	-0.85	30.65	169.87	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.285	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.057	0.438	0.570	96.802	8.545	24.963	6.61	27.39	167.95	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.403	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.495	0.601	1.204	0.183	110.413	76.111	16.62	29.72	174.37	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.462	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.705	0.455	1.007	-88.806	97.168	76.660	19.22	35.32	-174.31	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.585	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.907	0.285	0.807	-157.532	90.942	78.552	14.84	41.04	-162.05	-92.840	21.613	-20.787	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
2026-05-27T17:09:54.670	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.954	0.117	0.650	-173.950	36.865	58.472	5.87	44.50	-151.66	-91.640	5.980	-21.040	0.17303	0.31860	0.07437	-0.92892	25.7	null	null	13113	60
