time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:18:13.155	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.000	1.003	-0.104	19.104	73.608	29.907	93.05	3.01	-70.49	-74.933	19.733	-18.853	0.50082	0.58224	-0.40747	-0.49396	25.7	null	null	13113	60
2026-05-27T17:18:13.270	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.044	1.051	-0.101	9.460	87.402	35.339	94.72	-1.01	-62.58	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.334	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.215	1.021	-0.057	-6.714	64.392	16.602	94.28	-3.98	-55.06	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.454	WT901BLE68(F3:F0:16:BF:DC:AE)	0.031	1.024	0.023	-23.315	49.133	1.404	92.42	-4.47	-50.54	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.542	WT901BLE68(F3:F0:16:BF:DC:AE)	0.093	0.995	0.013	-24.658	49.683	-2.319	89.13	-4.00	-45.96	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.664	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.206	1.063	-0.408	9.766	32.166	-1.282	89.93	-4.18	-44.85	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.752	WT901BLE68(F3:F0:16:BF:DC:AE)	0.284	1.105	-0.172	58.044	-104.065	-5.737	91.92	-1.74	-49.26	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.872	WT901BLE68(F3:F0:16:BF:DC:AE)	0.269	1.027	0.103	33.630	35.461	-18.066	96.93	-0.22	-52.74	-74.933	19.733	-18.853	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:13.931	WT901BLE68(F3:F0:16:BF:DC:AE)	0.239	1.000	-0.088	18.982	10.071	-2.197	99.40	-0.11	-50.22	-63.807	26.440	-42.320	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:14.084	WT901BLE68(F3:F0:16:BF:DC:AE)	0.161	1.006	-0.096	5.249	39.124	-3.113	100.06	-0.94	-48.09	-63.807	26.440	-42.320	0.56082	0.61157	-0.39890	-0.39017	25.7	null	null	13113	60
2026-05-27T17:18:14.140	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	0.980	-0.190	-3.174	32.898	-7.080	99.45	-1.44	-44.75	-63.807	26.440	-42.320	0.59744	0.70074	-0.30493	-0.24277	25.7	null	null	13113	60
2026-05-27T17:18:14.262	WT901BLE68(F3:F0:16:BF:DC:AE)	0.036	0.990	-0.217	0.793	-4.883	-1.648	99.18	-1.51	-43.07	-63.807	26.440	-42.320	0.59744	0.70074	-0.30493	-0.24277	25.7	null	null	13113	60
2026-05-27T17:18:14.354	WT901BLE68(F3:F0:16:BF:DC:AE)	0.011	0.973	-0.204	-2.502	21.606	-4.150	99.19	-1.52	-43.04	-63.807	26.440	-42.320	0.59744	0.70074	-0.30493	-0.24277	25.7	null	null	13113	60
